gene_ID,taxon
OM-RGC.v2.002025283,gramNeg
OM-RGC.v2.000310416,gramNeg
OM-RGC.v2.010600628,gramNeg
OM-RGC.v2.015550555,gramNeg
OM-RGC.v2.024088678,gramNeg
OM-RGC.v2.001000231,gramNeg
OM-RGC.v2.000028720,gramNeg
OM-RGC.v2.000175591,gramNeg
OM-RGC.v2.009829835,gramNeg
OM-RGC.v2.003203077,gramNeg
OM-RGC.v2.005764239,gramNeg
OM-RGC.v2.003314762,gramNeg
OM-RGC.v2.000567087,gramNeg
OM-RGC.v2.006635028,gramNeg
OM-RGC.v2.001944471,gramNeg
OM-RGC.v2.001889969,gramNeg
OM-RGC.v2.027015532,gramNeg
OM-RGC.v2.005001520,arch
OM-RGC.v2.000541541,gramPos
OM-RGC.v2.001046809,gramNeg
OM-RGC.v2.001847412,gramNeg
OM-RGC.v2.001399538,gramNeg
OM-RGC.v2.002954441,gramNeg
OM-RGC.v2.002877681,gramNeg
OM-RGC.v2.012533006,gramNeg
OM-RGC.v2.003116301,gramNeg
OM-RGC.v2.012230695,gramNeg
OM-RGC.v2.004638956,gramNeg
OM-RGC.v2.001920290,gramNeg
OM-RGC.v2.018145197,gramNeg
OM-RGC.v2.000912367,gramNeg
OM-RGC.v2.000612184,gramNeg
OM-RGC.v2.003244669,gramNeg
OM-RGC.v2.004833838,gramNeg
OM-RGC.v2.001428641,gramNeg
OM-RGC.v2.003014731,gramNeg
OM-RGC.v2.000183709,gramNeg
OM-RGC.v2.012636996,gramNeg
OM-RGC.v2.000095977,gramNeg
OM-RGC.v2.002118145,gramNeg
OM-RGC.v2.001712522,gramNeg
OM-RGC.v2.003116276,gramNeg
OM-RGC.v2.001451575,gramNeg
OM-RGC.v2.004448578,gramNeg
OM-RGC.v2.001406797,gramNeg
OM-RGC.v2.005600077,gramNeg
OM-RGC.v2.012230752,gramNeg
OM-RGC.v2.000279685,gramNeg
OM-RGC.v2.000636876,gramNeg
OM-RGC.v2.019877929,gramNeg
OM-RGC.v2.010918617,gramNeg
OM-RGC.v2.010834261,gramNeg
OM-RGC.v2.021417269,gramNeg
OM-RGC.v2.018986309,gramNeg
OM-RGC.v2.005446730,gramNeg
OM-RGC.v2.006146326,gramNeg
OM-RGC.v2.005184612,gramNeg
OM-RGC.v2.003311713,gramNeg
OM-RGC.v2.004209452,gramNeg
OM-RGC.v2.002767296,gramNeg
OM-RGC.v2.001909515,gramNeg
OM-RGC.v2.002804161,gramNeg
OM-RGC.v2.017211657,gramNeg
OM-RGC.v2.004151521,gramNeg
OM-RGC.v2.001796810,gramNeg
OM-RGC.v2.001665951,gramNeg
OM-RGC.v2.016774170,gramNeg
OM-RGC.v2.001399555,gramNeg
OM-RGC.v2.004040840,gramNeg
OM-RGC.v2.001684709,gramNeg
OM-RGC.v2.004068327,gramNeg
OM-RGC.v2.001198365,gramNeg
OM-RGC.v2.001444002,gramNeg
OM-RGC.v2.000493502,gramNeg
OM-RGC.v2.000699538,gramNeg
OM-RGC.v2.000557199,gramNeg
OM-RGC.v2.004480483,gramNeg
OM-RGC.v2.000841026,gramNeg
OM-RGC.v2.005184629,gramNeg
OM-RGC.v2.001721899,gramNeg
OM-RGC.v2.005678402,gramNeg
OM-RGC.v2.003826028,gramNeg
OM-RGC.v2.000781827,gramNeg
OM-RGC.v2.005925922,gramNeg
OM-RGC.v2.008433816,gramNeg
OM-RGC.v2.002346272,gramNeg
OM-RGC.v2.000953390,gramNeg
OM-RGC.v2.001684711,gramNeg
OM-RGC.v2.001521466,gramNeg
OM-RGC.v2.004068334,gramNeg
OM-RGC.v2.002142853,gramNeg
OM-RGC.v2.000559697,gramNeg
OM-RGC.v2.000469608,gramNeg
OM-RGC.v2.002497347,gramNeg
OM-RGC.v2.000194446,gramNeg
OM-RGC.v2.005758963,gramNeg
OM-RGC.v2.001275243,gramNeg
OM-RGC.v2.001150264,gramNeg
OM-RGC.v2.000678210,gramNeg
OM-RGC.v2.000252438,gramNeg
OM-RGC.v2.003958295,gramNeg
OM-RGC.v2.006628810,gramNeg
