bin,ERR594313,ERR594325,ERR594395,ERR594404,ERR598943,ERR598978,ERR598994,ERR598997,ERR599064,ERR599118,ERR599144,ERR599353,ERR598952,ERR598962,ERR598965,ERR599007,ERR599065,ERR599108,ERR599168,ERR599349,ERR598971,ERR599055,ERR599067,ERR599128,ERR599132,ERR599346
CPC-23,0.0,0.0001012477539049297,0.0,0.0,0.020691556144525936,0.022341745406469386,0.0,0.0035448062255114096,0.004194228184310059,0.005200596263451302,0.00026187396981503327,0.0,0.013981891571085803,0.014983396516857393,0.00954873208778286,0.015488126542792396,0.013646719189265867,0.012451479174691863,0.014686311378498422,0.0,0.0024378717031971874,0.0048384201621314476,0.0028562768499822352,0.007751927904686637,0.012967698391486404,0.0
CPC-24,0.029900562968368675,0.008861800856098574,0.0,0.0,0.02453379797671584,0.03565193029508646,0.003132022205289115,0.023044530655321346,0.002970651112196153,0.024369502804422787,0.0067359059667915595,0.0,0.014352856672231854,0.007802362447833329,0.005736088856108205,0.010439237376092356,0.005997731996569907,0.012344175334429204,0.005175588160564234,0.0,0.00980758435027704,0.014984009593028823,0.010474537712512196,0.011991616017087958,0.01155025415116677,0.0
CPC-25,0.0,0.0,0.008515286590045822,0.0,0.0,0.0,0.0,0.0,0.0007055561276918606,0.0,0.0,0.0,0.0,0.0,0.0038668852613974614,0.001168439377194663,0.0,0.0,0.0,0.0,0.0,0.010252678741036811,0.0026846766151447173,0.009903460390543533,0.009343525368762562,0.009452272811095272
CPC-27,0.00046493082247226695,0.0005942196603436804,0.0,0.0,0.0029968753446812015,0.0,0.0006672290024983539,0.0,0.004964444024552415,0.0,0.000645446100600417,0.0,0.0,0.0,0.005383796364214363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009526420179059902,0.0
CPC-28,0.004535274595568779,0.004970406118114239,0.0016896015247863782,0.004817983425035047,0.0,0.00642492325412805,0.0007550238227753173,0.0006352197274802957,0.002602025563840422,0.004683459802603834,0.0013872815657367432,0.00035776931601924525,0.0029542923485889384,0.0,0.00432517404840815,0.0,0.002175171081886076,0.0010612344480642173,0.0006797129562444419,0.003701764574209477,0.004234752972879606,0.0033608676443173616,0.004126148935249127,0.0022947248745544273,0.00306393319434809,0.0007101527205426794
CPC-288,0.010540644499701575,0.010515193713802846,0.0,0.0,0.026687138261613307,0.02638433728424314,0.009471787377084718,0.10803753683216542,0.02120420773000627,0.11471800136131012,0.00989882976441255,0.0,0.08178125560983061,0.023587287891705406,0.02142095873291223,0.025652712004266488,0.09218594154872645,0.10206317592352182,0.025434120044704463,0.0,0.01320171711512058,0.016835886852797795,0.0,0.028158169875761946,0.015394299867169055,0.0
CPC-289,0.0007248974660718374,0.0007734482847742515,0.0,0.0,0.0021518648215030868,0.0026803967493666736,0.0,0.0027020505253729397,0.003188009824408826,0.0013748776823449636,0.0,0.0,0.001950937793940448,0.0028325574481778797,0.0030188034231673237,0.0018956318420309832,0.0023427515889976242,0.0014386810992510957,0.0030946458358593115,0.0,0.0,0.006746681159505634,0.0,0.0,0.0,0.0
CPC-29,0.001874989510273685,0.003363785892918358,0.0,0.0,0.0011606473622065203,0.0016181333864546234,0.002363997439497327,0.004421568257078936,0.0022224292861592614,0.0006485339933678436,0.0024807236201627703,0.0,0.0009208943874147507,0.001690943069329066,0.0031213605904756945,0.001756916817097916,0.0005177681780021311,0.0017908437655813688,0.0017252807027663564,0.0,0.0,0.0,0.0,0.0019520154499403197,0.0,0.0
CPC-294,0.027876140476731606,0.006607370744802411,0.0,0.003273524138512298,0.031155020778240686,0.03016518218420427,0.0,0.03774955691561143,0.04591414581161874,0.03724036414385942,0.002026720758573343,0.0,0.029001333627308078,0.05175111675803357,0.049777897279469914,0.04492304752763231,0.037216393373510674,0.03751039246076545,0.044564864166603574,0.0,0.050453593052128584,0.04946338090104536,0.05108385360627138,0.04895758735244179,0.049350930718124214,0.006626216188950553
CPC-297,0.009952803423092169,0.008981829078875445,0.0,0.0,0.007478064449744345,0.006229908098327975,0.00947549902405102,0.006262062649065897,0.007518277686372927,0.0,0.008048974705423935,0.0,0.0,0.011176089584064193,0.008827798329131251,0.006054117984942087,0.0008234066371066662,0.004948832939669002,0.013045902087317566,0.0,0.012109062369954815,0.0044012017400474925,0.009054687698783495,0.003241087516132088,0.005844160301293541,0.0
