bin,SRR3963457,SRR3963458,SRR3963498,SRR3963571,SRR3963599,SRR3963622,SRR3963658,SRR3963804,SRR3963805,SRR3963982,SRR3964650
deep-0045,0.013315084058219677,0.013986815093482442,0.053339754127887155,0.05704057855234426,0.017028623371532107,0.010005422493216187,0.016864817705026118,0.011755572165825907,0.04168685096862874,0.00864296391158395,0.017199770591966892
deep-0070,0.0016109912872121653,0.0021658700418009697,0.003617885616464606,0.003550962810651708,0.006957568767488205,0.005109582843385642,0.00699715719675875,0.0015043593849402865,0.0071262961517135105,0.0075885431153658025,0.013332930027237847
deep-0126,0.016920135467212164,0.01962088499950979,0.03222495916701956,0.03872629725881402,0.009372162003915906,0.011676756214791017,0.01119894912664323,0.028000074910239918,0.029830954615402548,0.006758205559121328,0.010261689621986418
deep-0165,0.0,0.0,0.0,0.004546892495554716,0.0,0.0,0.0,0.0,0.0,0.0,0.0033831400222818905
deep-0166,0.0015485092502435988,0.0024943910556371506,0.002466189431261017,0.0018050570574699287,0.0028856902141863434,0.0019920462103539074,0.0035380337224369856,0.0015744761413470148,0.000856800738137844,0.0011283911274675524,0.0019352978907081727
deep-0169,0.016638789824594286,0.0038862512454145826,0.00034571439467595875,0.0,0.0023310844231224453,0.0019276656715299695,0.001159116922577463,0.011440023544899182,0.003506958610932897,0.00728263987818106,0.006505588443999474
deep-0176,0.00018193847606940463,0.0006991476461299937,0.0017935840442440275,0.00011277562665136026,0.0,2.6907121938281722e-05,0.0,7.353458113773345e-05,0.0006152299195533795,9.082111939561705e-05,2.8840534147796938e-05
deep-0210,0.0005525834302866972,0.0004449835804759431,0.00015381594889860755,0.0015704157200379396,0.0001498364253563266,0.00013410928788567,0.0003217063051578899,0.0012559803457316946,0.0018838983101459818,0.0004275082650906315,0.0005036434585581381
deep-0255,0.0,0.0,0.0,0.0,0.0,0.0,0.001023096207034201,0.0,0.0,0.0,5.8551450139798805e-06
deep-0283,0.0018877396243130768,0.0012810107212160794,0.0014030141319585241,0.002165875052345456,0.0034373855348187156,0.001846939603797107,0.0017894442846408127,0.003449723436431808,0.002726257275742282,0.0038330781204790982,0.005104005540308831
deep-0285,0.0002448854019546781,6.713881948395133e-05,4.4947785460327634e-05,7.196498916954825e-05,0.00011959792355463796,7.191139107091533e-05,9.580884820919632e-05,0.0003230250659229433,0.00015824554342901617,3.381009149408856e-05,6.969934615472152e-05
deep-0293,0.0004576236700842169,0.004418024949413607,0.009936000370729711,0.00043060426551615183,0.001874419974795872,0.0013715632222073742,0.0011881447747465494,0.0013615224838058788,0.0019144463851899017,0.0008491766649705772,0.0015801815404599894
deep-0307,0.06042460380734442,0.06962166849722909,0.04615932371094761,0.07426566398531081,0.07730457491773703,0.048658055275763425,0.04134539930930814,0.06229942963273682,0.0175555395063822,0.031659154305098434,0.04076927944281296
deep-0314,0.006355264966421945,0.005002151070185652,0.0113642371974233,0.021370538659851394,0.007079637132732481,0.007200255959407349,0.008342194024636117,0.006097627288628501,0.01071620474107064,0.004561744736231047,0.005683262815895254
deep-0338,0.005235288778715156,0.001829684937981997,0.003237092069048891,0.0052452236403796575,0.005151656363572954,0.0060851834169238506,0.005129039405221954,0.002853997795904182,0.004901608534003362,0.0033191338881677925,0.00441464002173238
deep-0351,0.001383363374196946,0.0005010328208489909,0.0010351031114821988,0.0012558260885718263,0.0017832325167858871,0.0035964027980589877,0.00162002289078666,0.0007506948512342724,0.0009280330130506394,0.0005707908535942046,0.0008057438686699929
deep-0373,0.003882414893922097,0.00013499728365555424,0.0009975310291056613,0.000980062061072083,0.0,0.0027915562530969784,0.00022024529219330475,0.003075462627071278,0.003389452648187341,0.0008674410709626443,0.0010767186551140034
deep-0383,0.0006036259983650962,9.693179042448672e-05,0.0006995147720597043,0.0010194773269225795,0.0019780074576331544,0.00034579483881950134,0.0009877046914279106,0.0,0.0,0.003199401041585823,0.00111760255767679
deep-0399,0.006546897951808374,0.0022933108763000276,0.008598048681370098,0.0,0.005884918787062346,0.004670260810909568,0.0,0.0,0.0,0.0011921026727163431,0.0007060301452858139
deep-0434,0.005876997587425701,0.00486747436662049,0.09142795466096405,0.03201977006905305,0.007930294266726956,0.009208905101011853,0.02009364041932304,0.003036166502651916,0.05359302633607309,0.03414933429381348,0.023800212042522147
deep-0457,0.01835624672686824,0.008511436241081914,0.04088693073824946,0.02556549188869235,0.021645546497470965,0.02751544104030494,0.009612401993920527,0.017355198347080943,0.034423490257823694,0.0127218102568212,0.01454582257254905
deep-0466,0.0002212013348715296,0.0006571643668351857,0.0012048484085509506,0.0,0.0,4.9753105390931235e-05,0.0002209017477789799,0.0007267520138115124,0.0,0.0001120515740396896,8.81182391222965e-05
deep-0478,0.005947689477198578,0.00014712750021709026,0.00027334473651394024,0.00074679307148638,0.0011033710345811827,0.0005683556758749838,0.0004697544759861375,0.001044444651050346,0.0013238247285683304,0.0009444090136163193,0.0008434432700687121
