bin,ERR598944,ERR598958,ERR598964,ERR598985,ERR599047,ERR599166
NAT-210,24108969.152122412,15836000.07007775,35607155.44240122,13248636.135113157,24326318.55347735,33445361.344587386
NAT-212,788698.0653045912,1605281.875544843,2135075.306160905,9563554.858750915,3108992.2510859147,2407450.9665378537
NAT-217,44557.472214052395,274369.10780363594,43362.39000811844,47077.96206718395,35977.171823943485,43920.74573547847
NAT-218,5113056.704507845,91939.15149404417,6593781.14700592,1836959.6824341915,6219599.312387357,8567734.325761883
NAT-22,8642.06434522975,12127.705489964006,8732.817219721917,96245.27252060638,10429.45740597501,12916.094134988316
NAT-220,80317.93098835414,283084.4692622803,82529.93406356731,53734.73375164139,73196.27167894552,84557.90840820046
NAT-221,107828.6576969,590186.1412754002,323260.4375385253,132872.96359493016,645365.5048122635,218003.1529262777
NAT-222,13400.703247022117,1230583.4119817526,27973.100211835135,8152.677123341003,67115.03149990777,15724.65255706736
NAT-224,87799.81349580026,419921.04782783997,97694.42764159637,52215.09152970481,101443.74077841481,208093.75060313937
NAT-225,216116.98069906136,243256.68186811596,301672.38857578277,189924.08885247374,476224.6871373203,644239.2936173615
NAT-23,185888.87269150547,27133.218337724556,27228.547300412112,141922.22833451198,52996.39537302184,78814.25787461824
NAT-231,39808.81090329951,27680.792410890423,44913.32861212235,44292.54695484474,31104.178609005197,37661.04014993261
NAT-232,52916.48346487182,5028717.8188222395,109112.38936474713,24824.7830000316,297479.6056228984,66109.21002766612
NAT-236,20271.079044865975,6596.002900666399,2566.6026230842394,1997.201317082385,1806.6747939050815,3575.0715939288084
NAT-237,10633.000894129382,320174.7848695679,8048.908909527544,9674.329331514395,13567.912309839594,5518.807819923572
NAT-238,19719.804299493233,539447.2520935262,27567.93794491423,13261.87762487588,16425.73630861198,19851.347156633557
NAT-239,141481.88076156098,77596.35404119414,101801.3512082249,90045.73011696168,257380.7706880214,135287.52637034922
NAT-24,1172229.422191797,1807143.3638713413,4703709.470516241,5515717.558932537,56554.12496812203,1179110.5741942902
NAT-241,5009.148807687288,21549.252889682215,11379.500167711896,5139.86360768126,14528.089918534364,14765.086810873392
NAT-242,96776.26441664383,3372959.2445061165,228065.6710008749,146166.360965207,181627.1255984754,182681.8468213192
NAT-245,12301.130041880586,390471.50503749977,21317.011361630688,9392.74987658668,12903.670189027154,13351.02209035355
NAT-248,304701.57366608776,10188.137540488013,7727.253243431147,19151.70656861927,5966.287427034744,14724.706930380902
NAT-249,292269.15501497977,17292.51058955817,46821.16910733049,30132.192205336352,33475.62964345592,88323.60391634495
NAT-252,22855.136508829633,1758043.8836830712,24094.71408603247,11135.268272735912,17498.43116018047,25508.288502692732
NAT-253,6775491.042012989,1058956.6129891314,1751084.6314724777,212946.62721521495,771167.4343055347,543932.9414456711
NAT-255,14716.2843228933,13097337.834495738,45912.77261912686,26963.177961305613,100515.97125923575,5245.901757817268
NAT-258,1518.1401377203733,7670.211919855825,2109.1951676244107,4589.579132458061,1916.2485941818134,6686.715884719178
NAT-259,1889.0011878202909,1077.4774239771896,2066.6241449817885,3825.5903114565413,4333.411962208327,9407.581638341298
NAT-26,74319.0785732762,63612.966997672425,70256.44864433048,1089714.460124273,27882.95034880786,100142.22425394449
NAT-269,37509.89146133505,89793.43834062196,48449.4820901233,34713.66901485492,31092.91157305335,46525.313424402484
NAT-271,7315.349669798798,493289.653128621,17756.12814006885,12686.188995290762,11209.1601810389,12060.204647649736
NAT-272,779202.0491432686,8535938.55878094,892297.9905369302,972150.6486604846,943460.9489884452,1661773.6804803915
NAT-276,218277.72983567067,122559.63530378268,849320.8514017613,49743509.018902026,73998.30731783007,168674.16915165758
NAT-278,721440.6177939014,10155023.501634965,1293196.0041662753,540405.4070290838,1476274.9426136736,277576.50232555036
NAT-28,408606.26525252155,241085.07553316906,54729.16647508655,525409.5979011274,38459.382590316316,99368.9355485971
NAT-280,10749.316409255218,1342865.649638674,16417.455237789876,8500.279126758525,27999.040005028124,19033.37812313025
NAT-282,13724478.214898126,12222639.660522925,22935853.087707803,193465662.67761317,17106890.83217807,37016625.916422434
NAT-284,70495.23548458426,370710.6174765646,73193.4550232308,69191.06662526968,65674.49428524637,70698.38963516669
NAT-288,1186.1689313778204,195190.64181583596,4343.71870268399,1212.4889041199997,7340.481123761556,3458.1279300153033
NAT-290,34696.65890596331,2986.5144377799197,9160.738119054984,59866.67332659862,95282.68987689288,7018.205457118632
NAT-291,172997.3564865414,76551.06715611875,150300.52113831183,235087.85241571287,340991.5310440018,337462.27701582044
NAT-3,307236.73400509794,180051.25109338792,278731.51196379564,759547.6839714688,360683.22088370635,352538.996065765
