bin,ERR598955,ERR598963,ERR598968,ERR598976,ERR598983,ERR599003,ERR599029,ERR599078,ERR599123,ERR599136,ERR599170,ERR598950,ERR598986,ERR598996,ERR599095,ERR599100,ERR598944,ERR598958,ERR598964,ERR598985,ERR599047,ERR599166,SRR3960572,SRR3960575,SRR3960576,SRR3960577,SRR3960578,SRR3960580,SRR3960581
NAT-116,0.0,0.0,0.0,0.0011957564875611864,0.0,0.0,0.001287084146183017,0.0015872438051563308,0.0,0.0,0.0,0.003853950894368913,0.0017588626052237977,0.0,0.0,0.0016135318273714596,0.0017196625975213326,0.0016744366477682133,0.0020437347892348916,0.0013862106117609925,0.002123690849856007,0.0019142006112955385,0.003373079283630376,0.0020079761067570336,0.0,0.0030091832798994187,0.0040125617794074635,0.0027633742976904325,0.002793246794019959
NAT-117,0.0,0.012580463123996697,0.01185440294326128,0.013923084178973656,0.006408045327853096,0.0,0.012837237431781993,0.014255175270790472,0.01089398023678607,0.012216905416886838,0.01617630714234324,0.0,0.0,0.012394359301746762,0.0,0.010366517071384735,0.015934982947998912,0.0,0.010105367540096354,0.0035870266629436003,0.00900591268928631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAT-12,0.007214931653267046,0.012904233766630416,0.013883093488423794,0.0075831947893119644,0.015105384798830524,0.0080739015726128,0.009197520850376829,0.01633273039079063,0.011613236890560449,0.013306754472564018,0.009051225884668066,0.00627827704801717,0.007465775426176563,0.00945234862587704,0.007135975587477859,0.01274836882036233,0.0074430916369117445,0.013820252865496586,0.011551473499592341,0.017611794647358573,0.0003919924582397807,0.012591971919177042,0.0,0.0,0.0,0.0,0.004260813140815678,0.0,0.0
NAT-121,0.0,0.0058037865675448705,0.005724410875089659,0.0059577645518250205,0.0057558660177137915,0.0,0.0031792927061984524,0.006149552051185186,0.005834328597088925,0.006345567162292234,0.005183133334464128,0.0,0.0,0.006075928322640167,0.004170164166101614,0.0033007261163091974,0.0,0.0028110258203071768,0.004059638959428356,0.0017470320100416443,0.0026160651776366444,0.005847174621577783,0.0,0.0,0.0,0.0,0.0,0.0,0.001340080063732996
NAT-123,0.0,0.002236492211994263,0.0009156057400670836,0.0,0.0065291930670144235,0.08957923330833424,0.0,0.0036752463489122885,0.00036677895952754455,0.0,0.00608223396304211,0.0,0.0,0.0054782824966176456,0.0,0.0,0.0048301024875430625,0.012432763567663938,0.0005826104576271084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAT-124,0.0,0.0,0.0,0.0,0.0,0.0,0.003199125888083558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010730123310866953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAT-125,0.004120843593825036,0.003942139647433917,0.003305900508670254,0.004882203502744673,0.0,0.0,0.0034709428293991226,0.001831177340935133,0.0031922108841169854,0.004397957142334316,0.0037588570303111273,0.0,0.0,0.003517105838648669,0.0,0.00098863887449535,0.0,0.0031876218070136133,0.004034184093758971,0.001316498948681507,0.0,0.0017588702926729259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAT-127,0.0,0.0033076991263536154,0.0013665524838960444,0.00048775798174219965,0.002295298412977693,0.0,0.0024528697221222217,0.0,0.002103747430092586,0.00197551249236951,0.0020538885672337862,0.0,0.0,0.0013549990513799003,0.0,0.0,0.0,0.0,0.0,0.0,0.0024941375039583794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003048302705010567
NAT-129,0.0,0.004264993971577784,0.007634654184416603,0.0024341650522883575,0.004371914484101295,0.0,0.004628960333069066,0.0015014849493746798,0.007658404864352463,0.005687372956203458,0.003251553336902215,0.0,0.008921411139812761,0.0018137729807612844,0.0,0.0,0.0,0.0033290988180477085,0.007967644045067692,0.0007697552180021408,0.0,0.0,0.014013274519741178,0.0,0.0,0.0,0.0,0.0220905423218936,0.0
NAT-13,0.0,0.001481829729509081,0.0015191549921324144,0.0,0.0008879926568629928,0.0,0.0,0.0,0.0014612549453007675,0.0012345488552845745,0.0009363465533389208,0.0005790529255676542,1.0575254790492523e-05,0.0010273585777964274,9.009953946979538e-05,0.0010674589381706578,0.0,0.001018652622075796,0.0005644547529892438,0.0,0.0,0.0045644745883383075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
