bin,ERR315857,ERR315858,ERR315861,ERR315862,ERR315863,ERR594288,ERR594316,ERR594317,ERR594358,ERR594396,ERR598951,ERR598993,ERR599043,ERR599140
MED-719,0.0,0.00016503773302146534,0.0004977386943652857,0.0,0.00014134127898371006,0.0007078167478452286,0.0,0.0,0.0,0.0,0.0004026641185761228,0.00030387929500823107,0.0003049088551974339,0.00023352682821585436
MED-728,0.0036155816884453768,0.003990086438968529,0.0033734553780016556,0.0,0.0003028087638688851,0.003431866893448371,0.004124792365007855,0.007724254408457669,0.005438229503307211,0.004113431210827242,0.00454522422602231,0.0,0.003490016703659252,0.0
MED-752,0.004182034227104941,0.002176129119521479,0.0023180965672866673,0.0,0.001390047093832049,0.004332815109561386,0.003780761564275529,0.004279036781368725,0.016373754196392597,0.0,0.0,0.0014476626798241457,0.002119586625941175,0.002081901454807117
MED-797,0.0,6.166775278736613e-05,4.540664201330416e-05,2.5369464040848696e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.741583360337281e-06,8.218162910565039e-05,2.9487842569732335e-05,0.00010058599650336846
MED-803,0.0006645174051254193,0.0005585374852531658,0.0,0.0,0.0004393024212671333,0.0011745101375611811,0.0013733062966793256,0.001587994686481028,0.0,0.0,0.0004744854067405416,0.0,0.0004441618918836631,0.0
MED-815,0.0,0.0,0.0,0.0,0.00025202231572839484,0.0,0.0,0.0,0.0,0.0,0.0,0.00023709840066877622,0.0,0.00030915809659174905
MED-820,0.0,0.0,0.0,0.0001036389538690834,4.94726396040009e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00011534745415398293,0.0,0.00015969511010060277
MED-828,0.0005321635134930806,0.0006197435449737023,0.0006082038014889387,0.00032819910798036986,0.0008799285982643687,0.0,0.000732442096620326,0.0,0.0,0.0,0.0006043772325249947,0.0005493196469646888,0.0006598992523016056,0.0004787374546330925
MED-830,0.027508576661673726,0.0,0.0,0.0013851810368853445,0.0016609088176145947,0.007635970921741501,0.0,0.00672819284109571,0.01863201730165604,0.06059491192043564,0.001038173036181506,0.0,0.0006209022479054724,0.0
MED-834,0.00554902508755732,0.0,0.0,0.0,0.0,0.00018695109823195028,0.00047183647881000597,0.00012181624981001983,0.0,0.0,0.0005153764693610561,0.0,0.0005575385359087086,0.0
MED-841,0.00988924464546425,0.006041901754779753,0.008089178994726207,0.0034151024404410367,0.002101349103916863,0.009574264474018214,0.014541340697768843,0.012900123197537557,0.0,0.0,0.006501790906088826,0.020267633700389157,0.009454837978940981,0.0210890370176287
MED-861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.50872557686509e-06,0.0,0.0,0.0,0.0,0.0,0.0
