bin,ERR598989,ERR598997,ERR599030,ERR599052,ERR599118,ERR599142
NP-39,63022.00660338453,8360.917026605497,1172486.9840489216,59549.90475391069,64573.93696717784,93330.9020490159
NP-4,20754.374118550953,6105.023818733334,68568.53879642284,2745235.1492833653,34375.35312204011,216833.2628467454
NP-40,220843.9211385711,36930.084399704145,4329295.973275221,111417.40656818803,228579.46927934026,232070.99481798962
NP-41,82007.0656832663,12593.3177216889,103524.66085010312,121521.70534274634,77765.25932433741,88887.41647285479
NP-42,545720.8206168385,51314.187599890334,167075.504399951,6163.189858394578,342459.14620487235,98353.7075293748
NP-43,30667.371567244893,13604.436125028602,77039.64087269013,254973.82952608698,75505.68327726953,66531.1676825165
NP-44,23950.56224733305,277670.9427944673,290187.9344230679,101145.90894460284,1709993.6526961715,141441.91290736955
NP-45,46994.65113765284,49731.40555713593,2107053.862780214,4721697.07008741,252492.77236249886,134668.339601401
NP-47,36750.43818388893,525.5686180980271,739614.1669291126,898273.0465401069,4416.367365517642,155632.22693561026
NP-49,52528.82149582586,25189.312892437385,1466130.9877972915,69143.92883285532,140194.4013997508,80547.65329241529
NP-5,11078.652903952918,3263.735400375163,218277.15189757998,248146.7122877101,19347.269134706756,139644.1914594619
NP-51,3853242.169362223,309628.0770239221,6918638.466997163,548957.1336892933,1924922.6242260826,8547202.207511833
NP-52,1711015.078953705,190381.02673612125,1788906.5337533772,29077831.43293403,1227176.4486585537,420604.8567739687
NP-53,321566.24338094256,48967.3816807427,155031.02026595996,12463432.30494111,174512.009461974,18046.115676912243
NP-54,1310.4702688073712,19.315531000613774,2136.1554378706483,740.5260640777207,526.6623831238193,425.03409618867386
NP-55,2703.260885473643,428.4861662584022,4102.412895379832,1894.8390017673387,1574.5059714306717,1384.0260495739715
NP-56,19025.207508957716,1320.964816686879,142856.13897592656,34106.902948424,8474.943780416317,59519.306380119924
NP-57,668489.8903119304,190974.64365326465,641797.2700088738,2620504.030187613,1082998.5635497984,4472774.445734657
NP-58,1548262.2179158197,520747.8882914266,712228.160330899,33081642.484720174,3166779.179377833,35497.32537888046
NP-59,2336.490642436111,388.0089220375769,1077.4102050232398,4016.896222488819,2008.2736779764402,785.774155575706
NP-6,80968.02806702685,15679.625724019372,93387.05136226794,97882.73920482154,102171.66336869694,78738.82786252628
NP-60,225888.69688305396,17521.27420280304,108652.9012976949,183648.06643255515,108981.70620548457,79588.52291537354
NP-63,124025.14839806715,11896.057621002157,2319945.442425546,45241603.473363794,40825.206920236364,1724036.1531168348
NP-64,66864.16969404939,13241.295602965572,35977.063551143554,65135307.84123064,93516.82542362198,186183.8119385557
NP-65,33006.299595860815,3924.8688072299146,7543.933932711149,61721.77712699726,30838.80473176376,8741.328944266099
NP-68,1994.3425415431086,560.5292943793964,1951.9795041461614,2205.1310474226734,2455.781925246699,1187.5875285090128
NP-69,2235.1083117896337,572.188198418614,19239.555910832554,1438.803840521225,3699.3507564169818,1337.6732746649147
NP-7,11515.645158470574,34193.21006140536,32635.81284535182,33730.893967665215,212236.3869084362,15758.619307916044
NP-72,4300.404878693153,865.5517961980892,5403.723188091872,17680.209089492942,4763.376183347821,2853.6493751797134
NP-73,120380.66267774161,19050.60083023998,44408.46488034762,18158561.0874341,123577.27015837624,53527.61663587915
NP-75,206258.36848572822,1801803.5311497555,165165.5951719149,44415897.449188426,10397097.326624298,44701.781883216085
NP-77,216.97368421052624,54.748344074471895,225.65333754807438,142.77645005370567,270.6842105263158,517.8499373433583
NP-79,4836.419356052553,282.68069972530253,9628.622989252275,5693.590354011882,2578.3778350792095,1478.1109923011138
NP-8,1005.0819185774521,20198.316284471173,14205.418582483997,4230.524106277277,126255.19057685733,4189.440430081728
NP-80,393.56840444235365,14.33333333333333,1529.3432925463403,1082.6853404064004,797.6651233235226,980.5584463794696
NP-81,514.856769766195,43.27979653557618,530.6419019665557,351.849236826951,486.4785010064847,551.8236567266403
NP-85,177.34270405836753,46.25744887019618,342.067522489705,806.0565891472869,245.79625970177216,149.08347224612925
NP-86,2298.580164615217,570.1284058881239,4505.03967771353,6406.841340906791,4559.3134121541725,3556.334378945673
NP-87,4592.612533243182,517.5849011951248,3790.6555681415116,4462.418128774564,3619.5792016428272,4607.974863566426
NP-89,29328.767585587575,6715.306838495291,14345.055424250117,37580.22211675659,42950.27599457522,12020.968255761674
NP-9,30160.317655470302,2746.514142771506,103355.93840138717,38876.04375722041,20800.40958281896,41268.60508849017
NP-90,3926.2036903506537,1336.441506524554,54476.50895717676,38674.981526710944,11447.694046198829,14600.850394750147
NP-91,32372.67445390025,634.3968122532667,102605.90864968862,29820.08570851329,3855.71680934755,3670.334836683199
NP-92,1446.7599207734152,576.8659210598496,6187.285663069898,9351.614270632672,4025.1011553692256,1856.596450594378
NP-931,4562.95756920456,238.6738281875033,1921.2949927112995,3215.51216581507,1565.0765582731754,1710.948081634143
NP-932,8661.89571089708,2168.8393734562837,4915.5862734483435,1547.425050543283,16610.712690884768,5672.981145968953
NP-936,840.1807929460534,162.1059542767596,2375.5277689887594,626.192649081941,768.7647983748402,1096.644859201403
NP-937,331.6943227181198,412.48305565502216,877.8347645474082,750.4315273815214,575.5446576753529,1072.258626495277
NP-939,246811.20895364566,78531.89580729921,273985.4346154791,288392.6830662659,401461.3663301982,371944.0340696727
NP-94,3115.57365009236,3574.0286920574194,23304.136158265148,79419.44625689505,20412.63185974298,52453.879704511855
NP-942,976.4548419577993,109.97369624700671,372.60089519650654,496.86160534803287,574.8184423044883,942.0261805756058
NP-944,447206.12399052706,67373.99935431441,421298.9330225776,137705.95321382576,396770.6535824442,76795.10070656998
NP-945,60646.66802650657,6884.063784335581,43227.90322254022,11640487.657057004,37785.21869972474,445.6485742891167
NP-946,139307.3494688367,21680.482152448894,47009.15469423061,3887177.305780746,121358.55912244055,54472.78011160044
NP-948,433.07164332935923,99.70342394053648,300.5866994874872,723.7975381448109,219.86357322751113,333.9199239774435
NP-949,905.9158764390039,44.098459879870624,618.8604680843982,2642.561506201686,656.2608703055566,669.6537835088764
NP-95,6705.469560358005,7699.120721586391,76590.80614316513,8600.417002675658,43846.13354756839,8255.551918478708
NP-951,44474.545459577246,1985.5466429016528,14941.147337434375,45249.60133194705,11494.672019184187,5478.594422609268
NP-952,939.9642523292064,126.57455843158505,665.289598678516,488.2159499457734,632.3845061887743,953.1031936144076
NP-954,415.9511468244332,0.0,186.326458589028,1735.535075326274,33.493127147766316,27.947140503311857
NP-955,233938.22660125056,26448.206945156217,380623.7633178053,13813.730789990343,167909.27690400966,295507.0024403842
NP-956,13248.439329185518,2098.439145695945,26091.568881637388,18257450.033653285,14752.52429237913,71972.04983996328
