bin,ERR598966,ERR598970,ERR598979,ERR599057,ERR599088,ERR599102,ERR599143,ERR599146,ERR599150,ERR599158
IN-22,5353.920522819765,997.92348659731,1833.42688685048,9581.527782821693,882.6361927299425,7863.2777505895265,10348.490803445586,4437.470527496373,8499.570793992163,2916.8167451535505
IN-23,8162.804046685046,7279.171770293273,7204.415629647311,9711.746008900966,6695.695000340203,111861.5237630281,17467.029989012954,15905.01385963184,38188.237852365724,50707.95978143338
IN-25,4570.709014515858,1721.0962085721667,4627.061060589418,49973.04395431597,2149.8869299744483,20491.29195912383,10915.481617995214,8385.13098634941,13024.595002784288,11114.99007751109
IN-27,16310.686445131267,11421.673782143918,6740.99718481178,10975.898920338446,19585.607266066683,18800.821987329557,18802.05367920952,4238.945159228459,10581.549763606306,9784.459677775198
IN-28,3027.610760335092,1186.5567175148294,1691.2473365969322,7272.792497306294,1053.025578339557,3764.7037396869723,4835.500236286211,4077.091180665481,6619.407093436783,2112.2495669546715
IN-29,3751.5667180431765,11781.646137903124,4157.6753182480925,4996.651269040658,24648.340288379444,8019.230570867441,4147.271863744494,4422.635832634109,7255.806654019491,4350.603712590661
IN-3,108331.4330116745,390.0261039301686,1061.7744919603736,13064.868916858899,568.105943548451,9624.950999587902,203586.60684293768,1243.7287546715154,2373.1246282053644,4565.804043187026
IN-32,436430.2597761758,381922.8475139783,198557.0740293439,348619.8845652216,369627.6916989055,20874250.9970856,794903.9810930785,425732.73034776596,1997269.041961091,9329145.248267012
IN-35,266437.21644046286,367780.4268082981,131619.54772993393,1704225.3139522977,354084.19099888444,275924.3121077517,506042.38466426585,290296.39712790883,1843408.5067329286,116122.3777457884
IN-37,32797.347484290374,1441191.5494814087,833627.3724812693,2466261.301099512,1395424.3066970906,164219.3454510076,63721.95314249871,1867093.763859221,7158744.335772603,65331.99016827793
IN-40,1302.3516171200672,355.47462631846014,2511.097341436868,2322.2801281870397,647.2453766961263,16335.840093700643,2186.883425058207,4631.412812305429,3383.0162554600183,6505.4849342674315
IN-42,193655.09874144173,214339.36418611652,210022.3360288497,4361611.167818435,210634.07218762155,1349557.5250894588,335356.3550407459,435093.3458101377,1213300.4791620031,617751.1225966158
IN-43,536552.9322361156,444111.80217501294,437719.70226532826,4678011.357471784,404055.2176381638,1568776.3714122109,931528.3018374093,920451.1036812732,2682496.9898962826,743094.3351156797
IN-47,155218.77319208576,326220.2627374947,1020229.9883914993,617162.9575913814,296513.9052755528,451405.48368603794,266646.1564663489,2056136.3774844538,2046483.2281564581,212555.55911032134
IN-48,157358.67453653103,34830.79769861642,100042.90743378752,2181516.4401745433,31939.642002329052,919567.2614035312,293246.1308326412,231030.27176937257,159593.26161022022,390147.4415601151
IN-5,672.2898170001976,519.5083106209408,1227.2170306763571,6211.041962714144,700.5228098550486,4450.006461110081,2057.3831124148433,1631.3451647437541,4465.031871804655,1793.5581707515546
IN-6,59483.17877101432,38946.19446865145,66166.40027362198,222267.91118492166,42690.79615248406,162182.3988223403,110934.47459808097,144233.40643315404,208894.7304745446,69302.71665745197
IN-7,40281.07891781748,19542.733817483928,15428.186771157452,142806.00203380513,19481.945987882387,104500.03451798984,73489.010372474,36352.0084849171,98534.68705366163,41299.094001725134
IN-8,68089.34312402655,12613.31839268992,14657.705451149166,96002.44111433405,13509.276127963089,171346.71627751007,133920.43034998284,32474.282376419273,66493.84374993836,67472.64155714342
IN-9,68129.35203303082,18872.28058775555,18500.595078637834,325712.868817953,17314.48601239495,93280.72632354024,125803.18566143267,40469.329059259944,102993.45083461297,42147.85248634356
IN-912,2124.874840007097,1861.7443247357571,1972.6820468091526,5932.747801019527,3051.2052417128,6366.625229226891,1819.528557459313,2008.143017772493,4496.964698834266,4001.4397911746146
IN-918,1576.1814396521777,46497.01441466116,61713.62882804161,163794.74666639528,48290.61577274173,19305.10919871343,3230.6293486043855,137950.85162090877,300561.78668849514,7626.54249926811
IN-919,15811.118865401113,366691.10576281394,839082.3779230416,518750.33249657793,348369.96702043165,93431.38486197322,27409.9174628531,1702029.2341569848,2092962.4647965494,43891.564941364464
IN-921,429589.9490806509,44943.46862666867,258414.1437024392,1807960.076229806,42743.22212998129,434302.26421942806,783574.2275424508,615239.7046358654,221324.13985565427,177006.37424483203
IN-922,13146.849309087407,609.8284765235198,1374.1838658608795,9175.055553665596,868.4413987865669,29736.411552107045,24297.234839709203,2594.9190014548217,5486.3536440085345,12942.957489771456
IN-924,2805001.3566091373,6564033.695586463,6543809.217790166,18565451.34783409,6320703.398970871,13278237.177833613,5159663.932646325,14590791.771846546,34503879.65396481,5874327.372082378
IN-928,16097.668796705057,1437.6237297723808,2682.5381681661656,92712.8955562922,1842.5180805685723,16791.12160480684,25362.376591371023,4832.490606574946,14896.215836310743,9190.605010023379
IN-929,2832984.3451457014,35542.95620219367,32705.512913731305,4980182.971893448,32864.61649629898,2188553.9545584572,5024568.602724364,71135.17759090093,219699.29508123983,993634.7926099695
IN-961,1097.6407269514907,44801.10309900696,16639.17116870512,156480.24236735195,44932.61399912747,5418.354138151305,2440.152007436038,41415.76741745211,220064.97271389293,2229.183956127361
