bin,ERR598950,ERR598986,ERR598996,ERR599095,ERR599100
NAT-13,116137.37962737675,377771.61260381894,757313.2837469856,727918.1841954727,1266233.4124340343
NAT-130,122.08344427694676,6638.024822656115,104487.0501551437,878.5450864202871,19920.734055897115
NAT-131,496.42686079808897,32024.361355081972,373791.6790255247,4147.4707526978655,45617.43385666189
NAT-132,1813.0617239191768,1002910.0249687532,233529.40605439362,6802.604911318817,1008503.8377976666
NAT-133,184.7808716432228,1437.9034740276354,95342.30321070005,2417.9587771237284,47840.099584546886
NAT-134,1620.1277965420038,17752.813711226918,443329.8081455223,19033.58637670469,29037.514199670793
NAT-136,56535.68210949986,632375.4885527669,6434616.262567356,419435.1756905252,3176272.345083578
NAT-137,42089.90830555725,7066863.287375611,230784.77628364862,282359.8431018173,12786.063794357964
NAT-138,5428.486099388827,87210.93218499288,17451.63003479206,28413.676175465334,753.1824951899702
NAT-139,64557.9191838024,320815.2393923614,312482.51025840413,408102.2992455005,103785.3513181873
NAT-14,58817.70869018507,3346988.765158803,899790.4099056774,380309.09205695917,109327.16407750381
NAT-141,7917.654567619722,49942.41884160226,7863570.536490313,51185.633846626726,34642.24475567243
NAT-142,8653.556354947714,7448440.949604552,2167536.653619134,51762.349262603755,26882.348428140496
NAT-143,2166887.942500249,13230226.40419147,2351212.5484153167,13657624.115543209,228331.2150431631
NAT-145,1034701.5287943063,32922.218833916166,27123.841293304344,6407483.259127398,8077.126470348028
NAT-146,237912.6064939426,5481223.866002691,2491958.4322306314,1605417.5027035524,642258.9706396152
NAT-149,8758.920572340066,40504.14787427938,25292.62172520599,43735.23498981993,10771424.887572907
NAT-15,1655.2668304476445,1227244.6135758427,974114.2910951198,15317.687239718141,10265204.942902872
NAT-154,301565.327779568,7760393.59513978,8132401.274880081,2004798.2281963788,232537.3823389594
NAT-155,166.6626510509637,19271.481910636452,1514.0524001292733,476.4569918659692,1697.283510677529
NAT-157,2231.3470875626963,15625.512776336169,2975391.5258847675,14620.753019244721,12036.927911575922
NAT-158,18545.155340160745,22215.296450843543,1291510.631007965,99474.16967392874,73838.59388547995
NAT-16,193153.23741044194,28299.42989816922,1140786.6677240306,1075587.5544685067,224282.62667727307
NAT-161,1365451.826731181,634700.2274123678,1667139.5530111792,9339242.141655572,117508.02610426812
NAT-163,29914.16685258762,246109.775620649,1087773.0053782,235450.79754070527,1277208.676224624
NAT-165,27255.413057496684,106116.85116035579,161202.5964212693,170536.91100455745,18319.258326894174
NAT-166,101721.48118182985,623896.0290306591,1208692.1359108912,605515.7589661382,43406873.942943595
NAT-167,2875.214998893824,1399279.168192397,113139.00465424944,14317.957134767032,2119954.8396263905
NAT-168,553.003779469868,30701.65910030683,1240.6895193962835,5306.758989129289,2956.521829001907
NAT-169,2181.191811175922,381988.55113352503,13780.08009161048,10625.231332722993,1086629.1322625007
NAT-17,3597.24207379081,68735.23767426203,533293.8106524285,26498.702183821286,231127.39658604332
NAT-170,5406.276525654685,14594.477519982369,1486930.6401773624,26518.340700059958,87590.09649394309
NAT-171,800799.9575196406,6086584.375528714,433945.42895584914,5005423.064160209,12391.36011457231
NAT-172,1744.3562609590008,31480.284741897613,6212.062041338331,15241.244014740518,8301.555178749686
NAT-173,2345.244004182551,361169.3608586244,49807.13302147423,18989.802561435296,643536.1995055135
NAT-175,1023004.2285040306,11620795.392386734,16583845.414527783,6848234.696923417,75972.77953503602
NAT-176,225.50313202356043,4673.210004916228,3697346.2895211754,1779.3281734433099,358824.7097322409
NAT-178,0.0,778.0644378553325,383545.47792997904,636.7110871105708,24556.97187320564
NAT-179,51888.19606913997,1688839.0946382585,4255714.341886618,373481.33665182383,20830674.518846273
NAT-18,6600.0501989882605,43750.04522200809,90950.87655571576,36072.31491191418,2283231.4921682277
