bin,ERR598948,ERR598957,ERR598962,ERR599007,ERR599014,ERR599042,ERR599079,ERR599168
SP-182,500108.7489562936,126175.80727162826,13905.691405526595,84992.38205224085,1049009.674959658,6146.598905283457,16564.4682873675,38985.51687592099
SP-183,598296.7079156012,52663.344720515306,8697.471742429421,55759.71621458056,60905.10553237248,25696.718628092534,60731.56952293314,29771.431446588027
SP-184,5747.2547626811,11594.784990970551,875.647044845806,3960.5674177107644,14610.373257256071,2131.0222633117146,3517.863425365639,1116.000412521908
SP-185,892966.8980637214,1471688.8373022764,7931.44728702369,48144.92948822465,153425.3102255828,113242.39778753665,248369.75911060197,14011.62677686073
SP-186,1405492.410863225,113967.4651517321,3343.520546369647,21174.912517280598,31840.257365065077,3866.5347198383038,9460.879379859194,8873.340501235829
SP-187,1900.8844125301437,4742.672933529139,25512.25040369172,137177.83579928486,130897.82656162643,392.14839895498295,675.3223065113976,77672.68958514414
SP-188,9000290.80129756,297766.5767814604,402.70234373755494,2996.7860393782353,14045.273511755007,562352.6535499392,1230522.831162582,1724.5932779035893
SP-189,46061.91427989816,287668.45907986135,5625.004249014978,34363.867675986854,1305848.5117576777,5256.411950894669,12628.217827420196,15876.714297183502
SP-19,118289.65848989287,122277.34225528906,180364.76279856122,1038846.8996665784,4258535.052518539,26127.705014704774,68182.91622041124,608039.8444132764
SP-190,1791.805278123792,14124.070951966003,35753.41983443658,196888.53787028737,3892926.1457705465,954.0053890421026,2740.6357234762895,120307.35653862299
SP-191,1056.099287303635,2722.7175247055056,70.46929495486891,249.76458473036897,989.7722869433077,1372.5449872424363,3317.410720292417,31.946037099494042
SP-194,94425.23543575857,10921819.16081829,38435.652803304554,204031.9061225583,39730.48827640792,3078469.7702307343,6245347.205373339,74003.97551972364
SP-195,2588.627255367416,4743.237905921618,1361.8028444676224,10210.204091013036,12185.2216715179,852.2204273715582,2160.970815121459,3923.9814530377034
SP-196,24222.450881144992,5644.645800889767,212.81161349915038,1794.4238123166824,12478.522559399276,7581.070550315981,16775.750341067378,111.67174048559234
SP-197,2329840.1924095755,7886.391691736904,270.90396670876237,1888.6990672809186,4895.287812082822,723.5495065607093,1621.6825677594993,582.9921003450152
SP-199,9358.504508109,39677.18797186826,20530.474047440992,107020.753397821,133769.7473141405,2867.8216417265703,5320.922010418732,39223.41973895122
SP-2,85356.54173393614,43014.64399004948,7532.788571064479,40282.43730921836,55566.751783658474,2738.2200499096784,5390.722258885657,14842.878239500442
SP-20,50158.77968073695,40243.48398614301,56439.87786718466,278730.0648663735,645730.680532544,8587.01486061724,16837.640235525072,74592.41255283634
SP-201,7566.064820834072,28400.5944044315,232159.38490243413,1339396.6828890345,383299.4682905413,40431.78013624218,92916.21142966229,780858.7864343282
SP-203,12022.498387843027,5877.363419754346,28.61358024691357,1093.4571527655778,5292.09187489651,9724.965169045292,18632.39825137355,305.61002333860984
SP-204,1781.2054830043592,1949.6769850530216,78.42990702213999,234.82429364017793,7619.108090138182,487.0428188117504,940.0051124715427,87.79071445557261
SP-208,16138.73631192942,31256.27412787733,3253.112486069415,21845.068013357777,85350.04575360093,5517.9733455992555,11936.947864299982,10507.527797627414
SP-209,13909.654047832948,7197.7193179416345,111748.9799212976,609647.2173858606,16300044.741992889,809.0801119762353,2096.02587160258,300542.26441366493
SP-21,29674.749474427637,79437.99953191486,4360.214161610853,24732.196249970646,37402.53718029381,10428.971554628015,22366.316482254606,7954.182703949165
SP-210,1354053.9373432952,2134698.194992845,12894.656861300284,75774.31719731768,6488031.256942286,90898.79527568165,210116.6141326802,33538.53065094749
SP-213,486.3982169410086,6177.685613738836,321.1537144142611,369.88943563881514,554.1800707046982,498.7111466401569,269.037912381929,72.54024112866018
