bin,ERR594320,ERR594359,ERR594361,ERR594362,ERR594392,ERR598970,ERR598973,ERR598979,ERR599012,ERR599057,ERR599058,ERR599068,ERR599088,ERR599146,ERR599150,ERR599173,ERR599339,ERR599376,ERR594291,ERR594324,ERR594382,ERR594385,ERR594389,ERR594414,ERR598972,ERR598982,ERR598990,ERR599018,ERR599023,ERR599025,ERR599026,ERR599107,ERR599110,ERR599362
EAC-16,0.0,0.006552407478797308,0.007063172996889329,0.0056306771099170665,0.006849587081533949,0.0,0.0,0.0,0.0,0.0,0.004017470904882132,0.0,0.01935863150857249,0.0,0.0051997133626145425,0.016532538552581976,0.007140551873919598,0.004976596587203567,0.0,0.0,0.006381038168300802,0.0028225572108069356,0.006881229001036412,0.005814270819583227,0.0,0.0,0.006693467950555834,0.012230240953548063,0.0,0.0,0.0,0.050680162483568665,0.011197172201109853,0.0073380270356466605
EAC-17,0.00904430474770851,0.0,0.010704141431102803,0.0071151135015357,0.0,0.03682447790708902,0.030539769942896266,0.01648344918265548,0.03559454933736015,0.01388576063953123,0.016153031928372426,0.03329910549927579,0.038030684399093746,0.03216726217330199,0.03532719953709264,0.040751130432063305,0.0,0.0,0.035947939337649254,0.03621897539272986,0.0,0.0,0.0,0.010733969032021121,0.015908913608250388,0.028929159149802323,0.03505404171568611,0.03428262648634541,0.022571461091519543,0.020170293779940805,0.022191831683612464,0.04076845852771307,0.03666346233078696,0.0
EAC-1768,0.0035109339360351035,0.0006176610026389756,0.0,0.0,0.0,0.00421004120014632,0.0019240636058434108,0.004223486761939157,0.004270864197331399,0.0039960946499708275,0.004041508816798954,0.0022878914142938664,0.0038647282618007282,0.00426168546485797,0.004436059425359075,0.0010479699754677107,0.0,0.0,0.0031379307680109,0.0027287868904332844,0.0,0.0,0.0,0.0,0.004542155633917834,0.005578486933927387,0.0027813599817248665,0.004540603498500018,0.004598318901536328,0.005382737793646557,0.004831920472622248,0.009169914568167544,0.003940048478178549,0.0
EAC-1785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005284299490474204,0.0,0.004613789823898367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAC-2,0.024598457286739966,0.009519548346036157,0.008627644024074527,0.01081059491451583,0.0032754298230832355,0.0,0.0,0.0,0.005416591281093003,0.0020714164278945704,0.006494942571521717,0.0,0.0,0.0,0.0,0.0,0.0035211217999100027,0.008640837518380419,0.012853744164343175,0.008171398007943772,0.010431024621760727,0.006360216272293825,0.011101015984320261,0.009016662114404115,0.008822905692749145,0.0194724418159091,0.013896856309875664,0.013300406186578836,0.0,0.013296156994861162,0.006204161974553074,0.007865772391935031,0.013720778446816267,0.012209958379159799
EAC-20,0.0,0.0034784993733996106,0.003509965828054138,0.0038195917799555136,0.0035205552263241576,0.0,0.0,0.0,0.0,0.0026511748304457886,0.0008215032743415527,0.0,0.0,0.0,0.0005005040164659175,0.0,0.003160685370165991,0.0033225079727910905,0.006350297556907751,0.0,0.002969467412809429,0.003348164811879862,0.0036980602479130564,0.002717914573672639,0.002215638601803435,0.0,0.0,0.0028072648604958767,0.0006983695735118258,0.0,0.0,0.0,0.0,0.00400546382025239
EAC-2006,0.0,0.0,0.0,0.0,0.0,0.0,0.022731979043366657,0.0,0.018332605886626042,0.004122881907565045,0.0017320676393132862,0.02038842136688427,0.011219431065620494,0.0,0.0,0.02107506436616782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020987811275205246,0.00467287882720786,0.0,0.006954232886674925,0.0,0.011407572546253426,0.020889881003247436,0.002851698125293158,0.0
EAC-2011,0.002952144779822315,0.0,0.0,0.0,0.0,0.002333649468021655,0.01786366775516605,0.0016068140857452057,0.000966984650761645,0.0,0.0016162574909099794,0.020097368727618484,0.0024206934169914525,0.0014458314258645943,0.0026489453991646885,0.014283118800830006,0.0,0.0,0.001223280753605394,0.0008176959170643465,0.0,0.0,0.0,0.0,0.0022098377922437915,0.010926170476422694,0.0011417664571429012,0.0012151839210455574,0.0014978654720526395,0.0016631652034698608,0.0,0.009383673318658152,0.0012014012699440287,0.0
EAC-2037,0.0,0.0,0.0,0.0,0.0,0.0,0.0290059104921111,0.07433776423925803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01346484556677474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021777607400609317,0.0,0.0,0.0,0.0,0.00629488276785199,0.0
EAC-21,0.0,0.0016855328105566318,0.0023497403751571787,0.0019185431293933508,0.0018667628864355598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012836830062876216,0.0018566419653532871,0.0,0.0,0.0017297309004147019,0.0,0.0017048013252531295,0.0017971344842663281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001879158414080375
