bin,ERR598966,ERR598970,ERR598979,ERR599057,ERR599088,ERR599102,ERR599143,ERR599146,ERR599150,ERR599158,ERR598949,ERR598972,ERR598974,ERR598990,ERR599018,ERR599023,ERR599025,ERR599026,ERR599028,ERR599082,ERR599110,ERR598960,ERR599021,ERR599031,ERR599034,ERR599062,ERR599109,ERR599112,ERR599164,ERR599167,SRR3963457,SRR3963458,SRR3963498,SRR3963571,SRR3963599,SRR3963622,SRR3963658,SRR3963804,SRR3963805,SRR3963982,SRR3964650
IN-17,0.0,0.0,0.0,0.0,0.0,0.003685742873158078,0.010962099336344353,0.005206674698583363,0.0,0.0,0.0,0.0,0.013235180135556647,0.0,0.006324721675111001,0.0,0.0,0.0027201408848208926,0.012227024533693098,0.011734764770424295,0.0016288200721769038,0.0007312107685145845,0.0011284905371674292,0.0,0.0,0.0,0.0,5.869411115631525e-05,0.0017455194471226187,0.0,0.01888114093987564,0.004990050304488744,0.015859092127136442,0.014347397989970314,0.016764427883651796,0.0,0.0,0.0,0.0,0.0033325493779590766,0.0022949051177731765
IN-19,5.988651464113954e-05,0.0004085388734183952,0.0,0.0010717386175498088,0.0015815334491928285,0.0025269163773638846,0.0001290980111477442,0.0006162246237674057,0.0011315008639883317,0.0036260874046343573,0.0037820564327569494,0.0020762127341182853,0.0,0.0021409731555849724,0.0035745486229517335,0.0037895366351476593,0.0003940263848954435,0.00038922842521191324,0.000245419169019036,0.007048369814016948,0.003089389098771847,0.014407966008747459,0.014735689315554853,0.11843487409899997,0.011493679565673693,0.007057691188176264,0.013139638815595982,0.01633145590872944,0.014244726187394982,0.015715390171579958,0.013031275241932525,0.022849571458842186,0.016551960392144776,0.006586754631037944,0.026283038702344254,0.015647011613370943,0.017388201864523833,0.010577717068146482,0.012311849770602989,0.017076897113021166,0.01868558089578746
IN-2,0.0,0.0,0.0,0.001784201135942584,0.0,0.00018925270394622932,0.0,0.0,0.0,0.0,0.0019228697153420048,0.0,0.0,0.0032817646033950704,0.02109532902068297,0.0,0.0,0.0,0.00025155474368352565,0.0003875073569525143,0.006650628169763727,0.022957756248073266,0.021300191079698674,0.015318467043589459,0.011468348443454679,0.01462328083325053,0.00656617768774376,0.022232243620321612,0.02498518329828079,0.013746436329794082,0.03439632566289467,0.0,0.006006304617960122,0.018552650906675242,0.0,0.023042414329647862,0.02224391168562175,0.0,0.014406393133413539,0.024678447027687372,0.027733558697941
IN-20,0.0050335327665596485,0.017152054727640163,0.00025538742160054895,0.009669815240511683,0.0,0.00342281736454395,0.0033372320291682168,0.0,0.0019122262674619265,0.0030070649669817484,0.005272199777180331,0.01476381835157994,0.0017120905272739152,0.02752401135818959,0.025065471036818585,0.007288910584827125,0.008328436108790416,0.015061682044947464,0.0015738942727971873,0.0025457087264173913,0.027667117610975667,0.029042802287887214,0.025970821175008377,0.005019468364152283,0.028330992966051172,0.00718083571963681,0.006155770801883265,0.03002811775897107,0.026882803076631722,0.007492147605100772,0.03139181949228483,0.03295893221570821,0.030096359176511444,0.03257271147790482,0.03048151664913666,0.03120142679178784,0.030173230594426594,0.03217064969364156,0.029241658182799113,0.03069012040529308,0.03186536948245978
IN-21,0.0025167924321883124,0.0,0.0,0.0005813053177971241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039690671176517684,0.0,0.0007001201575537136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN-22,0.0,0.0,0.011248219681623359,0.006774042710743257,0.0,0.009734846719846833,0.01797793011349055,0.012442278294213844,0.004503039357686043,0.0,0.0,0.006442817049274132,0.0062030658213505846,0.03560528727242057,0.0317493105660825,0.007920365679351405,0.005295515728123686,0.008334906963774032,0.009515223685826446,0.022035413862693965,0.004821075584482431,0.010274817893870192,0.001904320502348103,0.00966724180125947,0.009303326795676373,0.005966861211504189,0.011920602118129928,0.015707177250578158,0.007724081706162759,0.012572562293149743,0.023213161727970565,0.026225699441232438,0.016771906927015384,0.024225410987841752,0.042887779597981214,0.017216405521026386,0.023122692460927723,0.014775579120638262,0.03401398958779234,0.019283814675372886,0.029165341184532206
IN-23,0.012087349653669028,0.0,0.002637271498025735,0.0016818122424498722,0.0,0.016985286236803242,0.011545561368676776,0.0009011833287182746,0.0017631956099582657,0.02267888522742479,0.04409941107179791,0.011860694376473928,0.034033291886827285,0.005653175155729717,0.007024204416484955,0.009029216630273638,0.005865617748813437,0.024079675366622134,0.017347338744755542,0.02676587501286751,0.01158113931577637,0.013369287538978957,0.02627077127277529,0.04710997297023951,0.00909405295868788,0.049368248793534804,0.047236134141120524,0.0011325615264626192,0.01958718535833412,0.04214247662942161,0.014341086371814896,0.03305983987186302,0.05099229434644462,0.0144990752586484,0.01869847004093611,0.014545541300084796,0.025271104831980293,0.008447107421399742,0.021658162012662477,0.023920348025405477,0.024583206602678414
IN-25,0.042298324553004106,0.07088505534575085,0.0288159874242828,0.04569129980196315,0.032714898794314384,0.019455418792623212,0.023361314591891957,0.040229942010744466,0.03860948888371138,0.05733998221220612,0.021111187642710957,0.03541171869834119,0.02623422197255328,0.013820342458804586,0.0220910395472117,0.03266532877214126,0.06503857879905661,0.03272412040262816,0.010408863811030133,0.03318665110039081,0.01646410868340209,0.012117838456525226,0.011250440199535642,0.0,0.010137030468859963,0.003167064103656775,0.0,0.010949184463765388,0.010728427992274933,0.0014958547758155262,0.013089621907133494,0.010793587220463618,0.009504492408978034,0.017854948679652656,0.015783663600389502,0.007619128385178367,0.015109479091341063,0.011248250412977792,0.004794450554423313,0.01120862128137421,0.005065189611918501
IN-27,0.0011631020208885817,0.0,0.0,0.0,0.0,0.008555645849504794,0.00178724389871042,0.0,0.0,0.003432292395986924,0.01161368739019933,0.003112013850999065,0.0,0.0,0.01517023760659471,0.0034217371565887157,0.0,0.0,0.0018144826613590236,0.0054390721115686195,0.0,0.00045302863112369005,0.003482903930490616,0.00537517151360885,0.0,0.010022995798746975,0.005051469113740667,0.0017159583739875047,0.0007933384620221379,0.016644954886405258,0.010987423789860618,0.0028223516380863683,0.0,0.003706994793287985,0.009017445088662576,0.01093546839522721,0.0062753027487969446,0.0,0.020848424409526344,0.008224434057704247,0.006696150783496203
IN-28,0.0,0.0,0.0,0.0,0.042036555941977756,0.0,0.0,0.0026939078759322284,0.001608978021099448,0.0,0.0,0.010842700896596315,0.0,0.0014851019313377575,0.008577643431820423,0.005208478401364828,0.003697490832306195,0.0021916814952419837,0.006640776355724877,0.010626026525337288,0.0010125460961220975,0.002249988161090375,0.0,0.003377602805182199,0.0,0.0,0.0,0.0026517859505295494,0.005681676001917401,0.00412883569925666,0.0,0.004868244846731396,0.0,0.0,0.0,0.0,0.00883615998316772,0.0,0.0,0.0,0.004230657070303495
