bin,SRR3960572,SRR3960575,SRR3960576,SRR3960577,SRR3960578,SRR3960580,SRR3960581
NAT-239,0.025168854636572695,0.009983614766458189,0.018735217548802217,0.0,0.010254176557878096,0.012837597667474483,0.003313468647464017
NAT-24,0.041181258042378634,0.039373909598503364,0.02629843759699272,0.033240225404948066,0.03342076999149894,0.056430494603236576,0.012975431602428514
NAT-253,0.004175488239444895,0.007057797594813094,0.00736066711274702,0.004649504803463787,0.006198589418947198,0.004923354307495068,0.0044913555978512605
NAT-26,0.0037606988528783194,0.0037735466961916647,0.0006271429564008753,0.0014119469912345069,0.0008255392872792477,0.0,0.0
NAT-276,0.007595964325941991,0.010315016631930206,0.011855773501009186,0.01059857256308056,0.0074785125933255385,0.007487317412139797,0.027597201755263485
NAT-28,0.4331633445787208,0.005509897505902874,0.10453228545022146,0.03454673922114829,0.013229950015507808,0.3086111905448651,0.03282013547484848
NAT-291,0.012563608413390237,0.006156221161255791,0.007605660606068053,0.015320080778718145,0.0037090902784031672,0.0069230993463792094,0.0020033510563251164
NAT-3,0.004420007209886072,0.002274852289215817,0.005986154753642031,0.001648739397721903,0.0021598516253584824,0.0027136276655778733,0.003914977506066359
NAT-30,0.146997843213945,0.14415156191594797,0.13104848008415748,0.19785596659701524,0.20069568749608516,0.16893903185843814,0.06683787239005222
NAT-32,0.006582059878462503,0.0,0.0,0.0,0.002208745250501141,0.0,0.0
NAT-33,0.005109263192995132,0.0026781933315060623,0.00823239168125454,0.0007510554141501154,0.002161539623948754,0.009563015767384529,0.02788417362234677
NAT-4,0.13074904003114227,0.06651246813036718,0.17854701891624136,0.1471566191565171,0.18972826569733173,0.04169286543535499,0.13785613076603356
NAT-46,0.005710293500116917,0.0,0.007559869475068739,0.008817561041262715,0.0,0.0,0.007291548070473434
NAT-5,0.017791589379422112,0.0029633048820744954,0.01150451024828388,0.01934881237395195,0.0,0.011242859269461267,0.005572785179270955
NAT-6,0.0,0.0,0.0001699572162355892,0.0,0.0,0.00020390200581955678,7.211842470265292e-05
NAT-60,0.0001649931722638702,0.00034972949400406347,0.0005155206091256799,0.00040074581588378847,0.00032022890535272187,0.0004053387320685249,0.00041089506864684297
NAT-64,0.003416410260704549,0.01148729042748996,0.007448820106793589,0.0035091689718149337,0.005833143427440415,0.011382821794004808,0.009529633300075904
NAT-67,0.20492229139712181,0.062481711721655134,0.10790256472500734,0.09721640002323445,0.05449773253960866,0.22441079768431255,0.019693710615451
NAT-7,0.005060248442903829,0.008063689098102103,0.005045471210736194,0.00226708505755396,0.0029529441557394004,0.019765962353615198,0.0059182510182395785
NAT-70,0.0,0.0,0.0,0.1996468791894638,0.0,0.0,0.0
NAT-75,0.025099922726151823,0.023883647892751103,0.016038627466392806,0.026021903160834404,0.014605024246187263,0.03715886441031724,0.021750383266039404
NAT-8,0.020824686862764303,0.03294411745321831,0.00990540255864978,0.0,0.03670806989951814,0.03687310125782884,0.018463961107482545
NAT-81,0.009345615891747771,0.0,0.005012597151294377,0.0,0.0,0.008227127716216457,0.0
NAT-82,0.009786129956983141,0.01134335909320495,0.011337480401686114,0.0014778872955932307,0.004028989486761997,0.03762212455583487,0.0013862430060411306
NAT-84,0.02379649703312474,0.02024519519228978,0.16564930916631973,0.044479785296149744,0.059148493667392124,0.06595916186979467,0.1338693338058685
NAT-9,0.0,0.0,7.296349522738144e-05,0.0,2.677739727280925e-06,1.6032384779379435e-05,0.0
NAT-91,0.0002055942793246156,0.0005429021653714707,0.000592032510836361,0.00012424329880064531,0.00015899190255135167,0.0005456983038399535,0.00017481355322524047
NAT-92,0.030330070488528156,0.025955052543568956,0.12764009926438963,0.016024383531771786,0.12194701431936096,0.07824614920058945,0.06212552075796364
NAT-94,0.04332415680524752,0.008729320525243004,0.060307188048853946,0.03268694327614292,0.06145422998380662,0.048509930887636186,0.00519055231296971
