bin,ERR315857,ERR315858,ERR315861,ERR315862,ERR315863,ERR594288,ERR594316,ERR594317,ERR594358,ERR594396,ERR598951,ERR598993,ERR599043,ERR599140,ERR315856,ERR315859,ERR315860,ERR318618,ERR318619,ERR318620,ERR318621,ERR594315,ERR594329,ERR594352,ERR594375,ERR594405,ERR594408,ERR599073,ERR599092,ERR599094,ERR599153
MED-1153,0.0001479029869957014,0.0004479473375060066,7.064314413161537e-05,0.0006212471435324628,9.670473266881876e-05,0.0005458560135187747,0.0010228513804100147,0.00034141906789805684,0.005336661934508151,0.0,0.0006054381457231355,0.0008008941085962619,0.0006082004455891357,0.0015536089957087682,6.598826758990375e-05,0.0,0.0005211815703497,0.00032070835919296525,0.0,0.00036533891828092064,0.0,0.00016572132952026374,0.000417388751876854,0.0,0.0,0.0,0.0,0.0009271279230040814,0.000762080304578551,0.0004660668200461736,0.0002256309431488426
MED-1155,0.0,0.002290262478700839,0.009783738467572732,0.0014848700370731964,0.004239684426853201,0.0,0.0,0.0,0.0,0.0,0.01325187000465536,0.003866649265069905,0.0050271930911401615,0.0036324904730155455,0.0,0.000643504730805105,0.0,0.0030802665641009577,0.0,0.0025478728749418356,0.0,0.0022079640038567537,0.00033249357400437843,0.0,0.0,0.0,0.0,0.004412027406627474,0.004408720650765602,0.0003081720342716152,0.0
MED-1190,0.0012686440005979214,0.0022014623941017607,0.0022116948590921812,0.0005047261086268579,0.0023276410387367695,0.002948280256071418,0.002284739800318148,0.0020461728951171915,0.0,0.0,0.0019150770975340666,0.0023053850477262076,0.0026080018668975208,0.0,0.0,0.003010305215828282,0.0024809151398714983,0.002129103676944921,0.0006883527376684997,0.002285991386088116,0.0019226518247557201,0.007236823603066974,0.0,0.0,0.0,0.0,0.0,0.001513337419557624,0.002025437591983852,0.0,0.0
MED-1227,0.0009309270477145241,0.0017191125553826312,0.0014085375127888705,0.0,0.0,0.00103223807198599,0.0005206145169857947,0.0005499058465061476,0.0,0.0,0.0020062939554450886,0.0013588242429368898,0.0017251137827938947,0.0011946293001677587,0.0018986478236390086,0.0018412565662103283,0.002012090296318582,0.0006205717832240812,0.0,0.00033224783638322237,0.0,0.0019383600886063066,0.0019179605921120528,0.0,0.0,0.0,0.0,0.0016884093124190434,0.0018835753391117974,0.0019678887628242765,0.0019709138866993367
MED-1233,0.008951064957261955,0.011120488660057003,0.019671500121023516,0.005814934466073829,0.010583405703780361,0.011670470329961694,0.012164923898528255,0.011784460578176132,0.0,0.0,0.02578536627536849,0.013966886046401289,0.008452839478037948,0.02647595814889785,0.007736008882845361,0.0,0.0,0.013815906403406929,0.009029586986539481,0.010324804287761462,0.014813802902368613,0.001069992478108164,0.013749957365985017,0.0,0.0,0.0,0.0,0.005624700716600486,0.012454584616241559,0.00956897120942482,0.0
MED-1247,0.003874830708719933,0.00017863504817664267,0.0028178273679472774,0.00021150665171701147,0.0002736672147010014,0.002712227871640474,0.0025697277334769085,0.0028809801187493034,0.0,0.0,0.0024440457143311963,0.004163030375422888,0.00134600626306259,0.004400271343111764,0.004163852327166052,0.0035119923968442283,0.003938242780701012,0.0006676006990304289,0.0010044165148376614,0.0016680735338294363,0.0024140265181668585,0.0044597266352969615,0.003996667628670999,0.0,0.0,0.0,0.0,0.003709236342044857,0.0030538086926661114,0.0011667889791010467,0.0
MED-1261,0.0,0.001986287809412891,0.006152499467743787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016229748552592932,0.0039031957657612434,0.003161200362181057,0.0027070710172082996,0.0026838429234240925,0.002971250361265873,0.004065818451578855,0.0,0.0,0.005910533702470011,0.0,0.0035693752020779053,0.004957554674309418,0.0,0.0,0.0,0.0,0.0018700545340767712,0.0038927608064033945,0.004705510784150979,0.006186760934634792
MED-1269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005275202759758856,0.0,0.0006097191329888019,0.0,0.0,0.0,0.02292437698774549,0.0,0.04732890494868913,0.0,0.0,0.0009935427086135162,0.0,0.0,0.0,0.0,0.0006698639217516777,0.0006849602033499558,0.001124466474338779,0.0
MED-580,0.0,0.00905083871240328,0.0,0.0,0.0,0.001197785798976672,0.0,0.0017724574777638355,0.0,0.0,0.0,0.0,0.003266400642892851,0.0,0.004159787430380488,0.005531111587053183,0.007416232702502032,0.0,0.0,0.0,0.0,0.002721946029572193,0.0036444059146140606,0.0,0.0,0.0,0.0,0.0,0.0,0.008122366452358748,0.004387612584107389
MED-581,0.0024307808328523288,0.004140999042245648,0.0020851511779574877,0.002136697568569466,0.0042601917985466906,0.0032719070717187144,0.00186242522364858,0.0037643837810224993,0.01041490366676912,0.0,0.0037605636894290782,0.004299386445421458,0.0016982762188390097,0.0037711907089387534,0.004167703893400078,0.0,0.0,0.003991863917954319,0.0043373741380565035,0.004926830421557406,0.004991006726043582,0.0,0.0,0.0,0.0,0.0,0.0,0.0039693317913851835,0.0044117476256943155,0.00018525164095131965,0.0
MED-582,0.0,0.0006980392010935975,0.000534355430880653,0.0,0.00023500265262544004,0.00018029299004349936,0.0,0.0,0.0,0.0,0.0003044967812726787,0.0006945067332069618,0.0006518770732101206,0.0010039682330951283,0.0,0.00024255613673161296,9.348856156109667e-05,0.0003697379990985161,0.0,0.00030842293268811704,0.0001523615253791923,0.00021758703121372124,0.000335606657864597,0.0,0.0,0.0,0.0,0.0004264014256353465,0.0005720707623404866,0.00048621929233189716,0.0006155107222076447
MED-584,0.030191191000074048,0.032280538312546486,0.03208434828806593,0.03709808104726148,0.03236696617681008,0.02818993290281378,0.02775735290579534,0.02507073788774929,0.0,0.0,0.030029863728682424,0.032179871812845394,0.031336046806726046,0.029935194768459857,0.028690176192709502,0.03201922523800375,0.03259905397579153,0.03382725862240862,0.030512809676848135,0.03157952423367848,0.03487610933629699,0.03348980909775495,0.026196559107014898,0.0,0.0,0.0,0.0,0.03140459897631104,0.03228465154317494,0.031304098416756514,0.033084125230877205
