bin,ERR598971,ERR598980,ERR599004,ERR599015,ERR599051,ERR599060,ERR599067,ERR599076,ERR599115,ERR599127,ERR599152,ERR599175
NP-125,0.024556313280612172,0.02416526850963173,0.005327305030486071,0.013269488019894141,0.005963743045632003,0.006002433113544043,0.024062103416410012,0.013760304056491849,0.016273107760524756,0.014261499821000381,0.01281532473193487,0.005464043957924737
NP-127,0.0,0.007579235135069303,0.0005261398735489003,0.0029057512323243623,0.0026632350124253783,0.0025848817178749715,0.0,0.0062639522602321255,0.002531363183115913,0.0,0.00754163955308151,0.0
NP-13,0.006531150972244379,0.0034281937276278555,0.007452734339880321,0.021103605465446238,0.006359022113416855,0.008175545505282203,0.006713822094893508,0.026468346806648044,0.003523782953039265,0.025503828227101653,0.018049424560865036,0.006883310778093521
NP-133,0.0,0.0,0.001013511749121222,0.0011867436617787337,0.0011539965970172332,0.0007953626919221085,0.0,0.0008893918306881077,0.0,0.0010305410697995232,0.001031230762848612,0.0009241807204625791
NP-140,0.00459525512759027,0.006944983151154767,0.0023628275551301737,0.004986184838248551,0.003042400884700967,0.005189430559615028,0.004485060875785283,0.004508191924891319,0.0037615789199403043,0.004876751592838197,0.004642414535610941,0.005351211445645849
NP-1463,1.3170447410096043e-05,2.2151625973768278e-05,0.0007632818582557635,0.00012913372255398604,0.0002033879959515906,0.0005666759264066033,0.0,0.0002366191871675203,0.00020617424637141827,0.0002241983992732537,0.00034050782910312577,0.0006232182683618843
NP-15,0.02920326159151572,0.015120160793321681,0.02845771605802826,0.009946973463257484,0.026845003931697767,0.025823193942065673,0.029344556043469756,0.009998896902279095,0.012060171020539611,0.009821688048984376,0.009666757740564113,0.0273936205099142
NP-150,1.8092722300576855e-05,2.5661287753959483e-06,9.637175143673424e-05,0.00019152119962292764,3.5132256690479793e-05,0.00016527483646557156,0.0,0.000127277756558963,3.311907598187075e-05,0.00010454191217801177,9.277033662149741e-05,0.00021345590450872945
NP-151,0.001490862115808942,0.0037117093475023326,0.00150160620095281,0.0034811411684946354,0.0010435021185677118,0.0015036369517028591,0.0019107457303450721,0.003536179480228382,0.0032940523906071534,0.0035045347514391207,0.0035069582608182747,0.0016214340208902068
NP-156,0.00732065724277563,0.0073547367008938115,0.0077158200361179775,0.014287983337441674,0.007932529147226149,0.008732556568260634,0.006698148706144874,0.013318610387889871,0.007325957691998642,0.013393563973890256,0.014640525949164087,0.008157403885712953
NP-16,0.024662048932379874,0.0018002047435958179,0.0016196838130414241,0.00625341096857238,0.0011491402317651924,0.0020468361627643556,0.011660281264231308,0.00184623039877686,0.0017976533336258142,0.0066795188697368795,0.0066184995254481346,0.0011496382350927507
NP-2,0.023432003632768192,0.005622273690538443,0.0056989251540675995,0.04233309412139863,0.006013873044060837,0.005683310086746388,0.027325824743067377,0.041139904437731065,0.004857353155546127,0.03887857501691392,0.044688413016951214,0.005409204667059105
NP-21,0.0007805078520392837,0.0,0.0010826123654984836,0.0008112888646910298,0.001296260078851028,0.0013550147594377194,0.0006399357909509795,0.00091696406246677,3.002909331622382e-05,0.0014032819919223062,0.0010151777139367102,0.0012279946209676998
NP-23,0.0022634479159573365,0.0,0.004168788990424514,0.010369463585493196,0.00838754732027327,0.007942225063964919,0.0,0.010280666546797693,0.009157758870763704,0.010175798234019857,0.01039739473187051,0.009370284549090162
NP-25,0.004368394845227622,0.0046781945419504594,0.004047313072816027,0.005159947636961571,0.0035373854437212426,0.0040611477152720935,0.004750892746284998,0.005917354182650742,0.004097414818223219,0.00504135005147726,0.00634842392165569,0.0025144134551463226
NP-26,0.003918278952602444,0.0026665206024079277,0.002181039764320931,0.0011358342779572963,0.0008191110304568321,0.0021099569356021683,0.004230669514067819,0.0016578649336922216,0.00622139297742183,0.0016682352586184892,0.0016594062059933636,0.004428435069584469
NP-27,0.01821633735882895,0.04679603445877248,0.021000176878017682,0.008953573621528113,0.020780190948367395,0.020173272822709195,0.016662286594393158,0.006908789737831926,0.01596704291732609,0.0075242354771391734,0.008626161621029334,0.025450365259194592
NP-28,0.0,0.005589240919434809,0.007811821574499965,0.009031920768110007,0.005863842581736879,0.008706567587595231,0.007090821117823178,0.009012957599198311,0.015227411699338628,0.008203313671807712,0.007812761953636987,0.0065538101535002205
NP-29,0.008138433525370177,0.008337457784761877,0.002711463430736585,0.004653989815165763,0.010627395794068179,0.005138653964289717,0.016602438142539946,0.01036805488443087,0.014328484766816255,0.00719122602807591,0.0033666165338596394,0.0028731282990470037
NP-30,1.8366859999807848e-05,0.0010448462530406898,0.002594621050861076,0.001146710638180797,0.00031779378797658136,0.0003667619942744382,0.0,0.0014644747547242754,0.001223606284360603,0.0015190695303784803,0.0008134550698618773,0.0009705011036873368
NP-32,0.04478509343950403,0.0737694344135434,0.050988944260988156,0.07723211720624887,0.04898110534618699,0.04744190609287022,0.038586430120054464,0.0727324834759186,0.1092825727682184,0.08121821953269467,0.07316233829293937,0.04753522082985383
NP-33,0.00047794186680786367,0.004198796844362909,0.0029127957557104926,0.001492537086089124,0.0013792217668935753,0.0014517237081536451,0.0,0.002509363140384918,0.0033824773879307228,0.0024113820558647357,0.0013782821042429957,0.002774159565815514
