bin,ERR315857,ERR315858,ERR315861,ERR315862,ERR315863,ERR594288,ERR594316,ERR594317,ERR594358,ERR594396,ERR598951,ERR598993,ERR599043,ERR599140
MED-1227,3212468.501448086,1679692.7647415895,1693840.9178370822,65262.746501347145,56183.16716020331,1152401.7939988666,193705.77134351686,571682.3266824312,458.38323804246136,215.24531280375422,699298.4914971377,3303076.7386976453,4565113.179656082,484084.14372454816
MED-1233,61478.07190402799,8046.3741463450915,7121.404716499345,102031.29694797799,747941.942455026,5068612.349283432,861825.3682041125,2414921.8152639135,1662.9237961692613,1205.5092996347084,7660.855061027742,39760.07279974715,48492.66160008452,6888.969628008324
MED-1247,8023707.300010665,81893.55884178971,82084.58174730875,874489.4563467273,655160.8883724178,2196717.910646746,343937.6655235887,1100646.1117311167,2087.7900015066202,872.8463739079591,27521.130468992196,954766.1454198416,182823.50097320732,136309.5481204351
MED-1261,50820.16383994713,36181.890015257275,34975.18206954896,49542.169240194155,17747.996510456796,14239.644081544355,3065.8827451326265,7816.166646517138,47.14285714285714,0.0,5904.190634947056,1148714.2343178382,40468.57948861485,177339.6887151403
MED-1269,73030.87191298995,1634.5137388548694,1731.772709509562,432.4188592318632,2835.196688874367,3559.32107316423,1007.045997542676,3498.2793625170584,0.0,0.0,579.6790202146605,14830674.623908583,3781.8075437286952,2272621.9052695474
MED-1270,7275.970906973898,15870.634100239366,14749.618394831008,16643.39256328271,50336.35136024238,648.8119148873038,234.997469692484,4260.522115856735,80.50859146752485,0.0,2980.870345382054,7835458.605856202,16019.048300508039,1227844.905827001
MED-580,10367.08857670315,3924.8130025436235,3367.0315825652456,3146.709193311681,8108.8018390573725,21064.85384720305,2313.669812729768,8241.397644218552,3604.177109569124,7237.898788359298,7746.5929848458845,5254.210254853261,49294.254609145435,691.6822509472305
MED-581,252353.24977831033,168985.4605401171,163552.01398314614,395161.40223878814,1230247.8002751565,324535.02277812886,54122.33656469001,159949.91250614554,2972.5297969635326,653.7345442550144,35762.42353296912,9434820.951056587,247156.9397561952,1429291.319593889
MED-582,242089.360335787,1028462.2634652356,1042457.1426940901,624786.6626670137,551577.1484922537,357632.77404732065,57649.03554026175,175937.2522942841,4410.166551218593,157600.55572255983,661461.1486395585,3689710.908826873,4433209.978539812,563117.1640193501
MED-584,76143.25697543299,3992798.4448509654,3999577.034905916,9533089.058683764,6908350.709444789,1010134.7357548577,163647.31904318248,508879.30886199296,156.02401996350068,526.5529462345255,3349921.8306676545,4640013.126778671,21489200.66791241,709566.4214301114
MED-585,3243604.9006643556,1148133.859629934,1171251.3949218106,1208499.0679253086,507928.89682571206,2763769.8718128144,432647.38672556763,1408894.0755563022,1430.64219275525,882.5319407162681,1110180.953427058,5865703.098271902,7532606.263205037,869969.5454472919
MED-586,221642.1439464936,5663566.2784041185,5768328.108175864,3898676.834206954,2912012.6799254473,1247067.874180643,203513.78696118775,626292.65486035,222.2811984058681,44.24724566338488,1765437.9381543628,12875038.369980434,12001552.372510795,1845905.6667354822
MED-587,4534444.326632147,1589414.5823780259,1577698.6582721677,255736.93330513613,850612.8913764232,13846736.586304326,2404042.718518471,6661884.375498125,591065.273502622,398602.96650483296,953904.9252267616,24195613.632278997,5856886.719582499,3799405.7639152724
MED-588,1356682.9152726722,11336.201237052755,10141.977133948361,105719.4291445956,385081.04475874203,1948045.4867913483,323405.6454494281,968306.6337043118,6696628.253753204,26977816.48834728,14107.133420037208,26997.948901050582,100936.47607728405,4668.548507851562
MED-589,75278.66362694972,427494.42720979115,432073.2152500484,1892698.4039838738,1385129.4426304267,121984.19569356063,19007.793080696767,59905.11718503595,54764.67883142822,218723.04012361,249875.01468678043,9644410.356625188,1757426.9087413347,1431166.2039077177
MED-590,844606.7492465869,1631898.8581458062,1614758.7430814812,2750867.451803615,1453670.7722905164,2310151.789611558,374126.30976953503,1138744.5396291334,187480.30933786754,594108.8510066422,572359.454040633,3172723.3209093194,3722479.887114672,475540.1544422885
MED-591,48721.822876788654,566957.6547675849,564526.2748781977,68241.1847066816,88608.24526439147,22546.170495826525,3190.786742997512,13030.386431782481,4586.134459996126,7211.43176203335,33458.0666745649,4520694.262242641,229496.93569611214,673799.9381224593
MED-592,3824892.033256322,3910609.7243866827,3859599.322768301,11227.514719783068,23930.110029720945,177151.60592105254,28686.12405286484,85864.57190299252,44000.484861651676,737627.4728693328,1555177.6261097263,130865.45124374767,10004554.748886948,20089.670800683944
MED-593,1056032.6742932498,383915.9974129327,382920.558220531,7884913.995208767,6750720.978907929,597012.2997984136,98918.43011362698,295518.3979787636,10617.826673801146,82370.87830946236,1044082.3530061095,40314.449494690045,6840033.44612618,6145.563183057617
MED-594,371314.28755487135,733435.7344591625,726604.2464729643,26022.698811179387,41289.565013416664,110949.00922836014,19149.540091481802,52847.96995911086,992.6439672366665,2044.4279635016449,87744.7272557208,17796619.784031525,570373.6235600173,2696913.3361029555
MED-595,2840437.351130847,1778883.098446822,1746452.2309799662,1432721.242084275,1384946.638464684,1971976.5314957558,335198.03193100257,955291.003174269,12571.575312817851,36824.74754334923,1900798.7490834654,101216.93305119219,11934551.753727054,14053.60142291626
MED-596,3292013.231786796,2106953.5693201665,2106680.8855279232,7731010.023440924,4048826.4981237627,2444386.5200184444,400531.66910131363,1228087.969425469,172.13949059363603,1924.657034402796,493478.90504727437,308024.43618377985,3330534.1842726897,44181.72457604684
