bin,SRR3960572,SRR3960575,SRR3960576,SRR3960577,SRR3960578,SRR3960580,SRR3960581
NAT-166,95609.47718641354,7168.608054746396,36542.41349709528,5211.609337504,5987.987134091098,80932.51314984504,15038.842133449298
NAT-167,414830.6973724068,812594.1767075736,3655401.0038838955,318293.5864331034,613044.4813350554,27662489.984765332,433590.6148563144
NAT-168,1817.674811450554,97683.06282838841,23655.41670853708,64136.47248325239,32470.850192823997,6220.556933007144,1776.5578192581936
NAT-169,65747.23838883646,32910.38781474373,175836.59842310933,4817.936836546493,14257.929639848655,543618.8434658071,1042493.6293752524
NAT-17,391317.8742874336,236590.3236976776,454820.16215977614,524488.949792806,479367.465855685,583339.1612983485,246126.81183049793
NAT-170,10565.156136207746,28865.22237454498,10824.715788272333,15931.534449733126,24753.886710088904,26074.728814801383,23305.268028075898
NAT-171,296.51162790697674,916.6092019542053,397.7126672545063,158.1987720211946,99.86386677582871,520.7749822433459,147.92635658914728
NAT-172,747.4012934367015,13623.781391100487,1324.578538967686,11106.482288683294,9237.677430957818,890.1477876913997,149.78308026030365
NAT-173,176735.5609532804,84620.66070390985,174828.3088892111,19377.13987897005,31759.13568737836,891343.6110251518,501150.49768764584
NAT-175,263.3342540991053,2733.1361970612593,1234.5749027927916,1469.0098638325521,8725.977997277972,399.1432353081573,49.94736842105261
NAT-176,0.0,278.41131907308375,149.79166666666663,179.04590759331057,0.0,109.43097147950087,0.0
NAT-178,0.0,153.3002819913168,0.0,149.8720841396228,149.8257668377475,0.0,0.0
NAT-179,0.0,3305.5146546495835,255.94055890264258,512.5371510211955,396.30114824279667,399.06056112377814,101.482456674378
NAT-18,509.08258428938717,8475.396324295369,1854.2027306029722,3540.312275274629,9394.105726258054,3885.3395833315667,1229.7587851906674
NAT-181,548.6938401015656,3088.3717126599063,898.0295590964552,2530.424844240324,1028.6287161006594,599.0204128845716,49.93997599039613
NAT-182,149.25091337283115,696.5136879656734,547.2151584734946,1033.8163596856216,1123.574290439947,99.74229161222885,99.69696969696969
NAT-185,3043.913207364119,356.29972393498844,1758.6823952093487,871.1167552141837,1461.1501001986312,2051.006044905009,474.10189982728843
NAT-187,598.1906086831638,1204.7160972009244,33944.246478381385,1841.4907111117411,32881.154077652194,790.132570148559,199.41484923421046
NAT-188,1413.7434252529126,8450.753934501265,5101.794218377886,10322.134215831407,4075.051841088127,3374.902320947718,2133.3469211851047
NAT-19,3002.543532890089,5060.596389706113,2302.146367455273,1947.777781506311,2770.102574126193,4927.326296491397,4140.782081301196
NAT-190,50.20475589225586,17011.728914302916,1102.6905223178976,3957.8388678467513,784.2070199138732,1017.1411643670635,112.81059977888333
NAT-197,0.0,299.6158958001062,149.6539033617666,0.0,149.68730847146765,99.87373737373727,40.49931412894376
NAT-198,99.7511568753639,8061.921005490984,199.5649343748339,2111.3105757782682,320.35979245414694,121.68572683355289,0.0
NAT-2,91352.61287841678,49226.27737700156,101948.9055431239,22816.33346046968,33397.90903691393,168005.46315900364,18023.83367111522
NAT-20,26795.241477007872,214373.88198769314,61842.48860400679,19997.43968597045,46411.408960341316,508590.03813159483,172786.2643068157
NAT-200,328.0593004508992,912.3988050300825,395.7652362169747,1215.5438926260674,1648.987472544584,438.0361648044665,0.0
NAT-201,84354.60297684798,340805.5565018735,37370.215120703564,29230.26746038132,27020.223241328775,313022.5003425515,1529446.0023208172
NAT-203,49.83498349834983,81960.2659576907,875.9364293882427,5498.160099073647,1170.7247181498813,741.8671479602547,0.0
NAT-205,160.98355424572128,2493.2606541919445,890.0493090382678,2348.3616391972732,989.8259848366091,548.9560280623643,195.7639167472902
NAT-206,2058.13455689088,292460.39102416445,34392.04557653894,213643.86664266646,38519.28139981662,9284.94077898774,1707.7428733366871
NAT-209,191015.4768297099,1047205.4271280529,140085.60328284613,167226.9822523214,681745.0879247257,862840.7536616848,312357.9161760345
NAT-21,18108.45501975977,77947.32718151275,39131.64041848554,16047.198790289247,65646.59974549118,258905.03910125734,121852.50647988457
NAT-210,48965.02984406858,58594.236509903014,52280.31618167262,55861.76275351679,82848.26252170998,69299.38769183587,13507.567217898892
NAT-212,17178.624286143764,163584.3814440983,30952.183615529437,17517.95830246813,98108.58235003553,97422.67376801727,233805.61167059685
NAT-217,312.1468440831352,3824.179355405597,1406.6405575765577,1771.7222255521351,1554.5902818692625,446.00980392156873,80.4656862745098
NAT-218,176673.7266985045,9978643.306461219,295399.6071583083,6124316.9042199,149709.63231023232,512477.4252861168,137382.286954528
NAT-22,833.6839453305073,1166.5617934202373,722.3682863460895,792.6049877975868,244.22266243537265,2818.533163473433,149.13213441537965
NAT-220,99.68253968253966,1809.5118247005155,444.9547943871855,1754.7436243088478,370.04133423688256,182.00238141569133,0.0
NAT-221,12154.996115354606,22525.884465819032,15563.802541726953,15997.336411793774,12740.709827403738,11421.599516653381,3990.741283920137
NAT-222,44.55670281904999,14217.671947698038,99.80889724310772,334.0706632006965,49.9090909090909,299.18731337789177,0.0
NAT-224,0.0,3708.2746692487585,49.93351063829783,1098.6647453951045,333.00920610593926,547.0654443604247,0.0
NAT-225,4357.785197359131,3661.018885728003,2341.782087362104,4918.627762600417,3437.281874244302,2690.1021600565796,1704.0671381544666
NAT-23,1849.9844351042125,8851.8477080383,1366.2387749191744,2173.946772289588,2242.1007401473353,12370.471245509045,7025.063951458067
NAT-231,1131.2488571350461,2213.785979626561,3734.8753015102775,3438.9733378199116,10509.4247975863,2457.3326994500244,544.070749137465
NAT-232,49.8663101604278,20909.629561689682,348.7564056858174,847.9273717297121,249.39928698752217,199.50060175937062,0.0
NAT-236,99.73708577492107,99.99999999999999,537.4478533710528,49.78991596638654,891.8791794694089,49.86486486486485,49.92947813822284
NAT-237,563.4757834757835,2473.7098961879556,674.5006961837868,1908.8549226061127,2374.5773035450716,1463.0541310541312,2009.1727907195889
NAT-238,1045.2645218945486,1805.7315584328355,1096.468226840458,99.89429175475681,0.0,1095.0,846.7319034852546
NAT-239,15858.843874055841,91688.38959602914,40532.76267377115,5904.075872467687,28922.931977016928,237611.02675981884,46750.184931277145
NAT-24,244560.11962365118,162498.75503538534,260131.79168174564,343547.3551621103,462322.9092364867,129089.90678126157,143836.46566614963
NAT-241,49.928366762177596,299.7509860666884,52.53649601944035,49.922839506172785,0.0,49.90974729241875,49.57627118644068
NAT-242,3151.9149239813114,7792.573878251306,6783.313255681245,15369.575979261912,4003.2380487532373,4178.491442871727,643.0133231568409
NAT-245,149.51640388272713,1868.600150436284,642.9676814282823,904.4474409598533,2829.3205132580565,99.80529595015574,149.29922275716666
NAT-248,335.9794381169324,1551.0631979147106,2866.640947118386,1290.4648166392067,2305.617033818577,1432.1698578710434,387.785841337932
NAT-249,13423.84894982415,34782.82697978909,18391.686849630627,18211.414017022536,25427.153335705523,47866.91758410984,43002.90091188367
NAT-252,149.80392156862743,11922.0208500597,346.5445551259503,1317.4281083148435,1244.3147308868352,638.4335137158341,0.0
NAT-253,312547.27662676055,1187347.8876623467,346947.3900692991,71683.23820261616,721100.2492125196,3913428.5138858543,2077776.6999492226
NAT-255,299.01982669765664,1912.3607526749613,113.52348936885453,1009.1442371196486,49.99999999999999,104.067001051106,29.26027397260274
NAT-258,346.40589677460434,650.3237717362456,436.6845606279878,198.67549668874173,434.92888616269033,434.9441855531926,305.20542958078374
NAT-259,93.1051344743276,0.0,261.55028906634857,847.2877590661273,1177.1396993000374,0.0,0.0
NAT-26,48723.195758864895,151993.49662311823,104514.68343764517,140252.29299677096,256367.74715591365,19596.327143407976,2356.6179302005366
NAT-269,598.796131781043,1464.8452519755579,1419.6013448514095,2547.7582106282375,8526.278031315447,46.82789115646256,92.48894207568608
NAT-271,0.0,6278.279836429052,662.800958886548,0.0,11647.689379881504,295.86655300613825,99.61089494163423
NAT-272,17394.217414383238,96890.38023594342,25230.56246046938,87859.5574830359,29869.79767186184,13900.270185610763,5036.221839132363
NAT-276,541903.7501984803,138818.571060593,235117.5831899792,85554.52318821987,259422.2413108245,589038.9147960539,90293.42694962815
NAT-278,915.4103956727716,6210.61891499632,2131.0003613676085,4518.004542319109,4388.875240707834,1210.6491573584544,149.60986051587975
NAT-28,5147.849287045564,119641.60387963285,4009.3796951485933,19964.380828188816,49923.41788248224,10386.871916659466,3043.0087378348835
NAT-280,93.30196541326708,21137.167550866692,249.42912602952424,247.77930777609365,296.9653626849012,199.47994452741625,78.21194605009633
NAT-282,1191952.0506615534,1394597.4430549266,898631.8960720294,1804768.9206419173,2069638.563735775,988185.4186326537,187627.3057328605
NAT-284,1090.2339722766017,4358.094377582745,2931.5289852830188,3017.505884983032,2035.948697619103,4498.89659488968,2218.5263157894738
NAT-288,199.77049866955738,4352.846142086157,0.0,1407.641842910731,99.92248062015499,550.136508102337,0.0
NAT-290,199.6146317592366,199.6679809089022,906.5941806066162,752.1334647575568,1101.941703041478,147.92703150912106,49.89690721649483
NAT-291,31657.17513774289,89335.28235476381,19673.81410916426,13022.974492150594,26894.70853314755,203154.40766035227,354143.2048951584
NAT-3,211575.35849129024,8104911.100341976,1238435.0863554075,70057.34666296867,794928.4612180432,18970999.557477448,5489493.733188749
NAT-30,85620.62778519488,81607.75365667505,135866.10544979182,76782.31154718182,158607.19302108735,94245.43192295164,43130.33004664239
NAT-32,22258.803525150368,3046.127140631125,29983.301543655318,6220.323722606992,22606.234414334067,6705.240597957372,1005.1178377023484
NAT-33,227341.407562323,55909.90935813193,116043.30958495966,66391.586131376,142440.6195967596,267604.00083364587,370353.43849035504
NAT-34,1032.7042423698692,6608.07997638636,844.5868575530327,9281.453547255778,7313.9244522767,545.4469094042794,0.0
NAT-39,1428.7099304615567,569.4076849506362,3519.4994881109906,11847.944834294294,17209.704321988465,266.03276511415254,49.828178694158076
NAT-4,53349.86983288203,116986.50650914037,90212.60957587053,94611.21160858801,149485.56217281753,49475.7858699819,11485.7085464337
NAT-40,758.4584581148447,199.22337435682215,1017.035900270612,1405.4730857155348,2000.6619791857997,347.73140350877185,49.84939759036144
NAT-41,648.8682508131488,1901.1608931633637,5736.480605753552,3639.0660964502276,23205.11269482292,797.6199031848471,299.5703042504747
NAT-417,0.0,9944.846827788535,0.0,7.979057591623017,0.0,199.00802673041753,0.0
