bin,ERR598971,ERR599055,ERR599067,ERR599128,ERR599132,ERR599346
CPC-300,419849.11879819265,29850.279202678026,83298.1236257714,52567.34059804652,133343.3693299376,67.21520467836258
CPC-305,55965.79675952354,7257.543730179021,9709.893478581751,18552.404117621918,50106.62871920377,3795.3679055931084
CPC-309,9064.789412387814,1627.3623939698082,1404.9834653577934,2680.4059413871537,7082.60205204882,1051.3509433962265
CPC-31,42610.378781859625,15089.031153839102,20596.691659992386,32293.926343745003,64934.290788382554,20566209.910735555
CPC-310,4454.070374231029,209.26939345226376,844.7617283014501,992.4797469816082,3222.178877234917,210.4708901594755
CPC-316,33644.0699633441,4287.4316948891,6374.480828975155,9602.143021705328,24571.350311739425,1241.8199909359962
CPC-319,23843.279059693607,5197.552316549248,4006.7222285131115,11017.375411090756,30423.347109334623,254.69846696109843
CPC-32,74299.03306038339,5795.088874907607,14821.142829555965,10366.59005148932,30521.01371697253,10622446.175558995
CPC-320,42986.1365195491,5362.489024689563,7512.371253187894,11429.550237999263,30796.447758951657,4528.020860829691
CPC-322,7348.672923347832,2531.2653668488215,1638.9732256438954,6669.850838907472,14166.599329120545,1768.0046949383989
CPC-323,9407.854427418106,11380.73670921152,2053.322410325686,23054.068364222563,69258.53532427966,9264.176738613065
CPC-324,46004.286830316705,8421.31893763534,8301.2922816496,20920.497208717778,56056.030592183815,5797.630373618635
CPC-327,9926356.798206653,1960570.5932655104,1938639.2571140048,3903541.04802524,10510084.009516152,4678.161987268993
CPC-33,1180681.5328567375,28933.893248610155,236028.70015830154,61231.85128472899,162154.29687923277,4610670.698617003
CPC-34,2021.8434749301916,919.3873394207709,660.4404789320806,1703.5837518038884,3572.322054832893,4376089.640402208
CPC-38,611373.524363156,24334.621363265567,126925.78930072715,49512.12478000323,136449.99911485627,18876.100990256797
CPC-39,704492.4963239246,30252.42703015664,147175.90427744223,51417.60516107618,149592.18642238993,62404.795183416194
CPC-40,940143.2792663854,136112.5999831934,198506.58692403158,267690.3766657824,736527.3682141196,196558.30961653765
CPC-41,178425.779966777,10771.014121670285,35714.44832464087,19093.055892206565,51820.40833053804,4925.931079131415
CPC-42,513041.62534634746,12017.401318444998,102768.32657184964,25145.168522357344,68322.43531574478,196755.00041499102
CPC-43,277793.66542193614,11005.632522921214,57373.45618627762,21903.654637543324,62805.7262117794,357381.76888441836
CPC-45,188974.43607183304,19676.789138586053,38043.81939928089,38447.7464099949,107138.86389033154,2588345.564464647
CPC-46,714394.6439418311,30801.118251428663,147804.70016065091,62895.28263600254,166232.24456171304,26216.065608857065
