bin,SRR3961906,SRR3961935,SRR3961936,SRR3962293,SRR3962508,SRR3962771,SRR3965585,SRR3965586,SRR3967905,SRR3968062,SRR3968063,SRR3968770,SRR3968777
NP-38,10429.993218279573,6272.054506089546,3910.17964637,24943.836018766204,3915.56017084398,2040.1338793194766,3773.2013454190355,3172.5766842176217,1200.462653150684,2313.5742874046787,3094.210443777163,5503.632886121328,5312.641589288012
NP-39,42169.189480559864,18013.900418239897,26450.12194552274,102203.58480351648,8893.79711968196,15384.155275511128,28579.8465934173,26505.471090016734,19957.892621834388,355054.81965418416,335589.92604259733,27175.77013368604,49398.78459494047
NP-4,19534.059588926295,21928.136046809617,48996.49961619534,50973.68390218923,25280.735957937275,72985.98949685135,34419.164106994234,32656.291877981228,7715.851052782591,7274.229991864347,3719.130612683028,48702.138435469955,16564.760885628155
NP-40,13999.545866907498,30633.768574843107,65217.0816262201,27211.439911608835,46195.18534675624,72450.51419982997,24023.6225081787,5402.059082793825,449.1528602969438,1243.647038979132,648.1159017955486,2466.064275864924,718.1589136574978
NP-41,62966.066806864044,75729.0353243682,100873.89675224097,68228.04069549548,41148.84943964283,40610.85902333877,52396.71274085142,17458.483564048813,82150.94367011049,82488.50649464712,60002.41895191629,33214.03810279851,98076.64872902888
NP-42,95056.69711132885,414709.79936593527,515023.17125125654,1296353.161371973,83722.76213561575,225780.33530656126,25215665.283980794,25034329.2711283,184760.0435822775,1289803.2560850882,1870790.1809299304,1644465.210064866,1305167.6727875045
NP-43,472008.17326057516,214616.3277666905,91087.15276210442,504724.24601097155,242586.0864886384,115354.47769319125,372582.19206735806,343888.55415255815,101095.03494927674,185267.82324992114,69076.26872658334,23268.44289101398,14343.058709161978
NP-44,36918.44386660719,86430.31318774787,67019.2864889289,163683.1641377977,22762.714520743975,76906.64537753987,773566.47779256,800241.8895216337,9057.951637799446,48424.95607838197,54356.74281653205,33325.10847448258,29823.43408863576
NP-45,111213.50375099631,356620.023652548,1020197.2458170346,3723930.858154761,159146.97610457387,432472.73132048675,361744.5564584811,3565449.4691683655,59527.50776583157,683261.6268373979,725321.9988146872,69583.85966806492,70801.43092740932
NP-47,326.46163336011534,359.6927734185798,519.7035972099701,484.1166043739099,121.34767025089604,172.09219814950364,1275.132284259419,128.46410927056087,603.7534564925456,498.8820015461382,560.6886931437217,1145.6989875851355,709.5781133039198
NP-49,57131.570981128694,76441.4328821627,317261.78219617455,138358.7623436208,174687.94466337984,582202.3377160159,319433.3772252125,319018.6875074794,2810.599452785543,7406.796506487307,4387.63911684932,5386.74742700632,2475.2733055459976
NP-5,2238.679992024175,3358.850513565547,18177.19701286286,20708.496048135352,5742.976733037593,29710.578983861975,8390.504015270959,6343.625209260511,862.4526092555351,1696.7285959433805,2509.774396013435,430.4941696511127,0.0
NP-51,1641.3490542878128,3415.606908352714,212.66782919010464,639.0306559564438,1840.0757458331302,849.0938659798168,2469.855855688253,1128.1761650607343,989.2972008807283,698.6548889241687,1447.225964039195,4106.166025518816,1737.0370798297922
NP-52,2919.9293717028245,7468.319156241238,3287.9269602456616,1735.843847444563,3504.184968740069,5141.090550641658,2848.408768466351,5892.837766923593,1108.1235577545517,8138.87754620568,4562.853400750577,804.8015273569174,5669.398028572413
NP-53,1694.8400828437293,848.0947730501409,549.5342929720576,596.3049684255988,1146.6523670502388,398.6621507197291,2041.9236255636426,598.3271454982255,1247.1604662532109,846.4923740620587,747.5901589413683,892.4173738525943,1498.333604270436
NP-54,36051.18136625609,22895.782668455824,2927.9270245087732,7898.052462507116,16693.446766032735,1458.556976898725,3484.533776352632,850.0789823527664,3948.026619690681,10033.542930448462,6187.8877779402765,6115.198798061961,10832.953982948808
NP-55,146303.783685733,164283.08667040523,9523.615332578258,277503.0727869884,19953.643612251104,8197.571641965586,20468.27117744366,90094.55955849591,13242.056699593219,200537.83111418158,149497.7624968285,16863.754793110722,193264.25616280828
NP-56,128219.76214119927,199241.37250185115,143133.6411375513,1943524.8629804668,230432.3774713909,347933.42258499435,1023558.8808811627,1524889.224550903,698.1896892886555,497.9452065644499,648.3295858610849,1152.0661751444693,349.4458637104591
NP-57,5315.31156725671,7957.569405837611,3630.225734822816,4560.344831077122,4539.1648226015695,11233.584663150594,3650.218030320667,12982.058099698968,1042.0088209004232,2240.2332563780637,3994.10656121662,2748.411124418807,4087.3982307808847
NP-58,2379.7386358380745,1247.4026342680663,708.651877878953,3302.6420146420724,496.0786936783529,248.98652198524258,1947.2630387907818,1197.0324036202283,960.9696134642379,498.96513002364065,598.085,605.5088908159619,1147.296217792081
NP-59,3206.1932694809598,2606.608743819114,2264.2291544172467,4192.002414524138,2569.7074255735383,915.1403882998408,5017.908036625087,7987.829514619359,3756.909696685364,5031.11075925091,3738.804260558242,2624.437477282083,3515.1998873279367
NP-6,43577.47382561035,37993.083898912846,32960.89811085733,34514.69611497096,54824.67439497632,90247.6850174491,339049.0623016401,24157.182932487616,30529.783419740477,11761.848387863485,5536.995486504059,15283.79188098614,4498.240521926362
NP-60,1225.9612202606095,1346.005955448578,1199.353209654123,1294.1979116199454,3555.1436137468804,2628.1506319613904,1381.6035981856273,538.8287930090875,1562.4549971563492,1033.2460355205053,732.8681334491916,1520.4303624708464,1883.4569952815955
NP-63,1679.8039711632578,4146.022838310381,49.87864077669903,49.877149877149876,940.6757230396702,149.62046204620464,586.3984280010731,839.3148413165943,99.56140350877192,49.90706319702601,563.401737965442,659.3167262973947,1158.5552934500822
NP-64,0.0,149.36009830808194,0.0,0.0,0.0,0.0,0.0,353.4185853911918,51.852111760883695,149.94119558154645,0.0,0.0,49.473684210526315
NP-65,106.36640491291654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
NP-68,310280.0811259283,492213.38390221924,25147.51525472502,348859.3397469736,34630.13207598658,20802.872028849633,35701.68923738986,124125.22122223866,67947.57886864923,491376.13489172386,361726.28059350484,76194.15287630633,757818.8615061799
NP-69,12372.766256417695,18902.719818304227,121010.98323777926,19839.825469335497,95537.6649741306,203362.08202586838,1508971.7774629875,52483.55651845886,147756.05268881918,23018.740840702,13813.167610560624,464779.93465227244,30255.927101837904
NP-7,2037674.4957088376,4780499.983773634,9640020.391985506,14853384.538397638,1747910.5538677683,7281538.532405734,8661298.616144642,15699999.29334738,7750.47009677626,1241204.665216859,280260.25936488237,7878.767233504223,4285.257677241128
NP-72,14877.539571035508,15054.575845884832,24197.204598712942,31563.535442049255,10612.521720074705,7581.546077674099,15008.217460070653,3798.403727086233,64688.00519039063,58230.240801463435,41027.6014125971,19322.859542489427,19604.734174783556
NP-73,416.2607251689557,49.888641425389764,0.0,85.1822220532223,99.80916030534353,0.0,99.89495798319327,149.6690408611364,0.0,99.71181556195965,0.0,49.95507637017071,237.78417524255372
NP-75,898.0660978083987,494.31285775564635,199.62018565498153,798.6345217691116,1114.3911333968288,192.92153699654548,1288.793984771528,199.6773545325131,849.0333005515746,739.7977881381075,548.9321317681442,997.4716432389714,548.5924593476539
NP-77,2897.154783669933,6367.703623071069,748.2218149722668,5952.925146796815,1663.610887496031,1498.9321523142078,99.74937343358395,155.0022969315318,354.89918471344555,1047.9475898434605,319.10016462186144,149.97929707389306,1076.5757557512168
NP-79,1094.336762802903,956.8261481062341,647.8776821357287,1549.7385187108405,1140.5781380660146,199.76057813154586,1149.00335543973,1090.3030619671586,1076.857262665007,648.9180944343899,949.530634952,547.1439393939395,1192.2893416710851
NP-8,7761.534286527649,12010.694905320537,26071.7946003336,134111.10289274782,2780.119976888851,29126.706993652377,6203.520396759246,30150.839201884937,4455.522980769547,36312.37451492175,75944.28468131203,10010.332279695838,18123.40443534104
NP-80,3695.998208479641,2919.716506227856,797.2590036404332,3420.714429342202,1019.5069257011319,544.1879998931619,1466.0576855853762,4614.569753137409,997.7038346232686,3143.874811485715,1873.4763536025432,1061.7440193460397,2864.113988151062
NP-81,19480.049949246764,20892.910051248225,4887.780828192413,25624.903826461545,8366.342178024483,2763.6674700618055,3628.84909575524,3643.878640128998,10632.9486090099,23590.14379167884,17683.79467770787,14072.07873254343,23080.760109510506
NP-85,1216.9046139788402,2819.8126796082006,2064.4628766623127,2705.0963927746416,1486.6996962950652,2060.58755276388,7168.85789786888,1272.145732389868,1835.0347744898518,4317.519886264724,1775.2379512782163,4675.856296110913,2023.401649851493
NP-86,5610.590152633377,5449.820892672252,12810.55774675407,5117.359126726436,19410.430370326187,21893.270836775006,82334.75409085398,3855.453070354294,21811.69194089538,6603.7360003520525,3830.3901744775762,70331.33424227327,6665.91019234349
NP-87,15383.749698450254,18959.247792799826,16449.016986995346,20414.569821598467,20718.616534042256,16841.22723770399,118335.28904772481,13621.735178984127,25943.252726215054,15991.255889912733,10223.475473581317,45413.828578676774,22151.369230910623
NP-89,199.70578027177913,807.7323817193804,420.2560218617466,1652.1654381047936,249.55971233424646,153.31319365937202,647.5912394067068,10920.026229774781,109.78751764172617,390.0854598952751,299.41358859334287,99.81525784157364,49.92877492877493
NP-9,27305.660523576928,56417.89213908947,87329.65990699497,152145.1221215331,21982.80527309765,117748.5262493508,4958.79320960911,9169.432315792477,1246.7527323786226,6527.480528989304,12822.26726137931,3634.130128794062,2390.8507161940233
NP-90,331749.30271820474,1943446.1418093827,2826897.825235952,3708192.8963051573,182987.93602149538,1885366.5276245885,81200.05196402923,70276.16020736725,11418.707707148082,66784.67389575951,41733.48645566248,14620.388393318437,9736.40874693077
NP-91,262108.78539831424,155021.23893806676,57756.76765500168,38689.77880926331,192793.2596766957,188321.20668263122,35995.21831848244,34002.050072684266,2654.499482295998,10318.090900053521,12389.560952147169,2095.253777627528,1870.8888123925833
NP-92,1563113.531666535,2793351.056542565,1377745.1893000223,1675510.7769523063,559206.9201510357,865922.6837623289,57608.11172967584,337898.3461353203,3452.3393493518115,96292.37816866959,102003.64760367062,9282.027146513825,4937.906192746866
