bin,ERR598960,ERR599021,ERR599031,ERR599034,ERR599062,ERR599109,ERR599112,ERR599164,ERR599167
IN-20,21470833.846019458,2115246.9501639972,173878.7633446172,3511394.554944744,991600.179113013,189124.4831811718,113145573.0064318,3595778.931784545,432584.93499939004
IN-21,90692.09520861691,20106.0206206796,18072.325755658825,13617.219332843179,102401.98614914513,15041.508411521081,94741.5318880061,35264.90223474849,34691.45651703403
IN-22,88659.48159906102,16253.53397515339,9467.493384896354,14123.634199726092,65491.05920727911,13178.850401386406,684206.2492341598,28353.29267299065,33117.8199461982
IN-23,447568.10332793935,67743.2210949572,52416.36064816404,66746.9172169391,320502.8951470279,31564.81848293421,463256.65706249245,116130.34874859253,76731.7662676022
IN-25,2846087.466704879,556483.2272922819,9602.158425207379,464282.348909192,55339.854655630355,10828.858105545132,13497953.559283525,961601.8072439819,28031.84403470104
IN-27,35992.53688904749,9450.557716287063,12055.769588789399,6414.144451298473,56765.82046650018,12405.631956890515,140592.49479942172,17620.64527017698,17590.434000634436
IN-28,43336.61378795481,7090.270701134169,3744.503529331243,6937.936632389817,21310.318040276514,19525.288746680835,193514.71035677916,11772.308145588357,42239.902800070384
IN-29,74333.68991516838,19075.818591166673,7710.151828795584,12730.221635397429,41572.79553036592,42299.30279070019,73055.2013318906,34604.99711626576,90400.70037847324
IN-3,178990.36667250673,831.8202470408864,38361.38302621868,25359.311714262585,219877.27527179563,100.76962113023475,92497.20515382083,1805.8317326874676,576.343933672749
IN-32,54541624.821984105,18758473.289165,26087420.236920998,8368504.333516926,149768478.05626726,11754436.736553954,3450963.6826791875,31934743.672988147,26952164.78832331
IN-35,35240.35105428868,7612.800647471626,1880.3515796999045,3935.5926562025093,13063.758631058809,4064.3869604052256,326821.3211091134,13690.596113444757,11872.395006178127
IN-37,89647.01424639518,15012.924995862895,785.9472129670397,13780.021520707549,4976.742062461478,954.5253767884076,605553.4890793384,28214.52398512367,3985.548818882691
IN-40,486627.4293388337,38520.24553982223,3300.62850253111,76769.17356508852,19204.15428330955,13746.544355656311,16801.131282401064,61270.133187156425,28774.157101270994
IN-42,12195.403274308608,2654.1210987043464,924.6608912515103,2057.851411358774,4699.097138105883,1970.6280544861654,1044028.149121486,4370.520303710026,3433.6694433510493
IN-43,49967.338609031845,9356.103535537282,24150.637316279066,8359.037268198179,132205.94845302912,14323.070096305037,1062648.0326123454,16068.049658009322,32587.100042890008
IN-47,152251.85170673684,13609.956531026311,39232.85594296546,24064.698202666197,231019.58925080078,81296.17975462483,224093.937293585,24227.084449064616,209639.49892567776
IN-48,5331.368185347546,335.0404662146606,462.8912935731187,759.8493161268336,1188.6981206350538,472.8101482761765,611315.4473605541,696.6288853275466,1689.5386265831755
IN-5,26907.05607831471,7983.846863796807,3560.540777367089,4761.208010240753,16312.48649621147,1512.180724608771,37897.40391456028,14536.30972113491,4457.587366527701
IN-6,280428.7771505758,140433.37868942524,34651.99417968625,44011.58268913985,201683.4710664967,75163.81472482141,371435.63361657714,237837.66730321414,162311.80063597695
IN-7,21917.30987923213,2211.718116507117,470.8760726197407,2874.8766747368068,2330.6646483852724,1019.6260072867182,54461.4012795862,2803.8793162105985,2774.311906263908
IN-8,112359.6740619383,17597.16229830525,15964.31421443739,16539.25333540581,96559.25253803679,19266.21576554838,471864.1365669296,33177.50879069859,54103.64981320113
IN-9,637150.1940546941,130875.28973082744,16157.71901486027,106710.60479853346,96832.87902341488,263313.56665605924,3386407.041999865,221115.3227913419,560501.0694510407
IN-912,740995.4996337907,160747.32490762902,119703.02409085473,111845.2212685463,660588.0429297826,701805.8185083279,392426.6588750302,272482.46218353085,1566934.72204369
IN-918,18111.034782703522,3474.3141595338766,341.0403727909201,2975.257751555955,3262.6028526692994,444.1541949512237,43946.54579329155,6185.141524973659,931.7463787184312
IN-919,40093.42971414292,6855.461024194411,425.47129954292643,6573.052248935033,3636.0214317535183,802.5853760397898,141482.0093373668,12740.492743644489,2266.386723738002
IN-921,10080.416459290689,688.5339388104886,1336.5997051471427,1675.8300965247531,10184.969094987759,7602.692293684669,458124.9260730086,667.0539185935128,17129.50298216808
IN-922,25236.43851010325,6678.305561441289,6355.864096485851,3817.177243077987,32934.04144826369,243786.65858033817,86536.5440842418,13576.25117910681,515415.5944557605
IN-924,240556.39463953112,60137.36638013212,4067.316018800591,36746.1482454519,23719.9087280088,9066.200612976994,2981255.562466465,106643.56430852742,21402.462822171485
IN-928,2219053.202547794,1173085.2106172536,49755.21185648809,361475.6895464652,275196.10172449914,50672.54365587283,25190829.758787096,1994236.2720697133,116228.604489964
IN-929,17128.367278535534,5093.548731187815,3756.521137541599,3294.3391607967405,23092.406607979206,2485.1855729105955,894177.9117110454,8735.56571444774,5178.534424802642
IN-961,156461.42834660193,26186.749156573584,570.865048629896,23242.710288514943,6368.34673087396,1141.8812604013392,79930.08232732836,51381.49929948709,4237.772391106065
deep-0018,471801.6502363472,88142.35396721991,2562.400195258935,75530.48113430824,16458.77832338034,40735.875309389674,2065762.90988682,152943.97274901238,91881.53630807225
deep-0036,6667032.269812702,2170975.5447541922,2751324.603157414,1035297.4565669326,15688164.802032584,1323887.4179019565,4279073.712111537,3672628.266779737,2950555.916620644
