bin,ERR594320,ERR594359,ERR594361,ERR594362,ERR594392,ERR598970,ERR598973,ERR598979,ERR599012,ERR599057,ERR599058,ERR599068,ERR599088,ERR599146,ERR599150,ERR599173,ERR599339,ERR599376
EAC-13,31021.54915282285,5844.24322962067,5472.802073004404,5438.859116513002,12969.69946690505,26688.183893515365,3190.4057981262868,11135.737132802846,100314.72190217918,451273.2019905951,11636642.018729936,3200.9480994950254,28367.024815420846,23051.873513033333,140944.40264273973,9071.754674561196,13806.554148357429,9498.23382500278
EAC-16,4000.867803515627,3926534.794964032,3929080.1466375473,1680085.3876646177,8232356.156493,2150.7187571073696,889.6292182959504,4119.930781460723,8826.88702179783,6286.2461570348,26322.643540145305,781.1088923324127,1685.1131517560473,7519.0326624397685,12875.489530478377,3941.925420390125,126186.11333533525,2445915.6674158457
EAC-17,49774.413730955996,2391.650884048374,3140.966987782951,4725.343434141556,4142.214598793984,44196.40529556817,10102.410101328784,18433.52113201994,95302.86572694885,8082.631149637214,85224.0587460519,10068.7279080595,45532.25931642155,43086.80397010063,258442.41222301353,26788.50367587067,476.000188636344,2238.356199941282
EAC-1768,459919.33256246865,65768.29618353106,64207.577264448424,12527.40897452237,43935.85386081454,1072546.4286921942,30817.52595060509,1267050.1447847425,4809131.397572869,985299.234960162,2441298.314062176,30576.028824248933,1051504.1286412412,2722620.39330827,5625416.945720341,64209.56418006413,76021.09673105339,28462.06852014626
EAC-1785,1041.337065702574,157.25375653746235,11.985781990521255,211.11808934099955,0.0,4085.0587595288525,12753.229550892447,5840.901648669406,11428.123243882446,16698.65880384773,18612.019593616857,13604.40296631298,4435.146488747749,14571.582596048858,23154.782166892284,29130.647662526007,0.0,33.58228905597324
EAC-2,8188.952091067919,252541.36267899218,259881.209982662,1398875.6326190967,255734.36007200877,598.0942653950447,371.2206451035502,1103.3663295214742,25853.136626399533,32143.966925476703,29192.978894261625,555.1440643631825,498.71678963758524,3124.8224882546074,4776.617295095031,1785.5432721668142,178261.8778587237,245581.03042618948
EAC-20,4261.62763655085,4081991.877851162,4018152.572106229,5087272.899191599,9521484.141935129,8600.405951231554,10451.915467425115,13342.945935390722,40306.76275486808,49037.243097136714,45685.97135542015,9831.520787479802,9151.641674662687,25068.07488048435,53789.25691851677,26876.493686385234,5006142.301495527,17955324.141655173
EAC-2006,400.8228342710807,58.613723310812134,155.20367362848376,1193.928601430719,709.671502950754,7738.482866018733,3235653.5891973693,4488.385735584952,70074.90875659655,15573.012083360945,18999.88785780814,3244380.280556233,6403.898811409935,11616.862748176534,34878.38761118256,7190226.603795448,0.0,139.01033949062395
EAC-2011,91019.44387991192,327.27566563944856,426.8642358023062,0.0,0.0,950069.3381770717,73217.31238594686,1412736.3607146689,69469.19372007837,41455.620378854466,62960.96054873453,75851.79763222116,956708.081761884,3132477.996940271,4713959.404833711,161979.26509696254,96.37976749385197,0.0
EAC-2021,1497.0248993547875,48.54709254709252,0.0,0.0,768.3489289673463,1262.5090099256413,7125.848252200913,3252.6653359695433,932.8220775990164,484.52796432527475,4948.944466850111,6304.194894062177,1308.9028120711118,5350.180616588426,5895.77774410203,16810.046006403598,0.0,0.0
EAC-2037,266.1689451265114,22.684931506849313,0.0,0.0,0.0,90.38463169158393,2468.3986978601074,899.9403050321719,1480.3734822872955,1201.2362820215153,1020.6169801098986,2241.483251499071,109.3174210307055,2178.0246982762164,971.8365197942485,4721.27319080949,22.638155136268303,10.84931506849315
EAC-21,773.526180293501,907052.2018798921,880859.1706988341,6292305.80348405,11887509.077644806,516.1316519766904,303.50905138858275,320.5375344873421,1717.4100972875854,2150.711921257803,3265.086306387264,298.48330877599614,684.2700099720662,564.3519810984532,1320.0253667108832,865.2849049621842,694125.5703738553,11418292.743690317
EAC-24,146558.95517568046,1022.8770189769925,1128.091424393672,98.06719367588931,1359.0528694161706,430528.346342727,207332.87577644555,2099098.302040037,1222635.0246849977,642278.9525345628,5972136.806735776,212010.8857108922,415441.9312327869,4336249.064980164,2475395.4183493075,510848.3198444063,131.85977456459688,167.84464633806738
EAC-27,153197.3900455508,14744.821796694148,13740.56825157054,1796.920950984325,32475.70229449021,828873.8536596658,60093.705029182514,1026994.2734214137,2894684.7353373794,97277.82397877057,10276814.876198852,56765.7638887978,814558.9273418798,2198936.095339583,4553959.018451798,137026.72136293593,23296.795299256006,1350.0471493484151
EAC-29,22317.93150804792,840.8882475433771,830.6269693902632,1811.1566356799467,572.1930698952474,166190.25837691352,8194.642807599368,77398.11462253211,964599.3641947095,6372415.303770978,707313.5132225729,9175.568316609984,159675.7741462922,154945.21894322423,1015256.0421226735,22445.062260578277,247.58680357482388,2360.860647465229
EAC-3,6859.429822855028,61029.11991721663,61190.09589274498,187300.90199461114,26741.211681875033,1598.0032760538038,7884.202508360262,3716.650358921147,7209.635859160801,2969.9461360025807,8940.580020950965,6168.016127267107,2044.7460240680534,7662.844638404576,11012.28720321149,15514.683640863343,3716.6152201913415,97843.2779364159
EAC-30,204777.6239523548,8886.473053181338,10029.216979424733,375.2885337621087,5277.289050759582,526073.7206110941,19424.08855823176,105783.38283322084,18047145.375381574,1418995.1348527423,2537847.310200175,17927.0992871087,519546.74526816205,229381.99374597814,2562666.242923667,42164.220011335026,22213.984219159614,2568.0594538306104
EAC-31,471.9544261293725,6144002.149516019,6111419.992644947,4031509.6444113855,3497614.334280994,191.44847436708915,587.2469353455795,137.89720706446798,1069.709080824868,929.7329080703109,1078.7863892619937,883.6332155003471,283.55979473857485,352.0470237491041,940.1850982292249,1755.683883902468,706.0219634989771,757327.8753723465
EAC-32,7912.414981910756,77.21017860695706,275.91198509264257,29.81525770962869,665.2932383619142,311911.9982793631,54990.62732035105,12114.874604520257,7742104.033820791,77561.52678658941,926408.6859391546,48743.96579474402,300555.57461743144,29724.291138513352,1543462.9088989184,113235.45275405314,2572.235022283327,204.58695846788527
EAC-33,329005.9441041534,15119.329434122385,14287.170105664756,921.0600376397734,4434.349913423799,469722.6704314578,126362.72877332645,415886.84886211116,7688144.565829841,628716.11808564,4129531.6172003937,118637.69612668837,461209.5716836423,953517.8592216602,2271506.6767787896,246205.14517107623,5645.910605239116,1489.5035989802554
EAC-34,293961.9919588242,28121.704703917836,27905.488743531823,4626.03839908558,23754.00409987238,2209876.887140058,47361.91920941957,2738418.9490442267,96143.39811327761,142530.3898382407,438503.9454023039,44811.27741588034,2154920.055744912,5994237.170497363,11007344.957185049,103651.12164550471,955.2987441100977,513.8524378705702
EAC-35,182338.75608685278,1748.7328950185808,1257.8115780897012,1425.071396838426,11308.400228645738,2066226.90788787,818637.120704023,2412394.9141246025,923924.8566108966,146832.40213359075,235286.91610283844,814061.5171235515,1975699.1175833095,5028771.564820099,11779474.17239794,1999648.8094110116,721.8462941313411,529.642253136934
EAC-36,7211.177549904669,8394.724360847025,7396.041190333526,23589.242059352844,706904.7914516092,475600.330202795,106936.08751763242,315301.1465619702,1799875.8275275254,910433.2494241494,1544415.5969448881,117393.47765346893,413153.74839691014,599096.8004992212,3706829.7539813155,387069.449114445,64982.11797203556,274799.70139079634
EAC-37,32460.650866391014,47762.53112015243,41725.23828184138,29284.96910509603,525350.016691766,7076.135535355593,7809.735808421892,4378.460563088202,47345.32987407792,5704.38433427594,84051.88671117679,7027.680488405986,8172.138626844178,9169.921144350807,35670.43032707713,54733.74531391121,8764.124676347963,1118.156886456932
EAC-38,187989.9415318882,469.4580296142753,285.18918172688575,65.17679239163611,224.2441171472084,734669.2941225602,68761.61949376608,1563614.7881243092,613302.6707201413,48972.79185133932,436696.4735945168,69222.91539311185,723727.1334418447,3473894.3392767315,3498702.309915261,144763.83850887578,135.75473984272463,26.618578437467917
EAC-39,438220.6087856422,2922005.2021516818,2908840.8055297392,890502.1781697592,409139.0891997476,4558.286797448403,12826.866278320584,7513.499992167954,38992.28959485949,38123.95441275886,45166.29254527009,11975.789233953683,4544.419059069858,17333.485863007787,22923.091968780827,26841.55320700007,505986.348256631,420079.42365452496
EAC-4,9846.508948616012,574730.2274935658,562762.3002763208,493677.9469528716,2785329.937811743,11929.037823129616,4570.767869714611,9418.062083693889,74084.00279844731,95198.28802784756,89505.5969297571,5297.067293793664,12857.059961195426,20204.45990835108,57729.67572771655,12926.722459925002,6357124.652630514,634955.8447189113
EAC-41,16517.72074164242,2111331.0826626522,2090125.4473190932,8351417.765203072,7784685.756597118,4842.202520374982,1723.6507717975257,5498.433015682682,84821.42890208932,259062.7832816974,231774.77201519796,2233.9299676686514,3325.5487186592077,10871.092181240167,31098.37408197389,4613.7629869843195,1040210.1432839497,3846199.095242452
EAC-42,133.33333889858494,581.8789752616879,432.0046182243966,518.3727710123092,1647.507698607824,779.5418857365794,681.4170068557206,499.9149831687248,863.1734941626307,933.3656022430392,7956.051424621113,498.5082916094735,461.2001817456159,1514.6302650622408,2833.3095061162094,1622.5541397271988,2292.825130638769,7013.956257012085
EAC-43,495757.7743636451,1367209.9459585797,1372477.2997309854,728030.7538179384,316082.2146545941,7401.42154499414,24631.75765216955,8112.620696519136,43775.24484902467,34601.495544085454,51229.424035437725,21357.928101326434,7771.0080652032,18825.358370570797,36960.5500964731,49766.03860939966,375239.8499749856,279983.03686853306
EAC-44,36705.47579481382,12327347.385894101,12226934.657363165,4165264.3396282988,2094089.6450940326,12196.57435249907,12946.382063039719,10479.258162866614,61247.27036799568,41990.408707277405,23330.664212342483,12164.133023791708,10428.921454164058,22837.37167526478,75310.83521745719,39455.77329725355,106636.96572080675,5214634.079770683
