bin,ERR594327,ERR594330,ERR594334,ERR598966,ERR599102,ERR599143,ERR599158
ARS-1414,545.1169568020632,192.43636363636364,97.7607217210271,3118.1455834945195,5232.515401603678,5555.065341143928,2821.1231463571885
ARS-1419,0.0,0.0,0.0,0.0,226.50751643271238,0.0,0.0
ARS-1426,1165.984383504201,1050.0660267704782,599.728045331821,300.3511932780977,19831.07525307051,322.08270937240496,4012.08397648556
ARS-1427,937.7912772585668,1309.960391633289,543.2736982643526,234.35336003560303,523.3004005340454,469.03960836671115,100.86515353805073
ARS-1434,3098.2650801024747,1795.9285792726148,2295.6002656042497,3958.058514646301,3801.355101567704,4116.223259043287,2240.044339279126
ARS-1441,0.0,3.9731543624161074,67.1788990825688,3239.3939714640624,4054.8212521357327,4794.3578849849455,1313.2125770770779
ARS-15,6472.759737947868,2169.585451535424,769.2369963990274,1941.4744342814251,3885.8724711062478,2091.6552271648707,1275.0036207166613
ARS-16,369.56623710307497,630.1395714145448,433.0824547165065,4772.364241085737,13965.120792923972,9405.088399715134,4299.413019237606
ARS-17,386.82358091578664,365.8287695134565,316.2857237545872,4666.477856071421,17800.07860865053,10242.516508134446,4538.094787183264
ARS-18,50087.88582232788,9968.412130279054,367.50144739516753,1669.574816898852,12811.903432843783,3213.8040312526805,5367.972293521027
ARS-24,70883.3889282433,25391.695450573283,7559.7434179028005,16609.706693281194,31509.252532641935,29790.458421662708,14165.51309345831
ARS-27,726.6813459616108,616.3511981314798,388.57528733840536,646.2722130953014,7514.502585728067,964.5557774384217,1784.1126453104162
ARS-28,3171.7989549390686,4891.095872787335,1000.980133937077,8582.836038482117,42020.749870719956,16112.839372964543,18337.586122021316
ARS-29,2894.7986044937243,3824.807289922356,3157.2750690157386,9304.52860049777,20569.867295869593,3146.6469427610086,6353.759361286221
ARS-3,681662.058217249,423734.8817296984,154442.19706523026,162432.5008982505,159081.86987629486,258888.95811926518,77859.9842398535
ARS-30,125428.2717063596,15435.118859304188,10132.942659699458,310666.07742518303,1335947.591826756,537573.7920545966,633510.6702750474
ARS-31,336.16160471579167,134.36916905610101,167.53337671614753,3127.48019888146,6015.711898371348,4520.04536218774,2146.8299276831676
ARS-33,13806.130735569575,942.252650909058,0.0,125.31403922535341,644.8714206408368,715.718201261368,733.4616764299228
ARS-34,802.9843143413202,367.00104162898015,107.67386534867327,3272.026548618717,7069.607095870542,5941.994645247657,2739.2709901095113
ARS-38,516325.54949644464,234696.29793798045,1450.9037903647209,18404.28928588205,39907.53913234092,34894.09608664429,18077.648567399272
ARS-4,642244.3192201952,621492.5960958955,2872.370477717408,92105.95033657811,354943.14066127955,170704.4288584803,160198.41254258333
ARS-40,6267.675565610145,19483.14393007284,7384.483324109932,438980.4670164842,3632368.8493652036,774664.161845728,1704442.2763621293
ARS-42,10427.87739619988,35071.62603937753,8263.69316401623,232297.36103406677,1032299.928698978,407836.35200110014,476716.2291034172
ARS-45,381898.5561820769,5924.954140718677,33.643351800554015,82.78334438110389,2578.8432534147823,212.88779369952067,1082.5840787211039
ARS-46,1317.042147173259,986.9234053382183,166.8410641640142,1611.1572727502062,15918.572166491076,2723.8670444652,3936.75689903583
ARS-49,5882.568838356233,558.2901932860025,0.0,0.0,1355.7427684221025,0.0,795.7952125416155
ARS-5,1352864.948865216,54844.903818359715,1255.2092407438256,6361.315223150328,46161.27928183122,10761.718844107687,19095.289517267847
ARS-51,3212.6508665416654,1232.2173769016551,3172.125940496732,258.90366536599635,1226.1068415899051,1357.8377201286405,682.8711953757925
ARS-52,33.58186397984886,33.666666666666664,0.0,43.90423937751588,0.0,93.07865329558973,67.05509641873276
ARS-59,1322.2921532816104,3813.581801168288,16865.184756989573,3102597.693715068,2409593.891655414,5200705.97343724,1188469.4454322516
ARS-60,2330.55536225268,199307.232523007,201437.92732733587,2288860.669056633,6902290.84375682,4175043.6793270507,3100068.494151659
ARS-61,100.8053949903661,33.585931254996005,0.0,431.345826777495,1149.6691671344147,1685.1171719367358,358.95190149008056
ARS-62,10843.22922659189,12790.600066886482,1171.091478010353,12823.018712860257,25833.008128002824,22654.76836774551,11712.395664722582
ARS-63,2229.1566425065503,307.3893632954381,167.09781277704025,515.4285488246071,478.0893623179877,935.352481988484,98.4931085993878
ARS-65,33.6479837217906,0.0,66.96281908990011,239.5452944200991,632.4412466903894,639.4506494924832,199.41827053320975
ARS-66,529.0681085110936,297.5866489129264,31.589618815896184,125.75591823560313,978.5650570104481,982.7010605593917,272.62431519888077
ARS-67,67.24184782608697,0.0,0.0,159.21521386628848,480.80841507995467,484.43075930364853,195.85789743205294
ARS-68,100.85167427524117,0.0,0.0,561.2669058901781,3297.399713507957,796.9650655146193,786.0100639762034
ARS-7,2778055.2900574706,292194.0837747277,3665.3579188638414,3736.785607106276,785656.0520653499,6230.556368008195,359126.91088816506
ARS-70,66.8069618599791,56.36007002026902,88.03817761132656,79.04687001123223,346.7169653645265,48.24104010289691,135.13118214141303
ARS-71,24461.462851883676,7092.565481494496,1042.097532318752,93802.7230548448,240797.82388615923,169044.34694169552,110497.19824767415
ARS-73,0.0,0.0,0.0,0.0,170.28236122245204,0.0,0.0
ARS-74,0.0,0.0,0.0,0.0,1026.164499982659,31.28585858585859,118.85601328662008
ARS-75,21964.97644611512,27340.939117965558,30900.191075290946,1903363.9192699953,5519283.2015364785,3374160.1290217577,2573411.3146087904
ARS-76,4093.4073467627886,14566.183889794525,23604.631164007435,3644904.6115222652,1301779.2805980446,6678700.590492662,588274.1589787801
ARS-77,34118.8132995231,20498.059698301025,31332.57851984497,9229513.610650541,8716281.398359006,15506976.927147891,4284672.025304777
ARS-81,2205.4344972815743,3171.4292021319957,999.0844700889722,9470.71765503537,43617.935797043014,16464.0444785481,20210.818495749263
ARS-84,13230.336641392209,11404.832722845193,25805.959094260466,5218013.956927557,6595426.252126656,8986712.622832695,3159444.3136232398
ARS-86,3076.715166166687,48283.48026070786,67074.99920920763,2080519.844000297,1430302.8883398157,4051684.0261968835,597659.5911156063
ARS-90,6332.280213175875,2830.367115758315,8177.599449764565,2233.7604653319636,2006.994192366627,4287.983651003032,588.1045806977356
ARS-93,3320.2524450364353,154.04574202228216,100.56757827235006,758.9475108677916,2339.858033951874,3014.922763843319,659.4368960957775
ARS-95,3828.9257180569484,6424.191786521668,3928.5675528095626,3081.7778853469686,48527.360794566746,5841.924374040075,8304.28753297372
