bin,ERR598984,ERR599006,ERR599009,ERR599010,ERR599022,ERR599035,ERR599105,ERR599126,ERR599129,ERR599171,ERR599174,ERR599017,ERR599027,ERR599040,ERR599046,ERR599056,ERR599101,ERR599103,ERR599122,ERR599133,ERR599137,ERR599148,ERR598947,ERR599000,ERR599005,ERR599044,ERR599048,ERR599124,ERR599131,ERR599149,ERR599154,ERR599159,SRR3965592,SRR3965647,SRR3965676,SRR3965758,SRR3965809,SRR3965873,SRR3965874,SRR3965875,SRR3966130,SRR3967025,SRR3967319,SRR3967558,SRR3967690,SRR3967699,SRR3967700,SRR3968060,SRR3968061
SAT-227,0.12877357786102747,0.02139878357715789,0.004437225362352736,0.0,0.0,0.0,0.1283051997717839,0.005092912123968986,0.0,0.0,0.0,0.0,0.0,0.00814622287391133,0.0,0.0,0.0,0.0,0.0019375246551290612,0.056493558589190015,0.0,0.01133660474976032,0.007384053493930204,0.019596274196739576,0.014317364224224697,0.016063501313013873,0.012265570319398934,0.006362678566874651,0.024524706647427057,0.013201018640682639,0.0,0.018838847124748967,0.012617062318315778,0.007676705220819033,0.005151613333656052,0.013463392791579551,0.015041949790700688,0.011578651230467236,0.014312997974245898,0.02036338039374995,0.011626543404965916,0.02204933934609798,0.013581320080862127,0.022142002120706546,0.011530973450192043,0.0,0.0,0.0,0.0
SAT-228,0.0,0.010683097644603137,0.0,0.0,0.013273860118865282,0.0,0.0,0.0,0.01051250305252797,0.008933516933264734,0.007506930437583242,0.001700320903547053,0.0,0.007473989271276839,0.006120384397699094,0.003535710999026814,0.0055671319730488614,0.0018139963518248477,0.0,0.005502331272444865,0.0051896849439162715,0.00730432745060046,0.008220813953544239,0.0,0.0015769531844852956,0.0,0.020520889979756228,0.009510649107772216,0.0,0.0,0.0,0.003680189994215917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAT-23,0.013465369614841679,0.015524146085317252,0.014202206167404054,0.01638335767464061,0.020249031051531752,0.013056523003071684,0.019206219797603046,0.016932782295882735,0.016559577224774125,0.03567306336843333,0.008359131575608966,0.010251487949634363,0.01445418102915172,0.01834521787696539,0.03566578880643264,0.02300454275371153,0.04481405210045554,0.0,0.013640283153724158,0.011191070801195479,0.013907745311357134,0.016308464355742458,0.020324858984221494,0.019986943223497134,0.02627737270961443,0.06235998704684504,0.01891766817799077,0.02304194907912917,0.02142788779148617,0.0582770986337431,0.0,0.023527300690401563,0.044591873275868485,0.14592148674352962,0.057112104803446376,0.1185927402972308,0.20429922424033084,0.16499079959234997,0.12714697889009843,0.09966785696213418,0.005747699298561035,0.05868767565094782,0.037886859359144875,0.08711133276984416,0.029119394518075176,0.052730126613841036,0.0,0.05228305395884076,0.0
SAT-230,0.005193273958879378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008386288978849642,0.0,0.018788048185245314,0.0,0.0,0.013590358587295214,0.0,0.0,0.0,0.0,0.008284795432130945,0.0,0.012903056235263697,0.012110268188078173,0.013875396227582317,0.02149183777711573,0.012514495899811854,0.012928780437149243,0.012621577744471556,0.0,0.005273006771210628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAT-24,0.006170748094389951,0.0011699503452089518,0.0,0.0018324492976903915,0.003982911569939893,0.0,0.005971834179520011,0.0015689493099799758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007361371867226775,0.0,0.0,0.0008941450887293155,0.0021967740898452097,0.0009110461622162251,0.0,0.0,0.005931547400178836,0.013396523725051892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAT-25,0.0015061695614282697,0.004526380292430006,0.0003153332921295996,0.011990803646063806,0.006432591420703641,0.0005416797642426729,0.0,0.0127086042728831,0.021054931677694108,0.005884626180613679,0.019592649993059773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013983400637678977,0.006277451837591565,0.013129714028720296,0.0,0.0,0.005018042136793565,0.0018367715516973391,0.0,0.006307969177854058,0.001597697575505273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAT-2595,0.014872215638136219,0.0,0.0,0.013348068871916571,0.08869940494357241,0.0,0.0,0.009828394952804555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007697001657657267,0.0,0.00013084889417648574,0.014958948654698845,0.013729164856290346,0.01409643044093194,0.020013012522656384,0.0,0.0,0.0,0.016182074647825877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAT-26,0.0020006908871476625,0.009581085087097752,0.0014218872273938884,0.0,0.00745563438308642,0.0,0.0,0.0016793685716685145,0.0,0.009576985431211686,0.012546505383038037,0.009038346778863473,0.0,0.007307684945351105,0.02298712436496018,0.007208869636088977,0.016769543871531543,0.00983599658680127,0.004808256978070085,0.003412991674486277,0.0,0.005682955740338526,0.0,0.008195708204358238,0.012119693611694531,0.003758866642100283,0.009065839176070333,0.007455938805932704,0.008830456217378019,0.0,0.0,0.010724520895762084,0.0,0.005711568066843674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAT-2619,0.00593936751670603,0.0022721229629416024,0.0,0.0,0.004756233028030369,0.0075136222988912565,0.00198215600554513,0.0,0.004271702293449148,0.006645482249382159,0.005803286810995964,0.004845344809540673,0.0,0.0,0.001230415923942867,0.003393643539181454,0.006208412070092446,0.00540500548430275,0.002239996535518747,0.00367239947728149,0.005074977339527265,0.0018201842324944895,0.00905981318822011,0.04210340070732276,0.008288232505554573,0.031616433213653365,0.0,0.04759746254011997,0.017609184072758365,0.0,0.0,0.015295620618080286,0.06362994308997523,1.0,0.0,0.07407664832500091,0.0,0.06809527333330216,0.08430485847431289,0.0,0.0,0.0,0.18778717454177699,0.0,0.05797221318796656,0.0,0.10009951263306285,0.0,0.0
SAT-27,0.023955073097279594,0.010478837672784314,0.0033664959345701736,0.02300545001043221,0.003971023889139826,0.0,0.027451484220423636,0.025496301353533313,0.01830379228396322,0.03148214015576285,0.024734511195235835,0.008091543500440591,0.0,0.0268311963329859,0.025527875377924208,0.026447222560163047,0.027068029273709736,0.00897239538238459,0.005871684548485765,0.024907394444370803,0.02297347417112651,0.026471698128412435,0.01928811265984779,0.027028896519577777,0.02833674713434709,0.024743147213270693,0.01898342440267127,0.031834885092888315,0.004861580130411032,0.036174856946982296,0.0,0.024889592847973322,0.026662498578976106,0.07115418457673624,0.027130240387467044,0.020318992710103744,0.08004336725545136,0.06010854964891373,0.02062458268818197,0.013836371065088133,0.0,0.014643756475132124,0.0,0.007657845022753354,0.009702076207277855,0.0,0.0,0.041107305509789895,0.02539580059144862
