bin,SRR3965592,SRR3965647,SRR3965676,SRR3965758,SRR3965809,SRR3965873,SRR3965874,SRR3965875,SRR3966130,SRR3967025,SRR3967319,SRR3967558,SRR3967690,SRR3967699,SRR3967700,SRR3968060,SRR3968061
SAT-1289,549.0645151039123,49.90859232175502,0.0,299.30994477887316,0.0,49.90176817288801,149.7145152389926,49.927007299270066,842.8587055054508,104.4183660047821,3500.8812634887413,564.0857812864083,891.781175123349,149.92503748125935,2636.361729275326,539.333984614039,642.8128458077567
SAT-129,1768.5793041134764,335.5097166109706,559.669891750632,1726.2034600686843,831.5774562198462,2533.281140797071,567.8632984149066,604.4616349511123,2337.353868867979,1172.7464400614488,1376.7436693515897,1449.0302580841555,2260.251224656728,1196.9458314450214,1438.636158403037,1393.5970521039783,648.3584987627232
SAT-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.60648198352976,0.0,1383.621688793198,0.0,0.0,0.0,0.0,0.0,0.0
SAT-130,10948.72288791359,2836.0685128511536,4616.717871412721,5832.071705485079,2306.0916047008177,4073.763254308338,4394.15145624951,2692.2234010759707,9353.077012728281,4534.524593737422,7828.711951720928,10828.381259481506,10296.032262005949,5070.154254551946,5387.121359792109,6552.733900845966,905.8579706151378
SAT-1308,50938.71808105067,1797.773824541636,12998.569761627497,22979.764207457065,2086.4292241503895,16273.224280324317,29674.070138694977,5234.395323475298,147817.26102512897,12244.770853294765,181399.98245903116,19967.88587181806,131718.65965149694,22240.507194258975,36407.34197886525,10962.89260117086,1412.62557947997
SAT-1309,24747.75596311238,9749.813220251755,17554.01863228063,38451.211298504546,24309.675204522104,49068.94803194071,19844.804471341587,12294.926837375318,131102.6573876733,63218.8912556575,33786.66604287725,32107.305905105455,84902.48435195177,38815.72943903772,56742.32066402895,48438.71766760815,9173.829344795207
SAT-131,3413042.329938873,46587.483604454355,39142.02220732106,9350770.824519152,252923.18312449448,14079184.717361772,3121827.838229828,54488.51232786497,6565743.960654148,129020.69287373804,8027604.883690461,98792.30776436291,6106116.656795686,66899.05563872556,4422518.206316814,107012.93335408911,5528033.663402042
SAT-132,396.04006204124676,661.7035392429916,397.8418164362663,2271.391839640388,602.21899804732,765.055573773635,128.5580674122785,444.80458956259406,798.1268249025021,651.5894530029625,3561.975189642455,6661.8716288567,396.57476514734674,398.7695596558925,299.3752450774483,1008.7500201387983,635.2803104231011
SAT-1329,47.532394366197174,49.92307692307693,0.0,149.6819737014114,0.0,308.81907665834603,198.49286910272826,0.0,49.91258741258741,49.791666666666664,154.7587115754481,48.99999999999999,0.0,0.0,138.00482897384305,48.86197183098592,0.0
SAT-133,50.0,29.603546099290778,148.97559956383486,49.87922705314009,0.0,149.3695356639519,249.69910211021121,49.905123339658445,552.1835111406656,0.0,2047.7304114282072,449.00085478681655,346.26162400012333,249.25533921078258,1305.867553197171,572.6814669528596,295.5315399678836
SAT-1331,1659053.753518986,160117.9548952422,317847.55984516925,1236596.386102431,340842.2419125533,1156675.7859676378,1309680.3504035054,318365.4961473344,1344858.9503077306,449954.18483982666,3546994.611603397,676875.6493271086,1926540.6484394479,582499.9560977486,1064637.6187777098,610021.9158874145,653564.6856829132
