bin,SRR3963457,SRR3963458,SRR3963498,SRR3963571,SRR3963599,SRR3963622,SRR3963658,SRR3963804,SRR3963805,SRR3963982,SRR3964650
IN-20,9353740.444794783,13685139.378270986,2091332.75805935,2755367.987313284,1236476.8785183688,4646257.615196027,1955165.6421501394,1111694.840477904,622851.9968692705,4058359.338370441,1990786.2636567373
IN-21,24354.504786377856,16996.44823112499,22847.077121268467,18999.62459150071,13739.583163050052,21532.907287663973,24246.374534649804,6497.62672694658,8809.960723188819,41282.59693844995,46772.44814022454
IN-22,101847.60751447371,309771.3638346469,49372.50183273219,177325.45002014952,72714.77945350201,33861.96842964788,75566.3485711942,28359.187655975977,29339.88759970293,34253.18388620073,42072.14674385026
IN-23,75949.88425273595,95394.93919745352,70980.40167662686,63962.31963784336,126442.61930255014,99464.5219934696,72749.51940698012,37172.488087995465,17500.146002866397,365193.7521726923,137939.42132148295
IN-25,38122.08056806248,45636.21270375459,42030.9877629037,64296.98919819256,34799.261889732334,26211.927335457745,62790.015847546725,8878.785354775235,10428.723673846316,26712.53908883642,78853.78907003612
IN-27,9068.576007938631,17682.671338483022,6530.115118807073,13465.153586853276,5530.590359180286,4565.4637320797165,7967.7430717722145,1745.7565308938479,2394.1979142788446,24274.781985328715,44721.51176019546
IN-28,23829.898850943424,20510.11361902928,9656.334345912894,17316.762104072106,8938.13358255327,13398.631921339515,5649.980032158693,6318.862672429998,2941.0385488995357,9257.159677208032,11800.561150723544
IN-29,359052.0872749325,7466817.287681036,49430.47850047232,78543.96160678938,892161.9358497658,439469.42855758464,308787.91696238803,2495811.539841052,929400.913294665,19734616.2842557,8383466.93225237
IN-3,299.40454296189534,299.4411118930449,823.9505658787698,491.5006903730105,145.8460652468137,792.0044317774548,7954.5810371821135,49.96463932107488,0.0,1098.6608152411645,4181.119910384285
IN-32,6189628.631798659,9570565.242611978,16087667.637924124,5951430.282599297,6095199.695342795,7566047.961079162,10225783.26789979,1100108.2901469886,2323409.379799265,59387025.779934086,21965709.389626633
IN-35,1801.065529389571,599.1145061310356,1702.702706301458,549.2605397966064,88.47272360592918,699.2838023060903,734.2053624836141,334430.16192419693,15618.69355535855,2939.3597684615524,648.4563287669317
IN-37,49.869109947643956,148.63535246426756,0.0,0.0,131.0041232343861,147.6784359915304,0.0,2560.5177013189464,49.6031746031746,0.0,199.4311139361195
IN-40,14174.517131349763,7427.721376572148,6526.385596605728,6449.387818379596,4770.356869175823,5752.950865714474,5567.461896616662,2265.6834571959607,2439.8498678677415,24802.614164800885,19409.655681197946
IN-42,149.6284057686165,349.3524479179038,0.0,199.61057786189593,299.47404572853395,249.52800382195218,99.90421455938696,24075.696830663823,2234.935357701165,2620.391931403808,132.60891581781993
IN-43,4306.670091368088,5990.724969621406,2636.599539112046,3844.751292776764,2722.3046081742236,6036.968187717116,4009.567504785647,19383.304241086127,5570.990881527273,2564.8915809789332,5223.583931807615
IN-47,1173.1925634691715,607.5173422268238,1941.3268764108466,372.01737039762946,666.9633822782364,694.6898317503056,474.3967796054941,1937.7229782535064,2841.330499046392,1335.0170499045062,448.435705152889
IN-48,183.28181206930327,99.8218325791855,78.75512239836078,0.0,0.0,188.93703428668158,344.3640410022762,39052.28510389648,18358.1293424416,1687.2986868348578,328.7136802420617
IN-5,164249.46531765684,5265799.181279227,6318870.581826128,110652.52639986774,531735.8627952787,584052.2062227653,321968.35981385264,70607.99660306273,64791.13298951273,138952.89091824443,133152.6657247865
IN-6,914243.5309548873,1492100.050108478,824411.2563151338,437998.0322811801,665088.2113945314,1012110.6755637693,721908.0181191177,255641.91127394806,206009.8816597833,804617.4886462039,1811670.0098680016
IN-7,1972.367668646959,5642.198193753796,3294.557652368609,2098.4721829521,2011.5738054117533,1587.2976416287172,4629.872470183685,5217.907296070515,2069.9109969449605,3775.8020887474704,2466.823392904407
IN-8,15304.217507974676,20781.14983983992,11417.375576531736,22228.575971582974,15520.41095974464,6047.627692826901,13754.451060194615,2783.360883827174,5945.825327981353,15308.508008204153,38619.49908372357
IN-9,254512.77441373398,222773.29962197316,918279.243988625,570995.8828043604,191497.40254167945,451070.9792932898,593131.2882998335,62465.46767286833,152189.4779008713,810881.1959000764,585260.2840576094
IN-912,62816.258518708695,30698.541737234005,5407.268266010905,6259.059173902105,19125.30007418052,28552.26742308082,17322.28470696972,18410.69263570934,6843.360744680129,53949.02225450898,24424.921199544464
IN-918,231.5465630135488,199.43321151234002,0.0,0.0,0.0,208.6858492682067,0.0,261.51197149926026,0.0,49.903846153846125,18.939682539682533
IN-919,0.0,112.71704902373168,70.53009182309086,0.0,49.806949806949795,149.68111421116535,0.0,298.5185185185185,5.650568181818165,184.1623298513113,0.0
IN-921,149.76350160785864,0.0,99.6996996996997,99.19354838709677,99.76133651551312,49.886363636363626,0.0,32113.55884827451,8767.375237132257,1591.5779094920465,49.91181657848322
IN-922,18761.699796557936,20925.48675257808,16169.048206285317,16222.432747583623,7288.186842541703,17525.160521091402,20843.280395974227,3799.561567741367,3803.531993154369,44612.762864695804,54112.4594223006
IN-924,1103.9302988142792,798.7197888932126,637.3062222540594,740.0540540540541,2516.2729820219333,598.8267013430416,983.5313120134717,4796.645509744472,2026.5816553766758,1980.599669165962,1430.356562514462
IN-928,547524.9335729904,1435244.9998272955,261733.42437075608,295968.1981336834,280437.4377545558,554622.751295443,307848.02009966114,162914.7285220507,91690.30628623144,1940685.0101095366,841797.3258587462
IN-929,3624.5970144319213,947.7717000141836,2264.330934640284,2004.904359896456,99.69629156010225,1882.3986390946673,2258.2569784027764,630468.2267094025,699823.0636636986,7202.535531219771,3908.749917092253
IN-961,575.5573961707669,675.7925176417261,187.94892931309656,44.268205128205125,149.03300745502432,44.30102564102564,572.7294806893923,432.615886447377,592.1836472272871,243.86593792172738,99.64912280701753
