bin,ERR594291,ERR594324,ERR594382,ERR594385,ERR594389,ERR594414,ERR598972,ERR598982,ERR598990,ERR599018,ERR599023,ERR599025,ERR599026,ERR599107,ERR599110,ERR599362
EAC-39,0.0,0.0,0.0009207442553663553,0.003019523368434739,0.00673048708037992,0.0008809427166026697,0.0,0.0,0.0056176461510172625,0.022536038594496436,0.0,0.0,0.0,0.0,0.0039004547975116646,0.000920878212666798
EAC-4,0.0007678211971074195,0.0062281182289466025,0.0020549494398012787,0.0,0.001802495375505883,0.0005786760194287728,0.0,0.0,0.0019688153236208255,0.003436466654470645,0.0019475895921539834,0.0,0.0031562314892786057,0.004775293764934996,0.001362183233721714,0.002128148829569124
EAC-41,0.09049512445164412,0.039444358888328215,0.022734640187508322,0.07368252441247489,0.02509747557777707,0.02198120485724039,0.01613722842922725,0.12997364727829083,0.13670168665390345,0.09882316406714849,0.014282515655228345,0.01708222426951125,0.016633017269401924,0.10295283456472701,0.1031804431919675,0.0478344903381292
EAC-42,0.0,0.035632634515850775,0.0,0.30166009487866174,0.0,0.0,0.0,0.0,0.007942639003256086,0.006645900579748901,0.0,0.0,0.09598830046930568,0.0,0.007451803693688199,0.5210583047039571
EAC-43,0.0,0.0,5.767889739435867e-05,0.0,0.0,8.404333925583937e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAC-45,0.002491681717592582,0.0037952150151418585,0.0018752282163099956,0.001596276601375733,0.001445163553102668,0.0017625691825806577,0.0,0.003406334025851499,0.0017108501006928994,0.0019641590593916913,0.0,0.0,0.0,0.003260499058889271,0.002304026376095373,0.00042448311822026124
EAC-46,0.0,0.0,0.00013022561424814354,0.0,0.0008819496637874028,2.332232824571978e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018051472826057028
EAC-47,0.0,0.0,0.00538671500538756,0.0007667901316063682,0.006283254901164983,0.005364884651042245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010791634951305185
EAC-48,0.03070919637609569,0.012870301779966993,0.00431284199412864,0.0025101103499927837,0.021803991344601672,0.00612430563615938,0.11276334097601634,0.0,0.0,0.01634258636810759,0.08110729438853605,0.1256383981784838,0.14161135426618354,0.0,0.009674284911514645,0.009383920146547809
EAC-49,0.14687174163817587,0.03617067292905465,0.020931155936864544,0.0715363468820521,0.1293193066831029,0.021108263551702443,0.038582568417180725,0.19125277418589448,0.19641902714584378,0.13588338449083784,0.04128882039514331,0.04863561099856376,0.05733636559224195,0.03326749827982547,0.1942875864687039,0.06202658535468962
EAC-5,0.0,0.0,0.0014175559799488356,0.0025429489046481443,0.001015437848673119,0.0010578222240856395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAC-50,0.019142185307740287,0.009769722405660779,0.0073237689475613476,0.007061594134018813,0.06319524407276188,0.007403671595442563,0.030202937722533456,0.04052274472939041,0.005441551503934289,0.0,0.02475704600245707,0.029659159519848002,0.025926304009813807,0.0,0.01116811949116774,0.006871218070514704
EAC-52,0.0,0.0,0.0031245493958361368,0.0,0.0034513374342343335,0.00316818150212371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003025706206305098
EAC-54,0.0027335644718765573,0.011025487089588736,0.0,0.01176186428690522,0.002118251267123382,0.0,0.0,0.01905401178683098,0.008379121626392308,0.006612849446250192,0.0,0.010421840538100077,0.005321236582893114,0.011804924857865018,0.004767269886063665,0.0039415286009322785
EAC-55,0.0,0.0,0.0018417830475793828,0.0008444400145975295,0.0035678602294375397,0.0017215516749101761,0.006622617452307297,0.0,0.0,0.0,0.012801225755068622,0.007547503252422771,0.017392272568156855,0.0,0.002427074786338955,0.0008945496551565168
EAC-56,0.043288671247250665,0.3282335972450533,0.037964668953033125,0.039160088481853636,0.013930869928336205,0.03906531854293551,0.022940102304836896,0.0,0.10050349312024225,0.05481004891443286,0.019101522795408346,0.03397927481301231,0.008781911084510742,0.09829978962352623,0.11428564774750741,0.08675979393201667
EAC-58,0.0,0.0,0.0,0.0017584858902828671,0.0003182051834682216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022477651702812606
EAC-59,0.04153381204480474,0.09569665446428505,0.0,0.003948760350200787,0.015077328945495634,0.004528284243171348,0.24264197452504133,0.0,0.06060021744118835,0.0,0.03325501449038507,0.0,0.06574252932479535,0.0,0.05465977513037485,0.014250054950321027
EAC-6,0.004857648318284119,0.0032937403746986656,0.0027522837636298997,0.0,0.002699188046181982,0.0017192354696965568,0.0,0.002060362611649475,0.0029748878651342015,0.001671941994020053,0.0,0.0,0.0,0.0013227539663790305,0.0033154441171733416,0.0
EAC-60,0.0,0.0,0.0,0.0,1.823432027536202e-05,3.6032873472506425e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAC-62,0.0,0.0,0.00026909310304707395,0.0,0.0004206679077666164,0.0006013014006695758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAC-63,0.010618312844963444,0.0,0.0018292339476795106,0.0,0.006379042225768573,0.004302690993024916,0.0,0.0,0.00813212794757095,0.0,0.0,0.0,0.0,0.0,0.0050438893775816415,0.0032688665560965816
EAC-631,0.0,0.0,0.0015373461915989643,0.01074498120438473,0.0008719321149744042,0.0016317418763263617,0.0,0.0,0.0032144036914254054,0.007511284956696376,0.004707648477329176,0.018691324184074428,0.0,0.0,0.004095232980148374,0.015059789415941046
EAC-632,0.0,0.003098567776331686,0.00011025396716798581,0.0,0.00024047181994504052,5.742451517054633e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAC-634,0.0019478614327895726,0.0005153532042764083,0.004755884782079675,0.008400183567954229,0.0021763326079412585,0.004189898952641053,0.046397579598978216,0.004967045954874535,0.0018852022736425417,0.0014328975231377794,0.022845307178132268,0.022681063726687017,0.0054309379811872316,0.002205127342051182,0.0018672178146625935,0.0038206009412720884
