bin,ERR594320,ERR594359,ERR594361,ERR594362,ERR594392,ERR598970,ERR598973,ERR598979,ERR599012,ERR599057,ERR599058,ERR599068,ERR599088,ERR599146,ERR599150,ERR599173,ERR599339,ERR599376
EAC-42,0.0,0.0,0.0,0.0,0.27603094273155465,0.0,0.0,0.0,0.07328793177938539,0.0,0.009499598196286646,0.0,0.0,0.0,0.0,0.0,0.07720106720883392,0.0
EAC-43,0.0,0.00020997952330865303,0.00030085299579505037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAC-45,0.006060388333406376,0.0023316702762201102,0.002890506572114115,0.0011467209041300034,0.0009902383975637986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036582328386024524,0.0027915469265504447
EAC-46,0.0,9.981153345673962e-05,0.00011097151946243869,0.0006225262580462667,0.00132776570366647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAC-47,0.0,0.003960548432276094,0.004646907802956789,0.009609174692892731,0.004924149023407775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006287829276659167,0.00636520562934077
EAC-48,0.07874514880188478,0.008721547408222318,0.01030201801910929,0.028054588743524376,0.0041293840339087905,0.026576437198125295,0.11726581036283276,0.09946227062244332,0.046363717952396286,0.03860476868611798,0.0234109274046753,0.05254560696547311,0.05229816443019783,0.0069226991782943845,0.03679435149165905,0.021590283600389483,0.008127555799916336,0.042564316059977264
EAC-49,0.04055989617583442,0.02288393270251008,0.02161072126686327,0.03409051164978305,0.014202683686404155,0.05002476827514454,0.17703375962747475,0.0356910293438974,0.03263369244654518,0.01784825928183754,0.019922352307013745,0.06125182881140046,0.027057603965355885,0.07844894112927751,0.04741086462946227,0.035387765392953886,0.010456291221670569,0.025200165682739223
EAC-5,0.0,0.0,0.0,0.0015943696333047361,0.0011657474853645354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002192996917028267,0.0
EAC-50,0.02184078230142578,0.01751854670096857,0.019978553479659596,0.02540638549528936,0.0035437343785816133,0.015341638825566547,0.0,0.027975885785896045,0.009613139979654333,0.015552462683598434,0.025631198973261247,0.009902466664377767,0.0024040440374940076,0.01874133389479725,0.013085611726120112,0.009334153376461086,0.0063314369284862854,0.00550545618413691
EAC-52,0.0,0.0030295565641210876,0.002979239039772264,0.003398741271328018,0.004110604700680533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1886204037999521,0.0,0.0,0.0,0.0
EAC-54,0.018862543095686416,0.005559283847603125,0.006312850788687577,0.0009403768323933678,0.0018550685767854235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAC-55,0.00010058192610784657,0.0014047930798347901,0.0013828745650713628,0.0018105656421959792,0.0050432176880945215,0.0,0.0,0.04697944527667926,0.0,0.005131614453792767,0.004346631374326307,0.0,0.0,0.015856000944709115,0.007296332207641844,0.004208563878879123,0.0014164941989283795,0.001670467394816147
EAC-56,0.08659732257400354,0.028208643421439437,0.030743907861463644,0.011945100872412717,0.03033592603136518,0.0,0.07059068762646195,0.04479086395980201,0.049052464952101006,0.01824085120914787,0.018154023020712964,0.0016672572732606124,0.0,0.016038778091300193,0.05932005568000923,0.02035085683712836,0.01868267739566289,0.03900459200117233
EAC-58,0.0,0.0,0.0,0.0003164834394894487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021816779523774126
