bin,ERR598952,ERR598962,ERR598965,ERR599007,ERR599065,ERR599108,ERR599168,ERR599349
CPC-29,145639.2848440676,570568.1099443774,2779901.986974372,3186304.5574865947,782237.3355635869,308856.4232293265,1799721.0512013086,1855.1705427956022
CPC-294,23180.066941334826,60584.25336629426,6551314.591208969,359520.74234013044,119594.98712915735,47947.07021335547,188598.42072380974,10438.178814046432
CPC-296,289016.0578617378,80444.65009644329,112060.19841255604,455417.8728391597,1540007.3148892622,597377.388575908,257314.20935134645,4563.566708533452
CPC-297,10485.57440405593,63169.5601449046,17109933.931236938,309411.1449207407,62257.76469665557,19297.354940985304,71505.98589466768,370.42076202623656
CPC-3,111088.87740472743,11020.629463910205,2220.5544913990934,54972.8325993121,578721.5280394538,207551.89688215585,14106.001156279579,115.1199027496346
CPC-30,762750.1892174939,2980237.7453326266,504915.0357682572,17072774.961324275,3936255.4865678945,1559087.5904917615,10055785.258460686,261.44405397011826
CPC-300,7195790.913455951,124865.91045900174,95637.91996153345,695142.2071224232,36754519.530015685,14444261.187023165,383688.3887246394,88.98694202479415
CPC-305,11604.975038789107,117755.03693496672,22587845.185633373,665623.0796108908,60634.100241541266,25654.552068014935,403277.52962884377,51878.59372183032
CPC-309,528.7274131395468,600.9575001011441,1123813.7362899159,4428.415557042499,3892.6648164588923,1611.762076505994,1877.799853498866,89.29082290513651
CPC-31,6528.121853986497,10887.437334357277,70607.7162731313,35232.58111389347,15316.473664854548,4219.138481320735,14483.769196094412,152604.69059503425
CPC-310,3962.844256686645,12062.627787462829,8181438.682926619,68157.3233476857,22723.429015684647,10417.039351436857,33238.2244947137,116.69510752704994
CPC-316,60245.84849875941,746398.7660011475,7828084.3954384485,4097740.825559563,325346.8710183416,118601.56267930575,1785529.676037336,494.00647181311376
CPC-319,31061.132472932844,912333.663361235,17464645.164362255,5225950.928799877,188286.34759574968,69568.7652037225,2954982.394544874,511.0926928266035
CPC-32,3656.269833993444,3386.763689761246,30507.607397782424,18989.14698241821,23751.15863666537,8947.963111426652,5353.340303507786,512855.25152150524
CPC-320,1695.7890501449874,21679.47879600173,20471035.876045104,121838.11970783332,9031.219563370458,3596.5553999070216,47065.53705431963,1780.0865257454825
CPC-322,2861.376380305932,27675.70017145753,16256710.006194592,156602.1721702911,15286.114032940895,5107.640296651987,55079.466075709155,12849.65509033213
CPC-323,46699.54372273191,513150.9478217887,18546347.917298652,2925192.446425392,251305.21664290223,94604.07881671925,1598646.2746662216,5794.871382920177
CPC-324,41263.12738739127,314115.8830893927,67342098.92953922,1730013.7811709163,232121.48193159208,91920.80543425049,799964.0025362814,47534.51531328412
CPC-327,332260.98728591105,621307.7233905231,12771744.386799915,3478587.696655311,1726882.546269175,674621.3102640947,1670361.851884715,1033.2994602511158
CPC-33,8950.86250753178,7589.494925590073,433264.86762562284,37943.42454348871,42400.093416541524,16727.620962933644,12058.898313860538,890808.3696666356
CPC-34,15031.775286112732,16105.319709167505,24088.541770843403,98652.60507694106,73342.7840964537,29603.48871995895,56007.4042374743,3126596.7914735633
CPC-38,153126.65251412962,218476.54274686176,115835.68097127757,1159935.9566375308,748875.6040339837,282788.9358291846,338464.91226588783,3318.7083565171065
CPC-39,200846.14514258542,162775.44884220778,50204.452103107586,835772.2844111173,1043841.4226062844,383085.7270235114,232855.06342194157,18770.210865772486
CPC-40,33587.912287706014,46586.642833355974,771544.4258663628,244083.67289958728,186314.93479385052,70439.41306053863,56673.31241608521,31953.71748633238
CPC-41,362293.65721188433,48485.19595689043,39250.49499154284,283936.8922053931,1835726.6211536587,718797.2208669774,151573.3986050954,166794.12800894547
CPC-42,9173.602188834886,5953.944441371988,155105.19827565987,31176.169496433977,48445.04592577676,15153.332962364959,13808.921195417553,94003.36287448542
CPC-43,21823.567056150066,20242.751506745066,347783.590976053,107402.73007297843,124912.6363376688,51879.66595062469,36984.64608078786,62568.6976191283
CPC-45,2263.2014509340897,29362.541423331262,24962375.3888359,156892.42332942315,11487.33284283492,4966.566505265874,52255.81355558321,80562.16483199365
CPC-46,54691.818523157955,16942.01577696866,50641.01320953079,92751.68319394752,291242.4445811827,105093.15484059468,35338.329845358305,5665.365042289336
CPC-47,29408.807989041372,95561.46711832871,766863.4992868117,487809.9656910758,147036.0269079677,53821.01964641468,115512.05109151041,1894913.1212837046
CPC-48,1753349.3852550578,771752.2230302158,651241.962165425,4072326.86286539,9015314.973597769,3460448.3697748547,1338486.3947075093,116595.07598005945
CPC-49,71637.5775547222,101520.10967676106,1945213.9764736688,573360.874381716,384235.55593857286,146007.37386307772,274752.17928463884,110542.47748737196
CPC-5,66.94732704402516,33.567354965585054,21213.597673079465,457.4792253334111,240.90107585638648,100.81323045551305,114.41968412486845,13925435.438884253
CPC-50,73905.96107616143,3065665.11458782,3573452.826960056,17119398.669519246,384301.16635161306,145861.688652655,8986528.369116154,88440.02268177219
CPC-51,22653.510035332136,3996.835260046117,6229.132968955883,31466.066490714446,175644.45938910282,66628.78708425383,1017.2438768281518,260.4523874512183
CPC-52,6289512.141432055,211965.21685162935,92872.37974765906,1087875.338440139,31744937.222163122,12305566.550062917,442976.0684750082,1313.4134925131061
CPC-53,4913.289799180455,10417.871052406446,653.019071580664,65304.33260815587,31426.781832475543,13020.854394851152,35202.442373603786,39.85819296007975
CPC-54,3879.1128359134177,2387.2787174285495,184464.84939388718,10511.260109964307,19853.90132874462,7795.3247066069025,3256.436126290316,13042.949069218861
CPC-58,2605.743659808263,32516.09723286937,17978571.86684111,185200.27110534132,15477.604773299938,5905.799477059718,74211.84965445811,429.59489436440197
CPC-59,950.4699825089288,3667.886912887276,10056554.643313432,22652.735335112895,7401.963013534096,2127.7849500239354,7663.353826096206,1026.2892346342371
CPC-6,100.8316153486576,500.4250046975426,800547.8859174073,1772.8518579793952,914.2023300513705,629.840229367338,309.886295559275,300633.2263169657
CPC-61,25732.643121248624,38000.82752056549,219963.757014306,219847.8642825711,144772.24619743213,56572.921244577636,113799.08031716514,10.647619047619049
CPC-62,8814.145523926372,8619.904395481772,11971903.388213528,43231.28540092076,52114.16857161887,17260.3393011031,14925.280005813578,486765.8858500858
CPC-64,444.7018016183173,883.7235994314913,2525960.0987156653,6101.172600466587,2684.5353771244695,731.9731321283571,1828.8125770832205,256.50152488791264
CPC-67,1197.6447673014468,9930.262711727264,82038.43254357997,50897.826258979876,3179.286125705062,1329.643244766875,24758.236159793923,8583204.437812597
CPC-69,3635.3952897129607,3912.4337986202922,34817.85617955878,16943.01862088913,20122.846518563467,7530.662013226519,5806.51094884062,1947516.883286387
CPC-7,7787.090027000825,25993.747289892624,186443.32065651452,119732.24682206516,35687.052914430664,12688.33870245428,39308.77576680664,2028926.0807411328
CPC-70,2473.3762181273164,4026.641713351668,168230.41986986742,22581.976256581183,18217.32361562381,6708.800013116321,12951.472402872541,559490.6011174419
CPC-71,62256.35455038773,23939.825246967524,57407.79503969069,139753.85362739235,307682.1308405854,121492.87400902351,67158.73947752797,8305.466909236835
CPC-72,9695.310947175249,3709.9364670928617,59607.785990993,20077.175733037948,55799.93373318332,20020.092075939636,6444.690432057744,168.40381954693126
CPC-73,19660.571540088546,401777.8674339017,49135881.39065902,2199315.763321162,107927.58820393677,43901.58695320347,837213.1208232943,145.51405379955844
CPC-74,6416.093449494432,83803.82834590485,38743877.80790265,484313.25814206805,37401.02511485828,13771.176671356388,261560.59440989667,97.36626554526482
CPC-75,25858.20927025842,167379.43761918534,56989629.91356451,918399.0607970656,138796.11996696563,52959.03028476288,368646.47018049576,162.53941148616434
CPC-79,285679.1817015637,197232.28196274056,203126.66176167608,1082963.021078043,1454493.2039460798,568731.5268412454,529310.1922324919,2420.907056888923
CPC-8,23176.538352282238,16888.212234717892,145705.84134532444,94316.22902446539,128879.71001056125,45857.741900040804,39787.53042856135,6274785.917105177
CPC-80,27440.37205596814,27041.519433052308,7248227.2445270615,149352.98072634937,138643.53370572955,51964.15023195006,63928.83158251553,1736241.2532519775
CPC-81,117059.36962193766,19178.81928918041,137563.26847563166,98433.53845338979,595566.4271100179,226035.71748281622,23593.96916408612,901.3986261926437
CPC-82,2225611.2509482647,2605786.2806996135,1001937.552894852,14145658.350136507,11521029.448701642,4459070.2301967535,5498742.63605089,174.18466778865468
CPC-84,120417.48651348885,15590.101457305811,49034.78723240528,94720.36761364936,615432.9823598461,243877.37846835298,33132.423073351536,21.31176272328952
CPC-85,2100.201772366718,9525.046230075344,9481544.023105934,53139.08431850381,11540.077716241154,4725.902725748674,15771.925097061427,41.543710091291175
CPC-86,2685.2478471294444,4446.613680266443,23216075.9522421,20926.714343621432,19965.442434802862,6807.525579953002,6562.190821890519,154.42680524462082
CPC-9,33348.67971268288,142725.05120798628,97093.24785084368,836490.4169189386,197543.38273536193,77230.81992372482,499504.4411716997,17816.542633146502
CPC-95,2817.503876050784,2812.364349974659,516942.0823004022,16998.120487737357,14692.822494059776,5331.920134598667,5036.012331950932,24355206.544015944
CPC-96,1587.7313703543346,24863.26240194106,47846558.04381084,135199.4758250914,7449.742225645998,2353.0958770198718,52391.68054988438,225.83994645247657
CPC-97,450444.94951338455,2430069.653570165,39114895.62194765,14002869.803501846,2367644.524849133,923391.3228185338,8325146.294482824,412.1805981987986
CPC-98,26031.362950480932,16286.62888906509,172905.9232152557,80472.50002694342,148314.1518131288,57673.59929087267,45231.18634209974,4318.737129917921
