bin,ERR598989,ERR598997,ERR599030,ERR599052,ERR599118,ERR599142,ERR598942,ERR598952,ERR598987,ERR598995,ERR599065,ERR599070,ERR599087,ERR599099,ERR599108,ERR599147,ERR598971,ERR598980,ERR599004,ERR599015,ERR599051,ERR599060,ERR599067,ERR599076,ERR599115,ERR599127,ERR599152,ERR599175,SRR3961906,SRR3961935,SRR3961936,SRR3962293,SRR3962508,SRR3962771,SRR3965585,SRR3965586,SRR3967905,SRR3968062,SRR3968063,SRR3968770,SRR3968777
NP-1160,0.000729448766459791,0.0,0.0,0.006114750228854692,0.0013957166270378233,0.0,0.012098288875231572,0.008519116550224493,0.04941188766211251,0.0023981043289325902,0.0015444283100690872,0.03811239910743246,0.0036664311592500528,0.03170945414054684,0.0,0.04175023318437596,0.01939040207174115,0.012340658708479682,0.03767763518418893,0.03069070297712745,0.020153517118040944,0.0474464748676004,0.02433235251798761,0.036865736319979706,0.02428719048378594,0.0,0.024791171147817658,0.026108409367371226,0.0310588388589052,0.0,0.0,0.0,0.0,0.0,0.0,0.018421901359845578,0.0,0.05363750990984242,0.041489300199762366,0.0,0.02074175011973943
NP-117,0.06292575184224386,0.027722034108003453,0.05081055480546382,0.09819541597878653,0.02137983452585819,0.02926483377598919,0.025540052517605397,0.07166835874417371,0.11576628489304018,0.04286718611231863,0.057596502927684944,0.12310868225351178,0.05082189159869847,0.14310501268155043,0.06154694547768579,0.11387267549106853,0.06480902828724802,0.0683267385669116,0.11797625967751088,0.1617893503697866,0.11377924966440676,0.10961718355993187,0.06826045123664462,0.1355833315081634,0.04872693888412055,0.13408303093899607,0.14109830396377526,0.11360175297121321,0.24647928476874462,0.17820336716417873,0.3246641105711061,0.16244030880969362,0.3651495830538917,0.12006880929515958,0.2968223343464761,0.1760967393624819,0.1687691789151565,0.10224653696777361,0.0911985517271113,0.16164508572913003,0.24648923652059354
NP-119,0.002517918007348016,0.0,0.0029289108304715776,0.002540859591449753,0.0,0.002559888356440911,0.0019279299925710348,0.0,0.007326715866880369,0.0030973023770299543,0.0,0.003547027198322253,0.004649908371416422,0.00398790461185683,0.0,0.0,0.0,0.002809963303430111,0.003751014515710417,0.0019216737280140937,0.001646273776607576,0.0016061733211935293,0.0,0.004414443197029429,0.0015256737118904099,0.004542005445897331,0.0037806473901864086,0.0018364464011021982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-12,0.00179677471964685,0.001121165115075885,0.004049281268031038,0.006032538489751173,0.0031655977728766663,0.004314033235822835,0.0036717677137214806,0.0038125921521108322,0.001790272539021703,0.004505048098546501,0.002004434098089238,0.004248873623369633,0.0036611011838865205,0.0052411753752729775,0.004014519558098693,0.006148188152303093,0.004732971758070557,0.0055420376291758,0.004284496325074534,0.0034890356954823125,0.004651002502636994,0.0036954107619188836,0.0033710835727922025,0.004243187523505264,0.00500287256052921,0.0033539067249488213,0.003661911166088942,0.004119623763476066,0.001298975185710476,0.003618488161490446,0.0033448930997402354,0.0019188074089402072,0.0025737795865656476,0.0024303970964033705,0.0,0.01125003864568469,0.01163649755977033,0.0014768144753312573,0.010528935047265417,0.011138237916957146,0.010869255526606596
NP-120,0.0007607043663044695,0.00237850935817763,0.001315116730606181,0.0011875055820289183,0.0012200921047274683,0.0008325176094566787,0.0012309593869012836,0.0,0.0,0.0012614767872242535,0.001375476983099323,0.0,0.0003742132426967046,0.0,0.003557811005941805,0.0,0.0,0.0007168065651055704,0.0008552766592185903,0.002384396554720242,0.0023301206206095284,0.0030042872128947366,0.005462475927926201,0.0020147588018288526,0.0011019959326259911,0.001092194130431464,0.002244706728973344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-124,0.0008052580855491887,0.008251552894697655,0.005459388960087438,0.007411254632744692,0.0049834639543815725,0.001899013476841304,0.007563971048447029,0.0,0.0026834536996870138,0.003989741548534881,0.0004669588896147906,0.0045923982712719295,0.004903592370490576,0.006050737271448055,0.00497994440233728,0.005709884636310881,0.005815776591139473,0.005245860368044872,0.005858373662877225,0.0054471099984869445,0.00375688633905748,0.005706955166511424,0.005192615772409343,0.005859896296281727,0.0036656392220171734,0.005732414779441334,0.005427469018041811,0.004230222633242067,0.010629478668766266,0.0,0.0024413593521985053,0.0,0.0,0.0038430977110808177,0.0,0.0,0.019226718264127213,0.0,0.0,0.01090383185715937,0.02065166220589035
NP-125,0.0013523965561006701,0.002507454800365867,0.005443054851506772,0.00611809957547218,0.010773147238671298,0.006870117221355059,0.006104305853184279,0.014415030826047174,0.0,0.00758173445896287,0.008358787276545553,0.005062488182988232,0.005487899055523279,0.0,0.008157276367256711,0.0,0.006824665342014918,0.007239091343730514,0.006059831168639763,0.006071343271942477,0.00532613718042682,0.0051305410545475294,0.007827479365618315,0.005775629805394261,0.006010763737551556,0.004619886121107058,0.0011264844892840704,0.005704413839877563,0.01284769107995329,0.00739384289426288,0.004339609631267131,0.0058416311208227935,0.01372192346066774,0.006618575932125113,0.002814457428100978,0.00352692209215418,0.0067164140302620095,0.025318000018479565,0.024658356292927265,0.0067499252354249,0.012532324634233169
NP-127,0.0,0.0,0.005419019044119866,0.00414690354742389,0.0,0.0,0.0,0.0,0.011233534723447904,0.010932020472982439,0.0,0.03080540788696073,0.009801979894951717,0.0055385859754904605,0.0,0.01713056818184637,0.003283865400051124,0.012340095691813421,0.010299830502287064,0.0137944827980145,0.002664968504644889,0.012923638753394176,0.0,0.008128002596578613,0.008542070658712562,0.0067001554467190855,0.00757721332455831,0.011130114188872966,0.004710584493795647,0.0067860148997459496,0.00745799443790355,0.006972928765057853,0.005680235448391971,0.0082099695190329,0.0,0.0071201715379883715,0.0,0.0,0.0,0.0,0.0
NP-13,0.003799822888014537,0.0,0.002823793562695409,0.004331513771583584,0.0,0.00023655145278235275,0.0043745461783402505,0.0,0.006823334541627906,0.0027730792133541173,0.0,0.0,0.0030636800959870014,0.0,0.0,0.0,0.0018507713245371244,0.0023797312774927137,0.004373806763085685,0.0023226376876938374,0.005513256895598881,0.006740306984429353,0.0023371371795620323,0.0,0.004873171478783025,0.0,0.0014844036936638,0.00394494314367969,0.0046387559748494525,0.004994853925509761,0.005463017814762042,0.00515042413493681,0.004199698509538067,0.005325897168935211,0.0020204208291925356,0.0032941789769879016,0.0,0.000819117344541301,0.0024451923025377354,0.0,0.0
NP-133,0.028652324207704086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00910986109776208,0.0,0.05705546717808087,0.008921970439746062,0.0,0.008110265786297859,0.0,0.008475314511971482,0.004375282593346153,0.001186881525006455,0.008556500227753344,0.008987703217562395,0.008938940161838244,0.008833908317750234,0.007833189088996802,0.009018680835181472,0.005179140292325943,0.008917843959460998,0.008940273575589686,0.009592386952481482,0.0,0.0,0.0,0.00283828275018937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-1391,0.03448411338465424,0.003771545803504834,0.0017717481638103454,0.006936561425440037,0.005139100164149914,0.0005439955858660165,0.006897116489367496,0.002995947397765948,0.0,0.0,0.018244056622653604,0.0,0.0,0.0,0.007205989461953135,0.0,0.0,0.0,0.006883818635932138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09110379313514808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-140,0.003705408998955274,0.0017001698561395075,0.0038939905825769593,0.0038899960764306888,0.0031395065339828647,0.0035505530126013424,0.003692686339354716,0.003671778809324791,0.003807600052482532,0.0035203852830188375,0.0037320111336197935,0.0035188162903410022,0.0037087619186857877,0.004025773340530578,0.0027055707619306887,0.0017710664333999869,0.003271192534423008,0.00341016013702286,0.004581666803520656,0.003246593511721247,0.003732064022432061,0.004502669756951405,0.00510325426700889,0.003188620443852611,0.0036894599293857823,0.002824687655450219,0.003368044296445753,0.0027831644877295224,0.002278257657232803,0.0020354509039353873,0.0,0.0028056105573452867,0.0018267620073397688,0.0008065003126886236,0.001200275446744395,0.0024253051657145237,0.0,0.0,0.0,0.0,0.0
NP-1444,0.00010625172011206783,0.0,0.001873942271205712,0.004608033019777915,0.00015350218516260483,0.0018427417669730295,0.004407722385977347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05931746117157812,0.0,0.0,0.0,0.0,0.0,0.0,0.005688316228280809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-1472,0.004173324232581632,0.0037116543679519835,0.003093600022335807,0.001125893916636285,0.004755287743581432,0.004415474547984911,0.005851135907468929,0.0027727867333840845,0.0,0.0,0.003239584412891707,0.0,0.0,0.0,0.002815752247885356,0.0,0.0,0.0,0.0,0.025930236228507028,0.0,0.0,0.0,0.0,0.01895421365285763,0.026687506991788165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
