gene_caller_id,COG20_CATEGORY,pnps,gene_type
206441,X,1.190036235902428,CN
206444,nan,nan,C_
206964,L,0.06260120452319007,CN
215320,nan,nan,C_
215321,nan,nan,C_
216513,nan,nan,C_
216514,nan,nan,C_
216515,nan,0.7946918173515726,C_
216516,nan,0.6327696872922961,C_
216517,nan,0.7052150719074309,C_
220758,nan,nan,C_
220759,nan,16.00314846464326,C_
220760,nan,0.5878104614797216,C_
232009,L,0.2620220869028713,CN
232010,nan,1.130129532281612,C_
232011,S,3.4275683173258207,CN
232012,nan,1.6247057652401917,C_
237024,nan,nan,C_
237025,L!!!L,nan,CN
237026,nan,nan,C_
237027,nan,nan,C_
237028,nan,nan,C_
237029,X,nan,CN
237030,K,nan,CN
237031,S,nan,CN
248467,nan,nan,C_
248468,nan,nan,C_
248469,nan,nan,C_
258576,nan,0.9008061760536612,C_
268645,L,0.3024494430883977,CN
273224,L,nan,CN
273225,nan,nan,C_
273226,nan,nan,C_
273227,H,nan,CN
273228,nan,nan,C_
273229,nan,nan,C_
273616,nan,1.315357921380404,C_
273617,nan,0.8501307741875813,C_
273618,V,1.2232699132926408,CD
273619,nan,2.722488180439193,C_
273620,nan,1.2384110555259296,C_
273621,nan,2.2954919360996398,C_
273622,nan,0.3908382835675294,C_
273623,nan,0.7443613073003531,C_
273624,nan,0.8826811712988971,C_
273625,nan,0.6076860585163284,C_
273626,nan,0.7961739911666099,C_
273627,I,1.7780527694652002,CN
278618,nan,nan,C_
278619,nan,nan,C_
278620,nan,nan,C_
289077,nan,0.13641329956110873,C_
289078,nan,0.17591229441327896,C_
289079,nan,inf,C_
289080,nan,nan,C_
290485,C,nan,CN
290486,nan,0.20858490977982666,C_
290487,nan,3.2455532598694505,C_
290488,nan,2.868916097952623,C_
308525,nan,nan,C_
308526,nan,nan,C_
308527,nan,nan,C_
308528,nan,0.6351667804164667,C_
308529,nan,2.0103212557284733,C_
308530,X,1.3448633824076577,CN
308531,X,nan,CN
308532,nan,0.8653273721552595,C_
308533,U,0.8583747904050536,CN
309553,V,0.7671738033122864,CD
309554,nan,nan,C_
309555,U,nan,CN
309676,J!!!O,0.3525259143525377,CN
309677,M,0.6586999519535589,CN
309678,H,0.5389868910306495,CN
309679,nan,1.6335539696258987,C_
309680,P,4.098998417638398,CN
309681,nan,nan,C_
309682,nan,nan,C_
309683,nan,nan,C_
309684,nan,0.7967455959686388,C_
310843,nan,nan,C_
310844,nan,nan,C_
310845,nan,nan,C_
310846,nan,nan,C_
310847,nan,nan,C_
314435,V,0.17007077576016136,CD
314436,Q,nan,CN
314437,R,nan,CN
314438,nan,0.720125084563931,C_
314444,K,1.6088528774841762,CN
316690,nan,0.7121636796862546,C_
316691,nan,8.568389850492077,C_
316692,nan,1.3524101828633257,C_
316693,nan,1.1543459911957112,C_
318169,nan,nan,C_
318170,L,nan,CN
321200,L,nan,CN
323333,nan,nan,C_
323334,nan,nan,C_
