bin_name,biofilm_count
NAT-119,0
NAT-12,0
NAT-121,9
NAT-123,51
NAT-124,38
NAT-125,4
NAT-127,8
NAT-129,9
NAT-13,0
NAT-130,4
NAT-131,3
NAT-132,2
NAT-133,8
NAT-134,9
NAT-136,0
NAT-137,0
NAT-138,2
NAT-139,0
NAT-14,2
NAT-141,7
NAT-142,1
NAT-143,0
NAT-145,1
NAT-146,0
NAT-149,0
NAT-15,6
NAT-154,0
NAT-155,3
NAT-157,4
NAT-158,4
NAT-16,7
NAT-161,0
NAT-163,0
NAT-165,1
NAT-166,0
NAT-167,9
NAT-168,0
NAT-169,10
NAT-17,5
NAT-170,10
NAT-171,0
NAT-172,0
NAT-173,5
NAT-175,0
NAT-176,3
NAT-178,2
NAT-179,0
NAT-18,0
NAT-181,1
NAT-182,0
NAT-185,2
NAT-187,0
NAT-188,0
NAT-19,0
NAT-190,2
NAT-197,3
NAT-198,1
NAT-2,0
NAT-20,5
NAT-200,0
NAT-201,7
NAT-203,1
NAT-205,0
NAT-206,1
NAT-209,7
NAT-21,10
NAT-210,17
NAT-212,5
NAT-217,1
NAT-218,1
NAT-22,4
NAT-220,2
NAT-221,1
NAT-222,0
NAT-224,1
NAT-225,2
NAT-23,7
NAT-231,1
NAT-232,2
NAT-236,0
NAT-237,1
NAT-238,0
NAT-239,10
NAT-24,9
NAT-241,3
NAT-242,0
NAT-245,1
NAT-248,1
NAT-249,4
NAT-252,0
NAT-253,15
NAT-255,0
NAT-258,1
NAT-259,0
NAT-26,8
NAT-269,0
NAT-271,4
NAT-272,0
NAT-276,10
NAT-278,2
NAT-28,7
NAT-280,3
NAT-282,6
NAT-284,0
NAT-288,0
NAT-290,22
NAT-291,9
NAT-3,9
NAT-30,23
NAT-32,3
NAT-33,5
NAT-34,1
NAT-39,1
NAT-4,7
NAT-40,4
NAT-41,0
NAT-417,1
NAT-422,1
NAT-43,0
NAT-430,0
NAT-441,0
NAT-45,0
NAT-453,0
NAT-46,1
NAT-5,10
NAT-501,0
NAT-509,1
NAT-510,0
NAT-52,0
NAT-53,0
NAT-535,0
NAT-54,0
NAT-55,0
NAT-575,2
NAT-6,14
NAT-60,8
NAT-61,2
NAT-62,0
NAT-64,12
NAT-66,3
NAT-67,6
NAT-68,0
NAT-686,0
NAT-69,2
NAT-7,4
NAT-70,8
NAT-71,1
NAT-72,1
NAT-74,2
NAT-75,7
NAT-79,2
NAT-8,1
NAT-81,12
NAT-82,10
NAT-84,9
NAT-85,5
NAT-88,0
NAT-89,8
NAT-9,8
NAT-90,0
NAT-91,7
NAT-92,8
NAT-94,14
NAT-96,0
NP-1,6
NP-10,6
NP-100,11
NP-101,1
NP-103,0
NP-104,1
NP-1044,3
NP-1046,3
NP-105,1
NP-1051,4
NP-1052,1
NP-106,0
NP-107,1
NP-1070,2
NP-109,1
NP-11,3
NP-110,0
NP-112,0
NP-113,1
NP-1160,0
NP-117,0
NP-119,12
NP-12,6
NP-120,4
NP-122,3
NP-124,21
NP-125,8
NP-127,12
NP-1277,0
NP-13,10
NP-132,0
NP-133,3
NP-135,2
NP-138,0
NP-1391,4
NP-1395,0
NP-140,8
NP-142,0
NP-1444,1
NP-1463,4
NP-1472,2
NP-15,12
NP-150,3
NP-151,11
NP-1521,0
NP-153,1
NP-156,7
NP-16,18
NP-17,4
NP-18,0
NP-2,14
NP-20,1
NP-21,4
NP-22,0
NP-23,3
NP-24,5
NP-25,6
NP-26,2
NP-27,6
NP-28,7
NP-29,9
NP-30,17
NP-32,12
NP-33,17
NP-34,14
NP-36,1
NP-37,2
NP-38,1
NP-39,11
NP-4,24
NP-40,9
NP-41,12
NP-42,9
NP-43,12
NP-44,7
NP-45,7
NP-47,2
NP-49,5
NP-5,17
NP-51,2
NP-52,1
NP-53,1
NP-54,3
NP-55,3
NP-56,3
NP-57,0
NP-58,2
NP-59,4
NP-6,12
NP-60,4
NP-63,1
NP-64,1
NP-65,0
NP-68,0
NP-69,1
NP-7,5
NP-72,0
NP-73,0
NP-75,2
NP-77,1
NP-79,3
NP-8,10
NP-80,1
NP-81,3
NP-85,3
NP-86,4
NP-87,0
NP-89,6
NP-9,9
NP-90,16
NP-91,8
NP-92,9
NP-931,2
NP-932,3
NP-936,3
NP-937,1
NP-939,6
NP-94,10
NP-942,1
NP-944,1
NP-945,3
NP-946,1
NP-948,5
NP-949,7
NP-95,21
NP-951,1
NP-952,3
NP-954,0
NP-955,0
NP-956,2
NP-96,6
NP-960,1
NP-964,7
NP-965,0
NP-966,1
NP-969,4
NP-97,2
NP-970,1
NP-973,6
NP-980,1
NP-982,0
NP-986,4
NP-987,0
NP-99,4
NP-992,5
NP-993,3
NP-996,0
NP-997,0
RS-341,0
RS-342,9
RS-344,2
RS-346,0
RS-348,0
RS-349,0
RS-350,3
RS-352,0
RS-355,18
RS-357,0
RS-359,0
RS-361,5
RS-363,0
RS-364,8
RS-365,1
RS-367,1
RS-371,0
RS-372,7
RS-373,2
RS-376,5
RS-380,4
RS-381,0
RS-382,1
RS-383,0
RS-384,0
RS-386,6
RS-387,0
RS-388,0
RS-389,1
RS-391,0
RS-392,0
RS-394,1
RS-395,0
RS-397,6
RS-398,4
RS-401,0
RS-402,2
RS-404,1
RS-406,0
RS-408,0
RS-412,1
RS-415,0
RS-416,0
RS-419,2
RS-420,1
RS-421,2
RS-422,2
RS-423,2
RS-426,4
RS-428,0
RS-431,0
RS-432,1
RS-434,3
RS-435,0
RS-438,1
RS-439,1
RS-440,0
RS-447,0
RS-453,0
RS-454,0
RS-456,2
RS-458,3
RS-460,0
RS-464,1
RS-465,1
RS-467,0
RS-472,0
RS-508,1
RS-535,0
RS-604,0
RS-615,5
RS-626,0
RS-648,0
RS-652,1
RS-654,1
RS-665,1
RS-668,0
RS-678,0
RS-697,7
RS-797,1
RS-814,0
RS-815,0
RS-816,1
RS-817,0
RS-819,1
RS-820,1
RS-821,1
RS-822,3
RS-826,2
SAT-1,11
SAT-10,2
SAT-101,6
SAT-103,1
SAT-104,2
SAT-105,0
SAT-106,9
SAT-107,0
SAT-108,6
SAT-109,14
SAT-110,7
SAT-111,11
SAT-112,13
SAT-113,10
SAT-114,6
SAT-115,6
SAT-116,0
SAT-117,8
SAT-12,1
SAT-121,10
SAT-122,0
SAT-126,8
SAT-127,0
SAT-128,2
SAT-1289,0
SAT-129,11
SAT-13,1
SAT-130,3
SAT-1308,10
SAT-1309,2
SAT-131,2
SAT-132,1
SAT-1329,0
SAT-133,2
SAT-1331,3
SAT-1339,2
SAT-134,12
SAT-1340,0
SAT-1342,1
SAT-1344,2
SAT-1346,0
SAT-135,1
SAT-1358,3
SAT-1359,0
SAT-1366,2
SAT-1367,4
SAT-1369,0
SAT-137,0
SAT-138,2
SAT-1388,0
SAT-139,0
SAT-1391,5
SAT-14,0
SAT-140,1
SAT-1401,1
SAT-1403,4
SAT-141,7
SAT-1415,4
SAT-142,0
SAT-1431,0
SAT-1434,5
SAT-1446,0
SAT-1448,1
SAT-1449,3
SAT-145,0
SAT-1450,2
SAT-1451,9
SAT-1462,6
SAT-1475,3
SAT-149,7
SAT-15,0
SAT-150,1
SAT-1507,5
SAT-1508,1
SAT-1509,3
SAT-1510,0
SAT-1517,1
SAT-152,0
SAT-154,0
SAT-155,1
SAT-1553,0
SAT-1568,0
SAT-157,0
SAT-1582,0
SAT-1585,2
SAT-159,0
SAT-1607,0
SAT-1608,0
SAT-1609,0
SAT-161,0
SAT-1610,1
SAT-1611,5
SAT-1613,0
SAT-1614,0
SAT-162,4
SAT-164,0
SAT-165,0
SAT-166,1
SAT-168,0
SAT-17,1
SAT-175,0
SAT-176,2
SAT-177,3
SAT-179,3
SAT-18,3
SAT-180,1
SAT-181,0
SAT-182,1
SAT-183,7
SAT-184,0
SAT-185,1
SAT-189,11
SAT-19,8
SAT-193,2
SAT-194,5
SAT-195,2
SAT-197,0
SAT-198,5
SAT-2,2
SAT-20,6
SAT-200,3
SAT-201,2
SAT-205,0
SAT-206,1
SAT-211,0
SAT-213,3
SAT-214,1
SAT-217,5
SAT-22,4
SAT-220,0
SAT-221,1
SAT-225,0
SAT-226,0
SAT-227,3
SAT-228,0
SAT-23,11
SAT-230,13
SAT-24,2
SAT-25,10
SAT-2595,1
SAT-26,7
SAT-2619,1
SAT-27,4
SAT-2755,3
SAT-2756,1
SAT-2766,1
SAT-2787,4
SAT-2788,1
SAT-28,10
SAT-2910,0
SAT-2911,0
SAT-3,3
SAT-3021,3
SAT-3048,0
SAT-31,8
SAT-33,6
SAT-35,16
SAT-37,7
SAT-38,0
SAT-39,10
SAT-4,6
SAT-40,5
SAT-42,7
SAT-43,3
SAT-46,7
SAT-47,0
SAT-49,10
SAT-5,2
SAT-51,8
SAT-52,15
SAT-54,4
SAT-55,7
SAT-56,4
SAT-57,8
SAT-59,10
SAT-6,8
SAT-60,9
SAT-61,2
SAT-62,19
SAT-63,4
SAT-64,19
SAT-65,2
SAT-66,4
SAT-67,12
SAT-69,10
SAT-7,8
SAT-73,8
SAT-74,8
SAT-75,10
SAT-77,1
SAT-79,1
SAT-8,5
SAT-83,5
SAT-85,21
SAT-86,5
SAT-87,2
SAT-88,21
SAT-9,9
SAT-90,3
SAT-91,3
SAT-92,11
SAT-93,16
SAT-94,0
SAT-95,0
SAT-97,12
SAT-98,9
SAT-99,8
SP-1,7
SP-10,2
SP-101,1
SP-102,5
SP-104,2
SP-105,2
SP-107,2
SP-108,0
SP-109,6
SP-11,4
SP-110,0
SP-112,14
SP-113,4
SP-114,2
SP-115,6
SP-118,8
SP-119,13
SP-12,5
SP-121,1
SP-123,6
SP-124,2
SP-125,10
SP-126,12
SP-127,4
SP-128,3
SP-13,1
SP-131,10
SP-133,15
SP-135,0
SP-136,2
SP-137,0
SP-138,5
SP-14,0
SP-140,5
SP-141,3
SP-142,14
SP-144,7
SP-145,2
SP-149,5
SP-15,0
SP-150,1
SP-151,8
SP-154,2
SP-156,4
SP-157,0
SP-158,5
SP-159,5
SP-16,11
SP-160,0
SP-161,7
SP-162,6
SP-163,10
SP-164,1
SP-166,2
SP-167,15
SP-169,4
SP-17,5
SP-171,5
SP-173,2
SP-174,0
SP-176,4
SP-177,11
SP-179,10
SP-18,3
SP-180,8
SP-181,2
SP-182,12
SP-183,3
SP-184,2
SP-185,0
SP-186,5
SP-187,1
SP-188,0
SP-189,1
SP-19,2
SP-190,0
SP-191,1
SP-194,2
SP-195,0
SP-196,1
SP-197,4
SP-199,1
SP-2,9
SP-20,5
SP-201,1
SP-203,2
SP-204,2
SP-208,0
SP-209,0
SP-21,0
SP-210,0
SP-213,4
SP-216,0
SP-218,1
SP-219,0
SP-22,0
SP-222,0
SP-224,0
SP-23,2
SP-230,0
SP-232,4
SP-234,2
SP-236,7
SP-237,0
SP-238,2
SP-24,0
SP-240,2
SP-241,0
SP-242,3
SP-243,1
SP-244,9
SP-245,4
SP-246,5
SP-247,7
SP-248,0
SP-249,0
SP-250,3
SP-251,1
SP-252,12
SP-253,1
SP-256,1
SP-257,0
SP-258,11
SP-259,4
SP-26,7
SP-260,2
SP-262,1
SP-263,1
SP-267,1
SP-269,9
SP-27,1
SP-272,0
SP-274,2
SP-275,9
SP-276,3
SP-279,5
SP-28,6
SP-281,0
SP-282,0
SP-283,0
SP-284,2
SP-285,3
SP-288,10
SP-289,5
SP-29,1
SP-291,14
SP-292,3
SP-293,2
SP-295,1
SP-2970,3
SP-2972,0
SP-2975,1
SP-2976,2
SP-2978,3
SP-2979,0
SP-2982,6
SP-2983,2
SP-2985,1
SP-2989,6
SP-299,1
SP-2999,5
SP-3,4
SP-30,0
SP-3003,3
SP-3004,0
SP-3009,1
SP-301,1
SP-3013,0
SP-3014,0
SP-3017,1
SP-3018,7
SP-302,8
SP-3021,5
SP-3023,3
SP-3024,0
SP-3025,0
SP-3028,1
SP-3029,4
SP-303,0
SP-3030,6
SP-3031,3
SP-3035,2
SP-3036,1
SP-3037,1
SP-304,0
SP-3040,0
SP-3041,0
SP-3044,0
SP-3046,2
SP-3048,16
SP-305,0
SP-3050,0
SP-3054,0
SP-3055,8
SP-3058,1
SP-3059,0
SP-306,1
SP-3060,0
SP-3061,0
SP-3062,0
SP-3063,0
SP-3065,2
SP-3066,0
SP-3068,0
SP-3069,3
SP-3070,0
SP-3072,5
SP-3073,0
SP-3074,0
SP-3083,3
SP-3084,3
SP-3094,14
SP-3097,1
SP-3098,1
SP-31,7
SP-3103,1
SP-3105,2
SP-3106,0
SP-3107,0
SP-3109,0
SP-311,2
SP-3110,7
SP-3111,1
SP-3112,2
SP-3118,0
SP-3119,1
SP-312,5
SP-316,0
SP-317,0
SP-319,1
SP-32,7
SP-320,0
SP-328,2
SP-330,2
SP-331,2
SP-332,1
SP-333,8
SP-334,3
SP-335,4
SP-337,0
SP-34,2
SP-340,3
SP-341,2
SP-342,0
SP-343,1
SP-344,1
SP-346,1
SP-347,13
SP-348,0
SP-349,0
SP-35,2
SP-350,11
