bin,ERR594313,ERR594325,ERR594395,ERR594404,ERR598943,ERR598978,ERR598994,ERR598997,ERR599064,ERR599118,ERR599144,ERR599353,ERR598952,ERR598962,ERR598965,ERR599007,ERR599065,ERR599108,ERR599168,ERR599349,ERR598971,ERR599055,ERR599067,ERR599128,ERR599132,ERR599346
CPC-19,0.01714279672499387,0.021103930525786904,0.002125857738916457,0.001635328458546294,0.0,0.0,0.0,0.0,0.0026662908762192434,0.005724071335221713,0.0018830966867653838,0.003356643772332239,0.0,0.0022997196246676128,0.011474962524751001,0.0026350178726107115,0.0015135517331513442,0.0,0.0,0.0013275621291813232,0.01004034669223913,0.007340043534531362,0.010817592874567709,0.006473806274446459,0.004154087868486232,0.0021429491750576675
CPC-2,0.03810008972842102,0.04026684858448129,0.0,0.0,0.010482454657987398,0.015803702506458926,0.0,0.018860104969914932,0.006988157797161456,0.014814930660366323,0.0,0.0,0.0684257838286681,0.07110947146018141,0.037472719507504124,0.08742244031057514,0.0821478631056336,0.08349459981195045,0.09527662172221227,0.0,0.057510406502800954,0.014344385379718482,0.05114366272969375,0.014061907775150777,0.014107265641393174,0.0
CPC-20,0.0012403317385852584,0.012198607912562087,0.0,0.0,0.014450480812092381,0.015253838778583197,0.003884287746317548,0.0009488213664504192,0.013385332444641025,0.00106397085833874,0.002764774354858605,0.0,0.00995688818403331,0.012858132321574314,0.015197859795981724,0.014312026440698072,0.007789743638177268,0.009390468260986825,0.01592075322769253,0.0,0.0,0.0,0.0,0.011755558053107365,0.0028770126522316814,0.0
CPC-21,0.01390107978012908,0.012347259034882353,0.003841075569791387,0.0035585616246049064,0.002717405189413597,0.011242663819890567,0.009616850225903001,0.010021017533824872,0.015753606679914454,0.013222180636319058,0.01663087821350369,0.011525870010507448,0.01229743927996578,0.018597720819502523,0.009154846583156889,0.012438062087624819,0.012358183010098773,0.010598833476795112,0.010151859649988508,0.02689180245597617,0.009936132156472065,0.004464627376804239,0.01008039404957166,0.007672994325054383,0.01083658413944271,0.014519128442881139
CPC-23,0.0023850100524267174,0.003767496973203026,0.005493018920382873,0.0011460683851002935,0.03465473874339023,0.03452104275168673,0.004272872810237411,0.010637531405711489,0.02662173148945051,0.011743261179469933,0.0021928271604319985,0.005086320806232391,0.016013311015393886,0.026053046812043554,0.02107065900863262,0.026701863426251,0.023403702549944918,0.01833655562783044,0.025673547696264037,0.003874741460349627,0.003235617325560777,0.010465946722749956,0.00981161789702801,0.011104900642260135,0.02048823152753668,0.001600034060915849
CPC-24,0.0314156489658696,0.017481498611805053,0.0,0.0,0.048859123465324235,0.04636513511526908,0.003132022205289114,0.030205551602798645,0.019163870508301078,0.027496122059132388,0.0067359059667915595,0.0,0.023957153379685736,0.05803597586593465,0.018156529111269294,0.06811053833161697,0.020090650891997026,0.026497018866413397,0.07024143040672662,0.0,0.04270391453464785,0.07068343242472558,0.044357848528492234,0.06257668700721856,0.06624006875202919,0.0
CPC-25,0.011639334435307723,0.002182432383452451,0.014675057572205271,0.009629143700011781,0.0,0.005935136511988899,0.011084500799417259,0.010826296964069379,0.005348795295008887,0.0018056565997294366,0.0,0.008832427089580219,0.0,0.013334042363508682,0.011981621235380574,0.004909219948971392,0.005061865918774915,0.0,0.003275556493781869,0.01776949230247976,0.00759807176298486,0.03239776930944521,0.0026846766151447142,0.027094064424403916,0.025197036887953803,0.027184698854520364
CPC-27,0.0011251971989274714,0.0015107964828832915,0.007665359993223939,0.007731888656271765,0.0329103754485946,0.015312113441449022,0.002102876841956887,0.020256157478191712,0.014048054841642758,0.01096364464881318,0.0022079942443581748,0.2447160134925975,0.0,0.015692939688109853,0.014350570981361615,0.01999191500024589,0.011840367298902142,0.020747321020754522,0.02273606002491369,0.11677292811114978,0.01596864509643569,0.007612500526066497,0.029123261922381447,0.029215926454007682,0.013924786448235657,0.19898473651607768
CPC-28,0.013336072775765477,0.012966505471303836,0.007248049611499832,0.008439358556820457,0.0,0.006424923254128048,0.005126855404436035,0.010110199229869362,0.007524338953698578,0.012948290669878605,0.005723853339060311,0.003255014945414736,0.005772187282195361,0.003013067424285086,0.012352693293740842,0.0014770207285715584,0.005235895995638731,0.0034707986373612443,0.0017566451396976949,0.005550434203493227,0.010095554274024095,0.010909474048079017,0.009586010860168534,0.006160075845997766,0.007037967374487769,0.0028532333458605895
CPC-288,0.024143107007296633,0.024027515720920937,0.0,0.0,0.03841230755212794,0.03858926456781331,0.022099797683121952,0.10803753683216542,0.03444881112517213,0.11471800136131008,0.022691017019925847,0.0,0.08539401054837091,0.03634890763395983,0.03470421133945609,0.03702053789533441,0.0948210802761211,0.1095155404475289,0.03630938877216418,0.0,0.013201717115120576,0.016835886852797792,0.0,0.028158169875761942,0.017057799993661072,0.0
