bin,ERR315856,ERR315859,ERR315860,ERR318618,ERR318619,ERR318620,ERR318621,ERR594315,ERR594329,ERR594352,ERR594375,ERR594405,ERR594408,ERR599073,ERR599092,ERR599094,ERR599153
MED-1153,523777.7159782594,354890.0613339042,344338.1285465431,1311909.3607856652,79480.65420701611,1341765.0856408211,84215.79936242623,202545.85967538063,1415700.6143091964,12544.305925830035,277.97664765652974,855.8022323062595,356.48282550578017,599703.6398690189,3032158.4809679184,1382642.9009378115,220939.31609270236
MED-1155,38501.31690444269,55854.134832904114,56272.25109289718,206547.20515807963,13458.410314332119,211644.3231154275,14411.78331149305,15223.436587411275,101093.0815750363,201374.1956384063,15972.158961933817,12812.903756799225,24992.533734851804,1084000.2432114591,5368091.329702838,169305.52024106367,28592.38609671525
MED-1190,133616.216397622,141665.90492842597,145862.9524981049,1592852.356963982,214103.66058472695,1384929.0318918487,215367.98000551286,9281.792139177607,48522.596341419,720.2394678521595,6096.444687639345,1181.6956825550205,91.36302797104503,44376.79739820249,214167.76812993872,49592.0598256367,8176.419833111285
MED-1223,11446465.95138228,374258.8505505492,363798.8727355983,180415.8601187219,15845.650582665472,190439.02758909066,15203.369569507568,678920.4129013754,4237501.72773911,47341.40634882506,88317.02803390523,42110.87514265502,283742.8476676425,172963.19376073402,859862.1026875727,1039382.0567517352,181495.50023962726
MED-1227,15568492.367919145,2596601.3789899396,2566681.037557213,195756.8849744598,19080.711619745038,185321.48552686634,19292.26770054612,6778836.400196024,40942473.698074564,355.98059333429234,644.1820846303264,66.85434782608691,899.7004117388153,799281.4026380414,3852258.792781479,11460509.783360666,1997968.3990203124
MED-1233,17897.515183362902,4545.813471328269,4167.459457160403,42128.86031735185,5746.593036811072,39323.53355706895,7095.7325029947315,10264.986783866192,61422.707788881045,164.18419525889408,315.47579092190296,108.7951672934976,123.33333333333334,11953.402876540235,56641.19113198829,12830.479552436576,1831.3471405635178
MED-1247,3340430.937781225,108824.03890707735,109494.29898269413,267594.50562439923,22165.147261281567,254238.68059100295,23257.001360801696,25943.86911225104,177128.91563284464,225.934043400527,67.5914705947989,317.28404600605904,330.0610776882319,208504.50614440537,1000233.741081476,79589.16079983179,13054.629180327742
MED-1261,128771.62484980561,289079.73464392073,286434.04772673943,34209.191830450356,2716.9963415491907,35018.05080167855,3985.1324992051204,725518.5691043669,4446647.354742396,0.0,149.49601781721069,22.916666666666668,201.35127327873812,68812.64375970526,346621.05067856744,638295.404049164,113516.89432469741
MED-1269,402946.74133657035,6531.146193413183,4964.204828978721,2799.582554925851,221.0040013369135,2922.808661711171,472.9042494564399,29036.678597963393,167681.3248670459,0.0,0.0,64.51233094669848,0.0,2278555.4883943005,10998469.086160753,59736.30685474483,11065.36095600662
MED-1270,72628.78352756014,24046.617508012478,21035.770965556854,28684.75561683752,3887.400820792282,27440.789737056282,4369.383397850552,32580.906428194572,193480.09446844523,285.60488995446747,134.65835092162655,33.006535947712415,149.32309368297763,941331.5907630702,4428025.691732979,274714.02926145593,52040.636501917084
MED-580,25618.74859488893,23048.50823587554,24173.215801050163,7368.219726722855,912.9128182195972,8152.496689707341,1122.187184153176,59694.8706318459,317098.4613377217,124.11393519647024,135766.82914932488,383.27381942904077,195670.73728712677,1294.979332706441,7896.891323585397,98427.85795942614,15284.35491317022
MED-581,99486.82702400326,60440.234056019995,56967.52577354651,1262569.8930025608,163804.1198148704,1147611.932360147,163008.75762981473,8714.233925123754,51316.94799827166,1310.9310029953049,3283.651789271076,6329.003936194394,6665.965935282176,2379591.803545734,11270194.86040637,343217.8204466512,58338.96427333907
MED-582,205478.13139963377,700201.5310068146,693251.0825858905,1333096.1898187965,103903.05135577115,1343798.6913652793,104708.11664814007,293280.1331605646,1776668.0545042793,26743.741506705257,205541.7720257119,61061.12107483144,393708.28964825434,844158.9538754834,4085484.1749814423,7709288.993413695,1352653.405341871
MED-584,115861.03058019589,858506.8802974843,858952.5656320989,3074159.5364687396,314273.7883645557,3002900.869850087,320559.360340689,17110.296467286757,88634.31107088314,233.7773429744367,183.9803383504873,225.63546270255793,355.47002276584635,1353022.1300977198,6555256.775673098,2536645.4222341958,463009.0082093191
MED-585,502561.7077894556,486009.63791193604,471324.5869128805,1229192.2151142461,79454.40526923935,1261796.4045184606,77233.87919646448,306713.28948695946,1930531.8129530256,2824.4928690160164,999.4931674351556,2248.397275160645,815.1471632906739,1210351.757259403,5983916.587575166,3719183.1167111048,648530.834417619
MED-586,3637462.1007849085,844050.3237923112,806146.8906302154,4882424.513235042,315175.56575331267,4966237.788348355,316283.2895726911,1660177.0590501993,10583492.767919505,73.81440298458097,279.2635656441412,664.8318048441963,729.0562666849098,3176291.1881166776,15817400.657332085,2966514.0870549614,522116.97231117974
MED-587,3366192.575428411,984879.1845693609,973834.8539610894,99788.14172430609,9326.073954114307,101332.05672200183,7820.429940712661,3581001.3423890076,19637752.379087303,480260.43509319494,432110.84420448745,221707.85214931614,590013.6306888583,4608671.304207057,21453269.49337894,4492176.5811669985,823036.5593948433
MED-588,236064.88666355715,17969.90192293172,17881.991624646813,20076.31935076367,1699.922347429983,21571.812262039446,1903.6215782188392,145457.38999001172,853328.9058349376,855763.0812491241,6743727.280317516,323500.09014173085,102859.97768080432,5515.832958213657,30077.530735180284,69457.05475251573,11720.833017246267
MED-589,78806.34650227272,220429.15344485495,213159.0721081822,1155817.2288122803,72954.27321452489,1187157.6416000149,78789.62343989845,34141.02098884055,243095.92469331564,124725.50165999336,124906.16986318861,171807.94947675802,242407.81542196128,2286118.0088123316,11282848.93818496,2006123.9316462448,339478.93344072474
