bin,ERR598949,ERR598974,ERR599028,ERR599082,ERR599145
ARS-1199,268.92586989409983,71774.46822388798,1928.0786686838126,1509.7103154591807,541.5099683866813
ARS-120,182.07350225740709,1555.3317711058364,1740.994906991059,2394.9778320897876,1615.5272344480384
ARS-1203,1181.8886006338162,28485.894778445934,1748.7381024318106,819.2099917559169,11256.256649828807
ARS-1215,912.2499341629785,2495091.2703261403,2488.5920997319354,4352.047739144891,2670.57363321157
ARS-123,154246.13956874365,123699.3066185539,632527.2279335959,787475.5152682706,8220882.621080632
ARS-125,800.6979434447301,14825.563206495397,3078.826978114005,4621.704044220327,3335.1852119560663
ARS-1279,195.42125693987575,690.2629741898769,1721.6939478003371,979.3894791503305,864.9570928984315
ARS-1297,642.5306574052292,1150.4519680093151,1848.2062327193591,4898.331485483201,7073.173557659348
ARS-13,28424.680121115955,2728.346151968748,8942.098129129701,193726.38692310711,106338.27221686115
ARS-1307,0.0,15284.379062755685,1467.973382310022,66.76491228070175,0.0
ARS-1330,65.51331633698294,82051.96460336295,462.858996876766,961.3844247074973,325.23289960242465
ARS-1358,133.46405333475747,57152.3265991664,289.6143790849673,601.866433551022,443.6368585870621
ARS-1360,13.627840909090882,24776.62978595664,5.32309660908506,56.207444225135376,0.0
ARS-1386,60.723349925127955,50856.60103102477,470.49274273276455,621.9230158568287,283.75160192673115
ARS-14,224749.86159067246,1578.8317737916873,7598.672172180203,1269984.4823868265,1652123.3501990582
ARS-1414,1299.9617063007684,16850.294872584782,13507.72344300959,9148.751184366869,4818.944529244056
ARS-1419,0.0,45211.437946208986,10.964743589743572,0.0,0.0
ARS-1426,298.1249928859612,2549372.801849957,896.9491361544287,1949.062936536871,1364.355521787217
ARS-1427,113.8477970627503,8984.390519097406,931.0756571383289,866.1600738949625,563.9127725856698
ARS-1434,3931.2026881522943,3918.443458747931,10153.733034174935,12486.951259095837,14960.670773029124
ARS-1441,413.0529193916481,41846.253526412394,10829.054862022482,4701.780554288005,2066.71180724891
ARS-15,2777.6179839646115,5685.8132890158495,5466.455570400181,12165.54980565493,6372.8147841688005
ARS-16,4144.558818789514,93621.9110172745,19398.244811287903,28156.609768051523,18264.086164862696
ARS-17,4339.705542799515,936024.1871575648,27341.105516898082,27230.891039395487,19591.034676980213
ARS-18,97355.9134087826,15840.065379361351,7973.039005708988,541204.0033803883,16431.21180391717
ARS-24,54027.466970281304,393580.16506752936,36698.147298765994,276563.7574314477,710423.3982584962
ARS-27,96.90664884145981,1355612.6530183316,2896.846021043163,1839.2542815054355,3939.8703190084025
ARS-28,743234.4817915868,7376.929199386741,34366.25680608975,4106305.8593480093,52030.15611762189
ARS-29,3833.325810901859,54079.47712599952,3221.3068285201384,1483.8218152844902,25064.258053280897
ARS-3,64988.15007448806,42791.39008869198,132629.08742328928,331906.43706722074,472330.18559880607
ARS-30,272043.9685319885,244531.0671819821,1233934.1271521116,1374806.9415206325,7173577.121968088
ARS-31,705.0806028813664,407424.6437098359,7172.668283604173,6000.558302574997,8244.317363724762
ARS-33,686.0994081273368,379.58761048972804,1197.2371316113845,4108.755849000164,3215.6996395676438
ARS-34,1087.6795661726985,779124.0194937895,12199.585320660106,6799.057130400479,6602.214379024282
ARS-38,24242.34090382114,14261.196961655676,72239.36179944176,125685.13207665629,165580.54109737952
ARS-4,491013.58323806024,67437.57047605331,351910.22492986877,2737236.6141086966,201361.0601455161
ARS-40,67190.07923428486,372243.68152351497,1923771.0806673074,359119.46244958194,1012844.8606837335
ARS-42,3810602.3411373654,418833.70059459284,2185825.6551028504,20201616.810404416,19652147.542212255
ARS-45,796.7649159794612,1180.026118069876,1974.2336615083007,3392.5812978102854,792.7823095425797
ARS-46,15552.991452971675,1017663.8537608983,6701.860207924701,91131.1490922087,23256.277085555692
ARS-49,0.0,49545.478540177864,0.0,180.26151029259995,0.0
ARS-5,55612.82578684694,27244.591956252174,25577.528949265623,300737.0914714857,72179.00910434373
ARS-51,1409.6886482569507,8791.405759758032,2514.09437819747,8956.364867336686,2300.393158736661
ARS-52,41.22651555086975,23262.231901497624,393.95849261032845,402.53507308308247,150.05518828046854
ARS-59,13915.258164473807,2170806.5121505246,11109226.619441329,73974.84569539284,75693.90485697977
ARS-60,127308.85211704139,1567300.6200890413,8596571.915079942,728945.0951945323,135180.3518463929
ARS-61,1628.3190190346518,143741.26990781268,4076.9667620088358,12532.723513662382,7658.95333422805
ARS-62,18398.722677568447,62667.245310373044,45002.414856773845,98126.77692018492,48546.37386402223
ARS-63,285.2677826955788,2499.2092614217504,1944.2053619560404,1836.3792793028178,2083.263091291989
ARS-65,273.19517687405323,303.811593361829,2499.283549022757,3365.303496593958,3612.1658433123303
ARS-66,266.01701340348234,2665.6990460261763,3329.0685251986606,4723.87198981363,2195.907735127965
ARS-67,160.94469516745963,462.76750243700917,1312.749267035168,1621.1859957714287,899.1279154966224
ARS-68,717.5217730525391,929.7428993250226,3991.2687143371463,7226.569153983482,5471.085694692421
ARS-7,78914.14232077375,32129.951773421235,15283.498058066843,423577.1500375159,80453.28916581385
ARS-70,0.0,747236.6516893149,183.34554515054327,312.87409163867494,75.56307959187563
ARS-71,145976.27592736133,38815.85785452821,188609.69107886366,774555.7173268335,7820815.406006995
ARS-73,0.0,7168.299957168461,0.0,0.0,0.0
ARS-74,0.0,2667.8854405940447,165.11851779598555,134.42495763243426,34.56698760842969
ARS-75,1556197.0333527543,2042731.1479937073,10709589.408598991,8250691.371126951,15932688.227391794
ARS-76,8293.98516601962,1419485.8698895532,7853845.1860574335,48140.86181064667,250828.49436044358
ARS-77,888663.6368479668,4714913.786680168,24240819.819131017,4546203.450406379,33312696.88243672
ARS-81,40173.73260434049,139167.6609786458,94129.6741640875,207028.05457909923,269076.2415246928
ARS-84,711315.787436344,3548489.184681209,18279798.838042118,3677745.4308316703,12596118.376943095
ARS-86,172139.88312779687,5690686.88227309,33309531.363535378,1014360.1189853025,683223.5960469145
ARS-90,2174.876474257514,2997.3543587433523,8526.600580359072,26560.056919849045,23674.773067001053
ARS-93,507.01231091689317,976.5391648550673,6216.088312248438,5809.583342678116,3518.4151636908846
ARS-95,3720.519916530796,2609570.6097586476,11559.846255834183,18449.996378271608,11687.687767161666
