bin,SRR3965592,SRR3965647,SRR3965676,SRR3965758,SRR3965809,SRR3965873,SRR3965874,SRR3965875,SRR3966130,SRR3967025,SRR3967319,SRR3967558,SRR3967690,SRR3967699,SRR3967700,SRR3968060,SRR3968061
SAT-121,0.0016315123127326413,0.0,0.0,0.0015643913850682287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
SAT-1308,0.0,0.0,0.0,0.0,0.0,0.00613422585699022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002741854464819624,0.0,0.0
SAT-1309,0.014104449963424668,0.0,0.014206237547504082,0.006320647102419224,0.008206660319578505,0.00432353745717813,0.010054414808397435,0.00811315307205935,0.008612922726788118,0.009509197042679603,0.013216761025566114,0.02166467499704059,0.008811634683258544,0.010279402178754407,0.008789790607262923,0.010068316393602767,0.021746779821665254
SAT-134,0.002612800834103084,0.0,0.0023520328741958615,0.014141095256731136,0.0,0.023309451816875115,0.009996354440199438,0.014612196572269235,0.025222286355599158,0.011429484844418901,0.0021211245772064344,0.0020734129539599607,0.0006859816567540246,0.0008150077960576547,0.0,0.0,0.0
SAT-141,0.016265050855834014,0.0050193131629784815,0.012594410913387904,0.010731146305329054,0.015850824555983363,0.013759398942395307,0.00934092095524713,0.01208954773961248,0.022420181293573895,0.027757770433147335,0.0,0.09845261935359459,0.130327583766059,0.1813343021905325,0.1901910939708909,0.08530207546209981,0.2501967284307727
SAT-1462,0.010019542560727247,0.005640142070044962,0.015563587178821945,0.006940638950953483,0.007155876972062836,0.007128268728516415,0.00376809865540079,0.005569641443068442,0.002269873663837156,0.004854531798940285,0.0059592934295324895,0.013182420440184141,0.006249670547870665,0.008446118924788323,0.00534994132357293,0.015721998906294842,0.03769383715983215
SAT-149,0.0,0.0,0.0007070687659865022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAT-1611,0.007493850920260262,0.005334619883578032,0.0019201891592455465,0.002474189968643159,0.012554316064382169,0.010677757857146477,0.003004703816927221,0.006623152601524136,0.005684196291487691,0.005257153142550037,0.004453032979248644,0.008015058423772864,0.0042437399561387305,0.0,0.0,0.007379805045344603,0.0
SAT-179,0.013112340801769064,0.19952463250442543,0.032287243810216554,0.06394372683985364,0.3873177547171795,0.04574894068086391,0.013782858038641236,0.0040889366740477625,0.07134763011354427,0.2089761370319441,0.038220428341653866,0.12726632662582082,0.04047641435747979,0.0,0.04360596718797763,0.017700277332998355,0.0
SAT-183,0.16480897890029975,0.04286371998654629,0.11716070247467715,0.02970762426672412,0.05618619281295345,0.00800263983330552,0.08110371584402817,0.07603087774824784,0.1422102110322436,0.10382582883277683,0.073455516729363,0.08077963565814363,0.11809374618976994,0.12335820671258617,0.1794342195470299,0.17536169943409546,0.14720310186665173
SAT-185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005394749778071955,0.0,0.0,0.00910569715586387,0.0,0.0,0.0
SAT-19,0.00446046363558648,0.002629859998140429,0.004692493569034459,0.004341202668387242,0.012258435082128774,0.007591049187625985,0.004341124809795552,0.0027919285213624263,0.02052834511449511,0.038576971536159445,0.008896452946295482,0.010973184799536687,0.007242568254302654,0.010254087994517526,0.01926818436814255,0.01451493481274727,0.161819317315656
SAT-194,0.00044050743884237284,0.0,0.001279011050367118,0.003886202974977248,0.03228557422554479,0.01289277135588218,0.00515482668769418,0.005226896483221068,0.0027829832406320643,0.0,0.0027549774236352172,0.005287985091854986,0.0,0.0011813996402918402,0.014575776250087396,0.0,0.0
SAT-195,0.0022146633507676376,0.0,0.0032027957910136327,0.0,0.0,0.0,0.0,0.0,0.0009770410878823645,0.002024473491018421,0.0008666836242320319,0.0029467200363112035,0.0010952489354722906,0.005274849364978961,0.001372403920452966,0.0,0.0
SAT-198,0.03443926337585206,0.04473811089283547,0.01110946430583846,0.05149456032554371,0.03706111321111539,0.02216601762284266,0.034507596739922826,0.018558918758013163,0.018737268861379677,0.05480188172320621,0.04482892178439177,0.08297491692752577,0.03543590737372637,0.1637584976941429,0.08522834190534061,0.20182735468653085,0.0
SAT-20,0.006959805691382019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0130421162359218,0.0,0.0,0.0,0.0019679689207814446,0.009807957386108079,0.010893273781813212,0.003870373769744814,0.0
SAT-217,0.24805304787957144,0.7223291007458686,0.4390132395532897,0.34170958849277033,0.3907785448038419,0.11930719372264534,0.0,0.08368462650018167,0.3288432354089033,0.4328606859704157,0.09109607257141583,0.1260397041789176,0.2669980519098497,0.24020269085855836,0.3092252632341419,0.31831621740435595,0.1426934891962392
SAT-22,0.0035582777669723874,0.0013899598206301247,9.983434077065468e-06,0.0018468057043418966,0.0032955716370882174,0.0013710035215760107,0.000389062491702491,0.0018575225971679276,0.0008949542615448438,0.0002587686918627104,0.0017550161927251617,0.0034682290376543477,0.0010867317164538761,0.0010616706631650093,0.0,0.0008819275150642234,0.0036050197455493463
SAT-230,0.5818437259110733,0.6588486439441146,0.5879840358356546,0.5667972626669953,0.6637797431862128,0.4434334025536281,0.5055595704785307,0.6070302050847621,0.5349324108171052,0.5924001285431234,0.2969873590481232,0.44089233654087034,0.5930088400037329,0.6115907099213864,0.3611345025350694,0.5216441129852142,0.324073547786082
SAT-31,0.007960578915948176,0.0,0.009562197823730238,0.029321109558758808,0.0733000538494777,0.039206900777421866,0.014215398403539766,0.020330336384106244,0.015731833696639563,0.043079239092940674,0.006404667135282239,0.03270245652006683,0.035212557805708214,0.09232492505459933,0.10737362949050942,0.04478570079511677,0.10610063640424752
SAT-35,0.0026887630726086112,0.0,0.0,0.0,0.037753999787587283,0.007996321978328688,0.0021237837137222525,0.0,0.00503754143495721,0.0,0.0,0.0,0.0,0.0,0.1302574679843023,0.0,0.0
SAT-37,0.013562607457167936,0.01141760636516402,0.004398782175437849,0.0024191620291617597,0.009450376315208993,0.007687311736831719,0.012736288448551686,0.007425748130141941,0.007181567921544958,0.01126195103780026,0.013204900482216017,0.015987280840016157,0.013383071976450226,0.03160638563410893,0.0,0.014377131562050657,0.0
SAT-4,0.0038696251325543085,0.030214263893189673,0.01319944245496955,0.026952380966057354,0.015707686277253843,0.02264501680020253,0.004908433688497894,0.03197534043866041,0.008419667031830308,0.0337499812370393,0.00404632090520452,0.014523916792184361,0.01811234768628073,0.015092355290034769,0.0,0.0023472466026450175,0.0
