gene_callers_id,pnps,ocean,depth,bin,defense_count,sample_id,signal_CAZyme_abun,scg_pnps_median,integron
138004,0.4150487543575207,ARS,SRF,ARS-84,,ERR599102,,,
138004,0.034081328368141865,ARS,SRF,ARS-84,13.0,ERR599143,-1.0,0.022020984207584783,
138004,0.09652353959685364,ARS,DCM,ARS-84,29.0,ERR599028,-1.0,0.03632459032791538,
138004,0.06562968137129152,ARS,DCM,ARS-84,25.0,ERR599145,-1.0,0.035850203776146075,
163354,0.05776504700464495,ARS,SRF,ARS-1009,,ERR599102,,,
163413,0.2462678435218455,ARS,SRF,ARS-1009,,ERR599102,,,
163413,0.1178126538879351,ARS,DCM,ARS-1009,29.0,ERR599028,0.022987638827018958,0.044530225032297636,
164011,0.08407540735127048,ARS,SRF,ARS-1009,,ERR599102,,,
164011,0.1178138210468911,ARS,DCM,ARS-1009,29.0,ERR599028,0.022987638827018958,0.044530225032297636,
164389,0.10684410558110856,ARS,SRF,ARS-1009,,ERR599102,,,
164389,0.2847918286696821,ARS,DCM,ARS-1009,29.0,ERR599028,0.022987638827018958,0.044530225032297636,
165013,0.006947816474912411,ARS,SRF,ARS-1009,,ERR599102,,,
165013,0.0,ARS,DCM,ARS-1009,29.0,ERR599028,0.022987638827018958,0.044530225032297636,
165169,0.3028799840788973,ARS,SRF,ARS-1009,,ERR599102,,,
165169,0.09850903731107416,ARS,DCM,ARS-1009,29.0,ERR599028,0.022987638827018958,0.044530225032297636,
165554,0.0,ARS,SRF,ARS-1009,,ERR599102,,,
165554,0.04344889763552567,ARS,DCM,ARS-1009,29.0,ERR599028,0.022987638827018958,0.044530225032297636,
165555,1.1053173840915207,ARS,SRF,ARS-1009,,ERR599102,,,
165555,0.29044059776080033,ARS,DCM,ARS-1009,29.0,ERR599028,0.022987638827018958,0.044530225032297636,
165580,0.036532553771634856,ARS,SRF,ARS-1009,,ERR599102,,,
165580,0.11577042852648164,ARS,DCM,ARS-1009,29.0,ERR599028,0.022987638827018958,0.044530225032297636,
174554,0.06626100690188222,ARS,SRF,ARS-1134,15.0,ERR599102,-1.0,0.02390762573316319,
174554,0.038383980182198726,ARS,DCM,ARS-1134,11.0,ERR599028,-1.0,0.04300840791682907,
174554,0.05269073889452788,ARS,DCM,ARS-1134,14.0,ERR599082,-1.0,0.03562165411894938,
174554,0.2392486067667202,ARS,DCM,ARS-1134,12.0,ERR599145,-1.0,0.0016280883005194836,
174614,0.0047650142972782035,ARS,SRF,ARS-1134,15.0,ERR599102,-1.0,0.02390762573316319,
174614,0.003869990250023381,ARS,DCM,ARS-1134,11.0,ERR599028,-1.0,0.04300840791682907,
174614,0.005618873000098542,ARS,DCM,ARS-1134,14.0,ERR599082,-1.0,0.03562165411894938,
174614,0.0,ARS,DCM,ARS-1134,12.0,ERR599145,-1.0,0.0016280883005194836,
174616,0.011834877522664643,ARS,SRF,ARS-1134,15.0,ERR599102,-1.0,0.02390762573316319,
174616,0.01949023550647757,ARS,DCM,ARS-1134,11.0,ERR599028,-1.0,0.04300840791682907,
174616,0.009098065581785086,ARS,DCM,ARS-1134,14.0,ERR599082,-1.0,0.03562165411894938,
174616,0.015973154490442964,ARS,DCM,ARS-1134,12.0,ERR599145,-1.0,0.0016280883005194836,
174657,0.07809397033571969,ARS,SRF,ARS-1134,15.0,ERR599102,-1.0,0.02390762573316319,
174657,0.04304361626332615,ARS,DCM,ARS-1134,11.0,ERR599028,-1.0,0.04300840791682907,
174657,0.06859031004688078,ARS,DCM,ARS-1134,14.0,ERR599082,-1.0,0.03562165411894938,
174657,0.0010155587366109814,ARS,DCM,ARS-1134,12.0,ERR599145,-1.0,0.0016280883005194836,
174790,0.2021199706054852,ARS,SRF,ARS-1134,15.0,ERR599102,-1.0,0.02390762573316319,
174790,0.23062539986103955,ARS,DCM,ARS-1134,11.0,ERR599028,-1.0,0.04300840791682907,
174790,0.24370124501195614,ARS,DCM,ARS-1134,14.0,ERR599082,-1.0,0.03562165411894938,
174790,0.3542608796011117,ARS,DCM,ARS-1134,12.0,ERR599145,-1.0,0.0016280883005194836,
174832,0.050332132923913364,ARS,SRF,ARS-1134,15.0,ERR599102,-1.0,0.02390762573316319,
174832,0.050445314065517104,ARS,SRF,ARS-1134,,ERR599158,,,
174832,0.07656401520546159,ARS,DCM,ARS-1134,11.0,ERR599028,-1.0,0.04300840791682907,
174832,0.04628549895339843,ARS,DCM,ARS-1134,14.0,ERR599082,-1.0,0.03562165411894938,
174832,0.07399929055104085,ARS,DCM,ARS-1134,12.0,ERR599145,-1.0,0.0016280883005194836,
174997,0.03299936755716135,ARS,SRF,ARS-1134,15.0,ERR599102,-1.0,0.02390762573316319,
174997,0.037404432050912935,ARS,DCM,ARS-1134,14.0,ERR599082,-1.0,0.03562165411894938,
174997,0.030125557980377707,ARS,DCM,ARS-1134,12.0,ERR599145,-1.0,0.0016280883005194836,
174998,0.10891704290439,ARS,SRF,ARS-1134,15.0,ERR599102,-1.0,0.02390762573316319,
174998,0.08775151199385049,ARS,DCM,ARS-1134,14.0,ERR599082,-1.0,0.03562165411894938,
175036,0.05733761026463505,ARS,SRF,ARS-1134,15.0,ERR599102,-1.0,0.02390762573316319,
175036,0.04941002474446262,ARS,DCM,ARS-1134,14.0,ERR599082,-1.0,0.03562165411894938,
175036,0.0,ARS,DCM,ARS-1134,12.0,ERR599145,-1.0,0.0016280883005194836,
175164,0.00835882382564293,ARS,SRF,ARS-1134,15.0,ERR599102,-1.0,0.02390762573316319,
175164,0.0,ARS,DCM,ARS-1134,11.0,ERR599028,-1.0,0.04300840791682907,
