bin,ERR598943,ERR598954,ERR598978,ERR598992,ERR599039,ERR599093,ERR599120
SP-23,15886.008313237859,48169.71887357994,56698.05006512233,61763.386957870774,114229.34350931713,716.4826481833617,286.41566157285666
SP-230,66492.52713333456,11429575.339559479,238233.83736317887,104812.81302940458,143735.65055069735,13109.743421956633,5829.262550648779
SP-232,447.7137758242089,5685.085318705337,1649.1207978613916,1886.42764387208,2383.409316048421,1074.7925887353053,573.284614787725
SP-234,5683.829799388103,19794.607900248022,18735.99357328463,60304.95599935711,64764.2282788521,536.556089618295,141.71073760348483
SP-236,12393.18905787777,69699.9578477364,32089.79028522061,74066.57571103326,87557.32427354807,24317.53253852113,15688.550844053956
SP-237,55643.402374956946,8658620.482706511,201829.21331405986,186768.3667268709,219922.29333310112,17176781.222069927,9466078.313074116
SP-238,367430.9489744768,260277.02289561418,1291181.720676743,256665.8892205657,824161.2859707024,135852.0143479856,77834.99003067962
SP-24,124.177247938709,2047.0143528764859,587.26180110639,1075.6063549226785,8132.468768813311,48.26397933007739,84.06974661016946
SP-240,21469.485005318696,27270.14816109349,77640.53215217576,80161.69407492816,2748394.514911988,4298.667805872242,1783.1151343551348
SP-241,6654.73514574493,23004.355434633417,23160.30362085689,110826.52992625764,20121.98583939601,904.9912290860381,377.26628446727443
SP-242,10123.746562722652,59906.04523342157,40327.50392953678,463958.65497836657,25130.37390209208,2072.937305784701,1417.7692925954677
SP-243,11735.475037985161,150966.79541648136,39698.4392788832,520938.99906729325,458095.9554983321,9814.812958914199,4508.300217873182
SP-244,56920.46390089971,230593.80294475908,181928.95921068717,1788687.5984591164,2178339.5333489766,1180360.2030364724,709614.0762686891
SP-245,113667.08326606077,2400714.999290074,380929.9339390997,6536833.154939664,7611599.698672597,1013737.3233617283,608816.7294120562
SP-246,18845.899563261344,6279482.740984708,63545.33214495199,185495.54898902256,543719.8403240374,725863.9161679434,436806.0052022399
SP-247,4925.676955132925,201472.0215222849,19298.558565722753,36059.42865913922,157312.60292939428,7435.449509412482,3568.1340031321915
SP-248,929.3175508139652,82448.95429381248,3642.170019343223,33742.21597959522,5010.16227516439,430.7664049285949,247.89540974981196
SP-249,58900.43550878109,1043036.6285548253,218839.32999735058,196901.97646086157,100706.30579630494,89250.20931170667,47401.819858728166
SP-250,10636.251662351047,7870.660003763882,37726.765875609766,10234.693889039265,58261.62899727013,1975.3774430213166,1101.7971715163835
SP-251,0.0,297.871001258692,96.87868063079327,3534922.5205932814,293.829688818054,124.99128078213519,37.25444461184976
SP-252,264.81345513132754,7065.03389290367,688.0780417835168,6481.509546576466,14183.709608659059,223.42121097498853,377.15675593572394
SP-253,6087.615654106979,63551.308018984346,24525.92528315686,64629.99906293604,18592.676514761344,21906.12626732032,13225.637170355747
SP-256,10518.333555279112,208646.97276051008,35603.8431510887,38571.432909476156,44617.908861373784,1915.1367026267744,1008.4904702342981
SP-257,1107.5696843373876,16867.576084130807,6034.388501399176,9452.032645700923,5443.82772956457,1360.4231945526712,666.2162805040269
SP-258,106.70377956433828,460.10527329195185,133.84769618386233,6174.093162805836,577.7020237916757,291.19997442748416,49.892793454659056
SP-259,25484.215321761425,408532.4947060934,85359.55360005166,130080.52758931756,646376.7706640863,723.6102363166548,607.6382769475936
SP-26,2998.5753663476453,16365.303884644698,12960.919594934136,4298.920860826725,12784.27757500848,6330.136929713216,3390.6301594036377
SP-260,8887.674793762179,69070.47870984576,34215.47767380177,29073.64077450781,24403.122835262053,1533.4340211610697,664.2283835547221
SP-262,0.0,1630.5499872247005,544.9142169876483,649.4431425872028,639.2067487694783,705.2997332785044,275.2818489736372
SP-263,416.12255616355907,3590.812237785668,2120.5815807932067,2283.889811770148,3331.3092747780556,999.8751885850054,480.8389169312514
SP-267,583.9577513942129,3033.9744886313256,1891.3842799667705,973.9865839345373,1459.9032762432212,1794.2090278291737,406.534829825141
SP-269,1980.586732944989,77976.14902671654,5688.065915406461,49218.15849848466,43290.301860082494,7467.290183091598,5007.977607208362
SP-27,160898.606146071,2971630.5153053305,606947.430581058,529957.031330786,457830.08076874225,6421944.166732904,3394186.5863238755
SP-272,264897.23723484395,34269.5229142827,926301.7300271067,45103.250856916806,606534.8418056082,13648.17692725763,8108.663669400369
SP-274,8884.362361813895,71380.01579860513,27887.31853309166,124368.18859032379,31297.939427778274,1039.0886312005327,323.95263474515895
SP-275,1207.4082912130216,8261.621086099402,3381.25267150301,13791.27617277084,2342.0185429721046,4343.351825523923,2648.3785725064445
SP-276,3469.8431430589035,366786.1828908861,11741.809182545716,38094.241878450404,56480.387182107996,5175.535865046272,2258.728883095021
SP-279,17247.39894216799,63127.20193036133,56849.4557394831,32064.447482051844,54698.15019211002,31384.146169533367,15965.218003956148
SP-28,6124.270645869519,118899.8871409009,21687.51052167047,61387.034879182764,64012.36487864195,20402.82733601358,11005.719141544605
SP-281,0.0,1210.7672687003474,47.57462368747417,78.65042979942686,921.6185114743992,64.43073637054121,0.0
SP-282,128805.03561163603,109032.2304719092,481623.8007336583,17675.996191907405,2835099.5652001253,19502.11012499005,10023.930738193476
SP-283,60898.20240412371,206182.7470813712,221628.62726924912,115090.98523638702,121426.34675176759,160465.95086147668,83943.59643266194
SP-284,0.0,76.77845841506547,28.934993153408513,67.34874386862285,52.247747541776796,10.641802641802615,256.2680753351258
SP-285,331.7123279646812,1051738.5851093184,1435.5469860184103,45992.40295730411,100505.93262117042,7673.221965706197,4792.577616337013
SP-288,12585.01099125919,414633.9661161752,45265.653983973636,262788.0830234651,264802.3019548714,219812.34383340372,133607.81342551002
SP-289,6665.655189230456,45778.78326351108,22470.16715580277,28489.02646697817,160263.69651037018,9053.352105230064,3341.367943706826
SP-29,17646.09823325246,1491584.683785371,64882.46443328598,332839.9329277332,85094.14680228702,4251610.271143013,2269940.3354546335
SP-291,506.0492743596189,75577.66124087686,1877.2256010072883,173124.00565865083,89694.76307228024,2187.9195376416596,1757.2506525004194
SP-292,917875.2990478409,3303020.1204131646,3272334.148863628,938052.631328972,34840.271590503595,3252009.3840853465,1778548.1780856908
SP-293,2693.7134232632907,6150643.615464805,10991.844137041908,28195.62760523537,21798.559562254788,3153445.4848918854,1754084.0044251757
SP-295,720.132905756363,6610.353564749797,2593.0271969778673,2471.5885542806827,5349.473447317672,2223.1116221608745,775.9955412271613
SP-2970,66.07290340637212,183915.5013062201,199.4962216624685,252150.09215100043,1331.5558230970346,295.3668076512517,19.62103634957462
SP-2972,626328.9855808768,1397719.5179435404,2341982.1391668217,4535357.569569479,4239603.531130533,5271.734109181275,2363.8629550751425
SP-2975,8050.819527437639,46929.77981870043,33723.39102599282,29993.958797298175,48296.37024801106,13617.18149069622,6249.849841382984
SP-2976,108820.31541987632,6124.556471432439,393747.644977188,22303.10993047511,708504.542449847,3121.471946013584,1372.121443025319
SP-2978,3338.4614891115157,38996.842372139414,11312.1033159146,21893.518018772338,18100.814587911824,8917.653861081115,4469.148492070308
