bin,ERR598960,ERR599021,ERR599031,ERR599034,ERR599062,ERR599109,ERR599112,ERR599164,ERR599167
IN-23,447568.10332793946,67743.2210949572,52416.36064816402,66746.9172169391,320502.8951470278,31564.818482934195,463256.6570624925,116130.34874859256,76731.76626760217
IN-25,2846087.4667048804,556483.2272922812,9602.158425207384,464282.3489091916,55339.854655630326,10828.85810554513,13497953.559283521,961601.8072439829,28031.844034701033
IN-27,35992.536889047486,9450.557716287058,12055.769588789399,6414.1444512984735,56765.82046650017,12405.631956890516,140592.49479942175,17620.64527017698,17590.434000634443
IN-28,43336.6137879548,7090.270701134166,3744.5035293312417,6937.936632389813,21310.318040276503,19525.288746680828,193514.7103567794,11772.308145588355,42239.90280007032
IN-29,74333.68991516843,19075.81859116667,7710.151828795584,12730.221635397429,41572.7955303659,42299.30279070019,73055.20133189065,34604.99711626575,90400.70037847327
IN-3,178990.36667250688,831.820247040886,38361.38302621863,25359.311714262563,219877.27527179517,100.7696211302347,92497.20515382086,1805.831732687467,576.3439336727484
IN-32,54541624.82198423,18758473.289165013,26087420.23692103,8368504.333516914,149768478.0562665,11754436.736553952,3450963.6826791842,31934743.672988147,26952164.788323298
IN-35,35240.35105428866,7612.800647471624,1880.351579699904,3935.5926562025084,13063.758631058807,4064.3869604052256,326821.3211091137,13690.596113444755,11872.395006178125
IN-37,89647.01424639513,15012.924995862886,785.9472129670396,13780.021520707538,4976.742062461477,954.5253767884076,605553.4890793373,28214.52398512368,3985.5488188826907
IN-40,486627.4293388332,38520.245539822274,3300.62850253111,76769.17356508857,19204.154283309555,13746.544355656308,16801.13128240106,61270.13318715646,28774.157101271
IN-42,12195.40327430861,2654.1210987043455,924.6608912515101,2057.851411358773,4699.097138105881,1970.6280544861645,1044028.1491214875,4370.520303710024,3433.6694433510474
IN-43,49967.33860903188,9356.103535537282,24150.63731627905,8359.037268198175,132205.94845302895,14323.070096305024,1062648.032612345,16068.049658009319,32587.10004289001
IN-47,152251.85170673707,13609.956531026299,39232.85594296548,24064.698202666183,231019.58925080087,81296.17975462489,224093.937293585,24227.08444906458,209639.49892567756
IN-48,5331.368185347546,335.04046621466034,462.8912935731184,759.8493161268333,1188.6981206350533,472.81014827617605,611315.4473605554,696.6288853275465,1689.5386265831746
IN-5,26907.0560783147,7983.846863796804,3560.5407773670886,4761.208010240752,16312.48649621147,1512.1807246087708,37897.40391456028,14536.309721134909,4457.5873665276995
IN-6,280428.7771505763,140433.37868942542,34651.99417968625,44011.582689139854,201683.47106649645,75163.81472482145,371435.6336165784,237837.66730321472,162311.8006359772
IN-7,21917.309879232107,2211.7181165071156,470.87607261974046,2874.8766747368045,2330.6646483852714,1019.6260072867177,54461.4012795862,2803.8793162105985,2774.3119062639066
IN-8,112359.67406193833,17597.162298305255,15964.314214437378,16539.253335405803,96559.2525380369,19266.21576554837,471864.1365669296,33177.5087906986,54103.64981320117
IN-9,637150.1940546934,130875.28973082747,16157.719014860255,106710.60479853346,96832.87902341476,263313.566656059,3386407.0419998616,221115.32279134187,560501.0694510401
IN-912,740995.4996337923,160747.32490762972,119703.02409085481,111845.2212685465,660588.0429297846,701805.8185083265,392426.6588750308,272482.4621835306,1566934.7220436903
IN-918,18111.03478270351,3474.314159533876,341.04037279092,2975.2577515559537,3262.6028526692985,444.1541949512235,43946.54579329153,6185.141524973659,931.746378718431
IN-919,40093.429714142905,6855.461024194411,425.47129954292626,6573.05224893503,3636.0214317535174,802.5853760397895,141482.0093373669,12740.492743644485,2266.386723738001
