bin,ERR598975,ERR599061,ERR599097,ERR599111
RS-389,262023.7359939381,2789788.127292762,15914593.890379973,1345287.9544158007
RS-391,7487694.743122603,3228810.2720356304,17496857.67239181,35231389.85769005
RS-392,7687181.666844056,3313323.0829344583,17977879.84557956,36603829.2501324
RS-394,3565712.352594528,180634.0396732296,946734.8925038811,16409373.72468745
RS-395,7943316.747233763,829655.5598229654,4216468.668637217,35826140.12220358
RS-397,2249275.591410524,409814.3836312605,2165891.7717047716,10268814.308051419
RS-398,9486314.943795202,1834482.7915649163,9784076.056257114,43810900.65848883
RS-401,1067.8991096405286,66068.64630256992,326205.3757331223,5214.461731027238
RS-402,2889.302252451917,6277.828709210284,29093.74756406408,9854.474151051334
RS-404,115168.60411961835,2060522.5790634714,10794503.471918734,537252.7558138666
RS-406,8193.74087321407,239015.61970239514,1340606.007594804,39844.041929745385
RS-408,190521.90161673442,107096.02431439211,631326.1051685483,1009541.2387632843
RS-412,147677.27691116542,3063087.11226767,17237715.6378268,766414.1417082472
RS-415,3364310.6940806126,23484.410778153262,115755.06914106067,15621310.115342237
RS-416,5595947.530501486,3584650.629130393,20534900.35554848,29075953.235111088
RS-419,156417.82614499336,2418610.5543460287,13744829.11933167,820409.2879424191
RS-420,276916.2438715517,1990900.4351053108,11233905.801850965,1470552.5777198924
RS-421,54186.73352319477,71946.44886878386,421660.62550034747,300900.97679656185
RS-422,44715.24451208486,1309386.459688235,7009937.670329004,209108.29119588938
RS-423,4079641.362326755,5729966.627064529,32109040.91743885,20354636.6606985
RS-426,1451046.4299282604,5599664.399829011,29499628.652847834,6577646.624547045
RS-428,9804.582740789201,230460.71256124217,1281293.6824026313,47888.09133273506
RS-431,8484.301621364431,29421.588464094475,167346.73465768684,37478.10673735111
RS-432,4403.574695901653,200940.90141495364,1128616.0930397126,15288.558408912446
RS-434,580603.6064341452,2737935.404770798,15637384.481393838,2999079.625210974
RS-435,2243679.817944656,4109071.437442055,22923340.785564978,11301780.692928916
RS-438,17682.784690673026,155050.38361693532,916943.1008905248,98986.38343171393
RS-439,4989.346887569878,4334.171256390487,27089.466098231183,20662.24600275534
RS-440,2886.5859771070673,11449.172584505,71558.16032188949,13579.447381790293
RS-447,1885977.312379352,49919.34756334027,274038.22208488267,8369886.444959936
RS-453,270117.9033897272,1126052.0695230504,6448289.280721216,1414943.055794448
RS-454,3209238.7819641093,1013155.2184117389,5372078.1446296815,14318990.065348918
RS-456,2343434.1167654186,2542578.341625604,13381540.653423414,10419465.463472385
RS-458,2029179.3294773935,9249816.587994924,49416412.09689321,9546242.9287474
RS-460,734104.2722815917,8416230.714421274,45168467.5888377,3567348.892179634
RS-464,2398756.9428568,381206.26440356683,2014684.0162999083,11183056.061167656
RS-465,1025385.7897642393,11025017.62680884,60805853.37821986,5115805.753817463
RS-467,6741.8996549478625,112892.10029923067,659124.8869825694,40557.92528643916
RS-472,15491.800510193858,610109.174116522,3503085.7784648845,86659.11063507762
RS-508,1437410.6927575755,2890275.0693355226,16696075.037069239,7620633.338923779
RS-535,1294022.2705403636,578438.1883241175,3265079.486129282,6534658.022933816
RS-604,7962.681375409561,55253.37688718915,307894.62517086347,40591.307322374676
RS-615,4666617.621762408,3589204.8172371355,19027064.46663429,21303860.01996416
RS-626,2771869.1964510023,6685120.3680431545,38084207.89008138,14465219.277356412
RS-648,3364328.2412187336,8532359.27977783,48343761.91089441,17463208.572540578
RS-652,4323255.279969237,1763547.0228370377,9679519.079646047,21059411.645779483
RS-654,1029665.0139582636,153098.0997296105,850045.8437004411,5043898.383452266
RS-665,378984.4196231744,3662787.0910717812,20311646.32981909,1872836.8860562823
RS-668,446659.5949506953,2178161.885762848,12293804.171337958,2358930.973410989
RS-678,11549.510422336001,42870.99164196052,241780.52136287634,61884.22302655353
RS-697,2723059.9409398707,2394239.3410878195,13196061.141514527,13199697.450352633
RS-797,329427.1203110191,2448335.594168317,12849378.99095757,1497586.1064909867
RS-814,10283901.797173442,2529873.35237251,14002669.393332865,50102816.06655545
RS-815,1546024.8590926256,2005405.471869561,11455066.557901824,8076982.010674971
RS-816,14837.11876691539,335012.70154527144,1907621.3818859137,87769.20941340271
RS-817,7566.634702276366,168593.61046674824,891811.6011004322,36089.91471959118
RS-819,3307786.4123115153,8682888.274181718,49577450.178293146,17517183.563889846
RS-820,6742506.894521625,4086332.4282471305,22922828.924780983,33741329.94532114
RS-821,3024716.817504159,5777100.702106913,30461009.74555111,13783918.114345921
RS-822,5253972.845561158,15905542.185807688,83878393.50775991,24212690.19061127
RS-826,1943549.036931962,32549.108015186503,174199.8173444665,9388809.544370595
