bin,SRR3961906,SRR3961935,SRR3961936,SRR3962293,SRR3962508,SRR3962771,SRR3965585,SRR3965586,SRR3967905,SRR3968062,SRR3968063,SRR3968770,SRR3968777
NP-1052,49.91922455573502,839.3144331745533,0.0,49.91922455573502,148.75928917609048,99.8384491114701,350.557819132473,411.65046693092523,299.5153473344103,0.0,0.0,747.4571890145397,0.0
NP-106,1717446.703634482,1037733.222886084,32834.349148287525,1249328.901048339,92008.45956334156,19341.70092121294,116186.21173366853,1339663.4541152865,83555.52919099413,1507889.8111980706,1227745.5177370769,65695.67477266476,1382394.977371765
NP-107,0.0,49.567901234567884,0.0,248.0392088846666,0.0,49.87373737373734,99.84025559105432,493.6405771262693,0.0,0.0,0.0,170.02626731048255,573.8188018016635
NP-1070,71236.6308977059,63733.824355297744,82205.3653663088,264271.86404339847,32476.49795558631,26706.623986244333,49727.44313145686,103178.25125383976,127133.5092945903,223883.82342280395,134817.77117566264,11301.248778952568,42444.50560076205
NP-109,199.04197470183513,196.1332596086715,387.55178200787935,99.52606635071089,199.50495049504948,199.6202927919588,387.74762752680135,0.0,299.4356659142212,0.0,0.0,159.21409801576795,145.32479613409845
NP-11,26292.04486693264,142423.24330503508,219064.88909244904,999385.8497764847,22930.22433880379,191635.39457087312,40827.59887070791,49952.286828555545,7404.851935036913,102249.95207505046,123255.2924303482,29413.459929856574,11106.623945416895
NP-110,15846.186833601143,15085.39758883207,739.0004765907054,21967.90865373651,196.19169960474304,416.4083255217272,897.1576907802422,5879.520335627325,368.07676991748474,14923.60607999975,10641.320219616608,433.1552288939942,18365.625818323515
NP-112,226659.97410793448,249430.59576890388,3927.9607725042656,203776.60494571883,11903.047939721291,3945.8139146063977,6225.663933590645,78126.48878430834,5301.862998943379,144484.25203022364,119681.73936010161,11024.503215629944,278591.3901852642
NP-113,19480.046727136378,17928.281780330777,8567.379343743914,18729.161934687545,18309.940310095993,10773.588519715504,7384.41921210496,3470.854928382122,13857.777757208774,16021.721166319836,10659.882549314048,19246.205792476787,14876.658574312823
NP-1160,1607.617984344624,1121.5347908784584,149.6557271557271,1246.0882903961488,129.1703401069999,49.925705794947966,751.796461158238,5420.802874482031,680.2291450818038,2947.8257911951564,2406.9216729147747,349.1151605767548,2407.258193459759
