bin,SRR3962680,SRR3962772,SRR3962773,SRR3962777,SRR3963449,SRR3963456
SP-125,35157.325041748605,45052.84472572586,108572.7054438773,28741.286096210308,46782.17570530041,20887.10846921306
SP-126,59445.72570298268,259132.262469833,184406.59699868626,358803.84857204993,65895.10425446091,230556.9497211611
SP-127,1364.5975539625567,1159.9239961756894,1756.517676480303,2082.3220792654884,4725.015671905157,2980.550539852452
SP-128,30640.37260672801,1772.9129532959382,13594.611854906278,1837.2937327290924,10247.955101719206,3217.01573510761
SP-13,2635.8780654403436,2831.4547733534555,28144.99279371785,2416.340771958196,12523.679859626656,4200.307530989093
SP-131,37563.77078495347,8370.22097331188,30864.474047136388,19500.32290574107,26424.77950785967,10479.963348732701
SP-133,4887.978423965881,17271.774216009802,16948.34907977994,20235.721217769456,8875.319285783415,18222.768915668534
SP-135,181.60262401616836,903.8791875633451,1179.801681328362,340.5719634901621,248.90559998215497,288.71488067933745
SP-136,0.0,0.0,214.2551825056625,390.12603019958993,248.41899145617148,99.60817272200703
SP-137,3037.078186640797,9461.24598687962,7936.931316133797,5013.77541180232,2282.7735865883787,5211.9732721403025
SP-138,910.2180163485988,964.7448635252587,4753.1629722935295,1404.0784443647026,3175.215583646359,1892.5013832100235
SP-14,399.29472180073054,597.8449345051866,498.8421476588135,866.7852703914991,987.3182427416995,498.65540838111957
SP-140,12755.685483882145,5731.3631852208355,38931.63421455831,9054.652243583476,22210.744976104696,7417.747420368901
SP-141,399.4076317388229,548.4956942544266,1492.1829274077354,698.553828098196,1043.0121150452376,997.8164055688833
SP-142,1914.0031798374305,8807.110648233234,592.4726032550819,183962.47807174083,2252.354131639518,68263.4872729653
SP-144,35166.81841259811,26478.935561518178,119550.29684727464,58001.013018702906,82281.23529870008,45716.287811753966
SP-145,1403.2934200478603,149.0217583600946,1931.4200216453617,3109.8361447492707,8481.114481516493,3043.4963313931758
SP-149,10765.979390958306,36804.87377142319,60835.6639083683,24992.13714884008,34532.967172249606,104585.01205699147
