bin,ERR598971,ERR598980,ERR599004,ERR599015,ERR599051,ERR599060,ERR599067,ERR599076,ERR599115,ERR599127,ERR599152,ERR599175
NP-138,1093472.192298128,566109.4177156199,3000969.1121427533,3080228.244377888,3049539.463964713,3033149.9525958807,225667.64481156474,3077358.00238965,433881.8779560104,3113010.3065952184,3131158.717002259,3044112.397714623
NP-1391,5292.60171855883,6613.34331128335,4884.166713881501,2321.2143258296,4725.632340438496,5282.006112740757,879.9546861204943,2314.6130370127476,35562.58203728297,2732.018535186273,2537.6451821573473,4891.565100510719
NP-1395,50452.4937359887,107543.36521078867,9491.385461601183,8819.038219627615,9636.65786218917,9319.47303972652,11001.615094275057,8982.91104798552,125084.20123317747,8293.495899431806,7595.167412343483,9196.02743104539
NP-140,834818.6041829868,2335389.9657372152,254738.19897821287,3564571.421045727,256025.64986726936,257094.07880285903,181220.41017691203,3599004.245921319,9476869.234857766,3606875.868593829,3572207.015757029,263890.8614029683
NP-142,609297.3162727868,569401.5299766667,41179.502971030124,94675.86550963877,40797.84503059713,41226.144960439786,109368.71469767598,94239.61471816081,6765959.746359027,93352.55321802876,94142.24176562522,41692.79163018618
NP-1444,8583.658328457635,6986.067476941344,1079.8884036544832,1192.2061306374749,821.9128087943689,1170.8811167465012,1318.1154788932781,1509.6078563953477,39882.548704105044,1468.7639710716633,1545.1331094663278,1109.480820342243
NP-1463,6793468.216154044,4650201.476474305,437309.5896098563,1094276.0242109539,431796.4873557499,429393.54362548253,1424791.9171001662,1099509.6487289045,901564.4211183771,1094155.6108478482,1092746.9417338974,433347.119268044
NP-1472,24075.57025485901,2000.9411584455784,941.9029603664579,2424.0992449673313,653.4840153137643,539.2130445822282,5533.042524104372,3468.1385697574688,1755.8190876073566,2517.8474665789986,2524.088807681431,414.876345507718
NP-15,14737226.768745273,8388370.121894323,1821972.8254383192,58872577.4252759,1820198.3876578256,1830719.9822013369,2901613.753899031,58900425.05036561,7216389.976429528,59035162.40625209,58928395.4249204,1813094.6542075153
NP-150,20152682.22545248,26068880.306204386,1951857.1915483098,2367205.9843126354,1979532.8025227627,1983708.7718155978,4119090.238254415,2375569.392732597,24408383.776335526,2388528.1366971065,2381037.068894542,1987423.4620196412
NP-151,5202518.705874218,13206599.925514197,1687267.9116351386,3311124.312328375,1699667.084727507,1709473.3049591107,1085242.6600214692,3311242.288075997,25725159.686424147,3311527.5359285413,3298090.4619494397,1717554.1319322605
NP-1521,42583.824001929635,31829.425372083293,4339.530506444649,14925.192321296689,4598.01066133261,4772.45790212212,8819.376824560426,16206.138626841008,34922.32939952862,16144.553933927049,17857.367642038265,5146.006765883673
NP-153,20762.425462746996,7036.1431879891925,99183.59567956347,59783.18667241642,96773.23303568875,104779.94668074424,3693.853329645062,52852.296554010834,4019.1958650538527,53097.37476517813,55561.33653696261,97705.36198251438
NP-156,6992101.184938102,12150412.35333688,1205090.5619167604,349183.1562241922,1204878.3274687887,1209724.494714494,1516974.303476281,347617.74083260004,11296444.307733925,354170.9248401974,353301.51534915104,1220047.045221044
NP-16,48800.21953414062,1114252.5319461746,522458.1234462787,66599.30945315033,525652.7001192643,529851.3072162889,8387.270935250217,63782.234930668645,11548071.901852924,60557.8938229203,59357.10674411043,514707.0198825429
NP-17,49822.24488502193,105025.01235840864,5316.108462140373,6630.450831334333,5952.243067681373,5875.898649509548,8791.273978952322,5327.944943333062,1419665.744621117,6636.741927135852,5534.136318887707,6619.714231141743
NP-18,17123.620514805993,17945.555232648443,1113.7019840209557,976.3865398095119,887.7462320537987,816.5218863273886,3627.8260092349374,865.7025488719536,221431.42567348186,1116.432599830946,586.0042353065917,1531.9560532884968
