bin,ERR598952,ERR598962,ERR598965,ERR599007,ERR599065,ERR599108,ERR599168,ERR599349
CPC-39,200846.1451425856,162775.4488422077,50204.452103107644,835772.2844111164,1043841.4226062853,383085.7270235122,232855.06342194197,18770.210865772486
CPC-40,33587.91228770602,46586.64283335595,771544.4258663629,244083.67289958757,186314.93479385076,70439.41306053867,56673.31241608515,31953.717486332393
CPC-41,362293.65721188387,48485.19595689041,39250.49499154283,283936.89220539195,1835726.6211536583,718797.2208669782,151573.39860509534,166794.1280089454
CPC-42,9173.60218883488,5953.944441371986,155105.19827565987,31176.169496433977,48445.045925776714,15153.332962364955,13808.921195417546,94003.36287448529
CPC-43,21823.567056150052,20242.75150674505,347783.59097605175,107402.73007297829,124912.6363376688,51879.66595062467,36984.646080787825,62568.69761912839
CPC-45,2263.2014509340893,29362.541423331244,24962375.388835933,156892.42332942336,11487.332842834921,4966.566505265873,52255.81355558318,80562.16483199366
CPC-46,54691.81852315792,16942.01577696866,50641.01320953078,92751.68319394751,291242.44458118244,105093.15484059477,35338.32984535832,5665.365042289334
CPC-47,29408.807989041383,95561.46711832873,766863.4992868106,487809.9656910766,147036.02690796758,53821.01964641469,115512.05109151022,1894913.121283703
CPC-48,1753349.3852550578,771752.2230302144,651241.9621654262,4072326.862865387,9015314.973597761,3460448.3697748515,1338486.3947075123,116595.07598005935
CPC-49,71637.57755472217,101520.10967676107,1945213.9764736693,573360.8743817157,384235.55593857326,146007.37386307778,274752.1792846387,110542.47748737184
CPC-5,66.94732704402507,33.567354965585025,21213.597673079435,457.4792253334109,240.9010758563863,100.81323045551295,114.41968412486837,13925435.438884245
CPC-50,73905.96107616143,3065665.1145878155,3573452.8269600617,17119398.669519246,384301.16635161283,145861.688652655,8986528.369116154,88440.02268177213
CPC-51,22653.510035332132,3996.8352600461167,6229.1329689558825,31466.06649071445,175644.45938910282,66628.78708425384,1017.2438768281514,260.4523874512182
CPC-52,6289512.141432054,211965.2168516291,92872.37974765904,1087875.3384401365,31744937.222163163,12305566.550062917,442976.068475009,1313.413492513106
CPC-53,4913.289799180449,10417.871052406443,653.0190715806638,65304.33260815582,31426.78183247551,13020.854394851149,35202.442373603815,39.85819296007973
CPC-54,3879.1128359134154,2387.278717428549,184464.84939388707,10511.260109964307,19853.901328744614,7795.324706606901,3256.436126290316,13042.949069218865
CPC-58,2605.7436598082622,32516.09723286938,17978571.866841137,185200.2711053414,15477.604773299938,5905.799477059718,74211.84965445808,429.5948943644016
CPC-59,950.4699825089286,3667.8869128872757,10056554.64331342,22652.735335112906,7401.963013534095,2127.784950023935,7663.353826096203,1026.289234634237
CPC-6,100.83161534865746,500.4250046975426,800547.8859174071,1772.8518579793945,914.20233005137,629.8402293673379,309.88629555927486,300633.226316966
CPC-61,25732.643121248617,38000.82752056547,219963.7570143063,219847.86428257078,144772.24619743196,56572.92124457768,113799.0803171652,10.647619047619022
CPC-62,8814.14552392637,8619.904395481772,11971903.388213525,43231.28540092075,52114.16857161886,17260.339301103093,14925.280005813574,486765.8858500853
CPC-64,444.70180161831706,883.7235994314909,2525960.098715665,6101.172600466586,2684.535377124469,731.973132128357,1828.81257708322,256.5015248879126
CPC-67,1197.6447673014468,9930.262711727262,82038.43254357998,50897.82625897987,3179.2861257050617,1329.6432447668747,24758.236159793923,8583204.437812597
CPC-69,3635.3952897129616,3912.4337986202922,34817.85617955878,16943.01862088912,20122.846518563463,7530.662013226519,5806.510948840618,1947516.8832863858
CPC-7,7787.090027000822,25993.747289892624,186443.3206565143,119732.24682206516,35687.05291443065,12688.338702454275,39308.77576680663,2028926.080741132
CPC-70,2473.376218127317,4026.6417133516666,168230.41986986744,22581.97625658118,18217.3236156238,6708.800013116319,12951.472402872541,559490.6011174407
