bin,ERR594313,ERR594325,ERR594395,ERR594404,ERR598943,ERR598978,ERR598994,ERR598997,ERR599064,ERR599118,ERR599144,ERR599353
CPC-21,160630.0793382994,161158.02064018592,35352.08461187853,32537.925353173487,24511.477942260615,86997.78445645495,2388.08176546387,141453.29547992835,1608731.6512157356,840802.3811823862,1922.2378714222373,5631.107888104221
CPC-23,748007.9556441659,664460.5361946204,27371.223644022997,29185.040249692316,1111729.4261784083,4047345.081951626,123325.86377506897,37863.064981797674,265090.2997120961,211523.51486464625,137204.29175728216,43037.512917858185
CPC-24,183726.71926344588,98284.587441197,9254.917254099268,10051.142693505357,10923.435774402808,42226.9600651442,10907.496336390559,8693.241704720112,2696836.50725319,47758.35760210282,10635.806289157636,1257.448589515136
CPC-25,5776.108739151958,15402.553100715115,10156.67814324678,9564.884015596135,4514.022786294481,15757.515593121416,3242.796940207112,3104.9426028501844,180948.12315122935,22302.951955910317,2898.1006010664673,24064.869855179095
CPC-27,328605.197923812,3667863.1826048484,208301.23421120353,212492.66069731797,11219.720756399052,43152.89499686704,681971.943252301,3314.213182333752,11698298.982636923,24459.438887625827,708122.9963784498,29105.62414951597
CPC-28,1211597.9419734846,2688401.221932931,159987.2164550221,152543.94359203454,3749.8902993966703,15527.641799854006,47588.210430324085,75415.85976135437,852844.8580847519,483642.8105450787,51835.1062504099,23224.369697348448
CPC-288,10119737.008033691,11636060.107038064,922.1027652481903,1488.8273595279732,851148.5431456495,3134118.497604786,953194.9768389221,38249.226161175466,32824934.943729494,276228.9319064972,957456.8420629788,696.6459087946989
CPC-289,463658.4010811547,86940.56623302933,33.84042798104348,0.0,577105.8649490365,2162580.546131611,31775.145049795774,123785.89813039628,18026315.462702364,828593.6383801642,30683.791982258197,604.5146499547949
CPC-29,71712.2974239578,99926.78292082137,1331.406948969343,1162.2665170158518,1832250.039208719,6702778.228405766,23369.230049482234,45612.05171425665,2199189.4210329293,206802.42110906486,22269.631147533964,1423.6027274697112
CPC-294,180055.54004168822,326479.0851293867,39947.20696792013,41040.870270486965,55563.7995937027,186495.4762792938,33042.77330141588,43064.723487840994,3597621.52699929,271399.96984488505,35430.633300735215,7120.945676682633
CPC-296,31903.398786387355,75331.76111227952,1142.5044649538977,854.4400496246069,181255.19228179235,698163.3389245365,31259.075293998285,505484.2068810417,256702.48039411337,3174236.8242249903,31139.58966523762,14609.210985807822
CPC-297,148852.28504550265,8395802.544878712,1616.6673476336614,1306.9717903748851,166973.81662934032,557607.2456659025,1432178.3481077251,6912.025559977264,2187563.1498753186,36142.838626343,1523680.3687562821,228.34651011998744
CPC-3,634.6817090485765,5973.291984931699,271.774729277169,283.757606369915,1715068.6113182732,5826526.391219958,2055.9007559082793,42611.85235141931,750.9304586633793,181140.2093715995,2122.140279858017,1305.9574803022995
CPC-30,54718.857366382486,47847.874160305684,27.930693069306926,0.0,3700979.7649349137,13587153.050815903,10224.08598232533,265732.56790194375,1497018.5264510505,1230403.0339963436,10972.935072123928,609.7016727975988
CPC-300,9644.915204799903,4829.378066622165,31.053571428571423,0.0,5487977.829000952,19903623.58325557,1111.1284161265069,13158703.792292517,71518.75875242475,80350842.45589559,1809.2563849202818,0.0
CPC-305,2371963.8884003246,6920462.679366004,13124.556804507092,12933.20644882172,44214.87480404659,170070.45509879146,712456.0021861068,12726.964708693311,9317919.320186084,89935.17669003016,712184.6751797992,10380.177138353585
CPC-309,14439.431696916743,15296.92764624086,262.4142842017056,304.87312585134197,867.6435061996903,5591.159282094004,2672.7920821840157,485.3059828852064,20427321.529921725,5533.189754619735,3859.7786918953493,660.1867890034838
CPC-31,17791.274410758047,16304.393885335403,97613.50862605948,96393.64521080346,13393.885625792342,38617.27555050631,3194.5081655995295,5341.776334931519,44026.01565996308,24101.556598427105,2849.9468132068846,65890.53455338416
CPC-310,871697.1292090644,1445449.4288376993,199.7689540283799,458.78321801099275,21696.95650277374,77511.06036836075,368546.2901109498,6290.975842061942,2368252.5117648058,36190.499954429535,364406.01302768977,116.55078853218686
CPC-316,104194.3910307303,732282.3327615119,2033.120745911648,2226.3807472641456,411634.3547866134,1457656.8947142141,151034.84805861482,170568.15531131753,7040088.856658235,1092481.465756596,155695.93730231607,705.0091428889252
CPC-319,892740.2576467822,2423400.8618811006,1836.6393411248675,1626.2145671388064,282875.370884207,1047361.2079974825,295719.1502629255,21712.41406874201,5324627.99233397,140431.48436663477,302008.6580886866,302.53707948215776
CPC-32,4486.1684489765585,10869.448905909005,7661.870134176968,6853.494140181635,5953.628458241937,18481.90865504538,1278.987765994013,5048.012044669055,49394.87708505025,37378.34817822114,1220.9559180270517,3459332.4805461424
CPC-320,5839503.960221913,128913557.51460195,6745.405334205568,6452.9342051063995,7789.620998766703,33469.79379613369,21784830.524785385,1687.2921159459386,8429754.573342009,13641.94080914676,22369824.541744664,1789.9801879469221
CPC-322,65589.11117102072,1011914.5203148455,464.1633079120042,528.734325028875,18355.137905700685,67791.48867183925,238420.56479957455,1344.6938104879857,1893064.8309356077,8922.488320439059,252191.6138812515,2502.5870837543866
CPC-323,604822.1257661349,18200451.32210881,2324.770207842387,2246.08471015781,1778876.1632652653,6419782.809389823,2679044.465035008,15185.556893578349,23676032.18846809,75436.7255705823,2732721.3375314013,9682.393890071487
CPC-324,765473.1430512411,10144905.661901357,92595.06851057847,88792.23224337886,848599.3080376561,3015095.756794538,3083695.0607933765,36737.317987572445,34100885.466928475,222187.02509366517,3178562.655510893,8464.856723325664
CPC-327,2185991.8231719155,4228335.968544446,12978.101981053349,12566.671247597737,80151.93829907457,296195.1816561251,245220.50635057205,65958.34501874883,10301809.735807186,227397.90975672507,249395.19328286592,3692.3998976041353
CPC-33,10308.762456567676,8649.867400546445,25484.589528423992,24361.162591781766,4504.183421939036,13330.732308206654,668.9629509861109,9516.45144826632,66398.17227971273,48612.85648437393,521.2647271303049,2443248.0423936136
CPC-34,44145.64529247154,95503.24591515806,1205942.596843368,1213389.841847806,66872.34125529755,245645.12537269748,15066.826637756723,13041.352332297965,83753.27648030026,78514.31673017892,14844.776512861126,8400747.977286544
CPC-38,4274.880899646482,29120.24557903015,12188.379813886306,12157.743637196116,245812.47305067512,846680.9509561316,6217.327241010688,426216.256933149,1357791.793428031,2592705.9669329626,6177.203934866567,4595.121158988978
CPC-39,167430.82295420914,58531.68211698504,112599.63098909063,112215.27273800196,46469.53637144685,161599.90752030312,28855.788604104757,104317.86104221504,2451500.352907397,554940.1360038645,29999.862610109296,11060.571616839949
CPC-40,92375.91446949884,192312.087939872,117300.21098808867,112024.6392282609,78143.96455642673,265482.8416271942,31732.824350800376,57686.85403798799,8263732.589891522,366345.5563629817,30556.154312466213,59952.55399192235
CPC-41,5929.299697460825,27976.797008790913,6045.320534856141,5725.980265796699,53676.12377842505,189708.81143083828,3013.9125231601442,481616.5255569458,32220460.51522697,2893381.71259239,2838.5167711833865,1149.4823497519164
CPC-42,10899.842716106668,23708.33099808872,35425.429375236956,34035.84291669163,13037.069533584676,43941.18898381691,2260.5028687177964,27746.096095751614,26631.240776292438,159114.9773908632,2481.6759376287923,195439.8212727141
CPC-43,541777.0489086959,579168.6982533316,5546099.763709025,5586488.639463816,13691.205542283767,47605.835798017215,57442.02969268934,176074.12273541684,3628264.095809638,1088459.6561634548,56401.00214540175,168193.64762724543
CPC-45,16785.626594757272,47430.68669771032,6188.570815011004,5492.653395429375,791.6270417435652,3561.147705010148,2580.158022876147,2205.2237615391064,4899617.007558333,15169.467028854882,2251.7613922429127,376701.5987787503
CPC-46,17766.255008955002,26285.48757646579,31185.462971443532,32970.64159522846,37548.48988576202,138046.49400607342,8540.98075517593,58196.31256956035,7801805.97168395,354297.06094696844,9461.006496108588,26957.541927053673
CPC-47,68005.52575267211,110822.82436409491,727610.1133141374,730456.8269406775,26264.769052551717,91032.2170095322,2345.0326590525146,36686.804139191045,1210714.230746649,208347.39229440267,3149.445001530445,708644.4907617731
CPC-48,440563.744880162,484842.5844582107,210642.83517751787,214860.18096394773,52975.5757827935,175497.22612492257,47856.09385399425,863110.646036286,15758357.687100703,4199844.489832761,53078.75190421904,217776.77212452292
CPC-49,730160.7628394766,765965.6320246595,253777.93277862444,246537.85311730992,78321.91844543614,299152.3744367787,67233.45995225171,109423.92447878861,2677587.890425382,697449.627172707,66509.44691661626,41024.109648548016
CPC-5,2335.152624501702,7789.5386619980145,5634874.003036906,5654666.034324528,501.5613213447888,2457.282548573269,501.0968637105194,41.32550946142649,17558.78538949321,557.1221661193423,300.74488564527735,3586198.1185482964
CPC-50,474617.54437831027,285857.2791338546,12099.76678133792,12258.711815480732,698476.1107728204,2548742.756905239,92992.30324755269,103304.11230417603,1518953.7740029234,655224.6687730893,97350.97599733039,9819.602227230573
CPC-51,1488.6413124203582,5121.450996932575,533.8036468380736,476.90341673326947,7294.651390594777,32687.958058247994,3315.6033940640805,15216.157825312906,7294.614391842305,89181.26264651968,2939.4613614263285,69.81929973438156
CPC-52,3190.487856478827,66388.32756484281,36.043463472345366,162.2087638955146,1867549.5360798922,6507813.765147395,14848.644827903472,5674881.157621851,93998.98776556505,31354786.759599872,16515.620190809143,2956.0246244890595
CPC-53,2451.6849391900278,9018.302904674625,33.582499999999975,0.0,3536.2147938734897,14412.4957534482,6265.9623990304635,19693.06062281,234.54360354263122,131639.1862682327,5987.178648392771,0.0
CPC-54,13023.055196506331,15698.686753676862,16091.199251091182,16614.388501613797,1606.3162240408396,2933.710344584089,1378.7926174201846,7675.903045623711,33536.32630439264,50758.26892888318,1284.6914038113675,6215.800313474748
