bin,ERR594291,ERR594324,ERR594382,ERR594385,ERR594389,ERR594414,ERR598972,ERR598982,ERR598990,ERR599018,ERR599023,ERR599025,ERR599026,ERR599107,ERR599110,ERR599362
EAC-13,34000.45366938742,47157.52711718228,5857.134027978209,10355.736304098902,4978.970290176825,5157.815510832056,23803.29005416301,3686.4299355785533,13498.039760970734,6728.813156204821,80794.61915922866,26046.95153723439,383013.1243364427,3759.7464630082764,34490.21355085861,6248.97899683237
EAC-16,4506.6265299214665,5025.672024587506,978271.7795232077,127638.25960999657,18928101.184939813,978150.9127027969,6277.251210052715,971.7658532066696,9983.623701164088,5491.470033292252,21554.969756450766,5784.238678275637,10762.858494170581,826.8127065112403,25336.31992337065,563550.9393419946
EAC-17,289070.3635571982,234909.1734123126,3316.347208374952,1186.9297990495552,5276.033888354156,2698.067132299283,68036.49662449163,196106.78003936802,878655.9975625409,384769.85176400037,182214.6532902643,63621.522157669046,236664.85296035837,193808.2635704151,2100140.8143366314,352.5268587141498
EAC-1768,588049.3099556739,297485.8553178423,57518.42705399642,19180.346736228712,9613.78768600025,54442.74008015065,1723018.2501054672,24901.002259898807,1460578.8284432099,638479.0269023936,4525642.356972221,1675397.4791880848,1515375.389386024,27276.634549787712,3502812.277276579,21187.75181464728
EAC-1785,705.3692612463866,33.58228905597324,11.307339449541272,0.0,275.8228905597326,20.614870509607332,3338.656575627077,13228.954745355682,11716.083703859826,5400.938241375112,10243.239001400849,2358.7426415760597,14040.12587972918,11852.232771060175,22448.443417448656,0.0
EAC-2,229963.10971348974,60964.217219416176,412841.0761910845,10207.02265328144,886093.2223887681,406632.13225404243,4032.4769424829137,58866.65127317238,810436.9386090981,371224.5915013027,14522.66776413159,3380.2060262503164,46440.24018624278,57638.65297500095,1926403.7994786229,72252.88969017417
EAC-20,10586.814754086863,4581.83623422715,1833492.5170663202,765409.4535150452,7392830.328814671,1803904.1773663007,31458.58473675318,14265.505971523742,53119.00306024638,23822.119865165543,96120.19702035878,30156.15426103836,112721.68174051426,14244.689492895566,129388.84535995999,2522380.069513815
EAC-2006,1026.263850334224,263.678762795586,133.78531390217623,33.307107264620996,841.3862800327017,197.18160297609,3072.15378186105,3692214.014198541,7184.847343565205,3271.499448072204,9670.157980382153,3512.1521675646923,20506.161413319784,3681148.7406393033,18883.92014280457,67.24283993422534
EAC-2011,169092.642523802,410761.7674628601,11.666666666666657,59.51773797678273,0.0,0.0,1048746.53112724,106709.82526812016,1386987.6060480075,589473.3206761262,2643787.138840482,1002357.8220466747,49675.8342337267,104050.37282346193,3323585.788734563,15.59311424100156
EAC-2021,4173.34158380404,4398.46965021592,43.27160493827154,0.0,10.179104477611938,34.73208722741432,5344.414377955977,7144.327603287845,10161.845964318281,6168.0553028419745,16981.78984504426,6766.0767540456845,19536.964668292683,7479.346396052486,24855.837831372442,13.315858453473085
EAC-2037,232.43835616438355,597.6986301369864,0.0,0.0,0.0,0.0,466.58209165781903,1916.8590891225629,11457.405770509306,5624.579968107795,2206.9113833385304,582.4179399783055,485.86700948202065,1742.3608260018323,21313.739216420112,0.0
EAC-21,828.5146115268918,2045.425859666447,417108.675609251,329.2991707484214,73154.66031583479,414034.05373023916,1028.2584573986571,360.66187690089515,1617.7126269787943,760.7510386945595,2506.8983984659894,1157.1994204812197,2620.4421306996837,297.3492867524823,3588.588884320022,2897236.734990324
EAC-24,490639.5463776095,24902.950161455003,899.9954436389514,0.0,90.41666666666666,484.6396931723143,1005037.7854806337,212682.92320142858,6120786.771998479,2698143.3663680293,2947274.780540822,982137.1536327993,1713489.2508891392,209125.14139160293,14624650.79904876,0.0
EAC-27,254361.48194951046,157299.86715177153,12990.798626434593,15340.68943239926,1480.8145836898404,13773.701456629986,1749362.5086174184,50973.81513395234,1270821.2281377774,555744.4011361226,4850139.74448556,1720166.8147381681,641271.1608931351,52708.65250021256,3022448.8847536305,5596.720453943766
EAC-29,34947.83990231822,46696.60358477568,240.7865116975978,124.27438676554469,205.16710912146388,121.55008207367202,427518.18190029927,13877.649367289952,94163.93736834568,42669.35668672423,1367271.8070680029,426800.2406844699,15247706.014918031,11455.525601661939,249763.2541177439,1067.7789014958316
EAC-3,1031852.6067560619,8441.898872724247,192260.64461767755,3183.5991525346917,83944.39624668748,188310.86165176574,1840.3690442187365,309925.056724534,3742892.971843254,1591539.8930972898,5624.345535543531,2356.316976277769,28735.211929906316,302178.33714132267,8829544.649319328,29096.690584422704
EAC-30,188398.08310435494,162242.4259338201,11423.774968726322,2385.0605238099693,1702.3602863512278,10288.060759499926,264893.29862997256,25621.86750030099,94575.00730364535,39962.40318404637,669980.3454561189,259668.18743106932,4276052.50779843,28064.60258724782,221060.68198014327,20026.220133506617
EAC-31,9590.141109859562,1316.0771391884039,5102831.132021449,1388527.9602474452,1691831.5704388674,5038930.003026973,482.95077171244805,1956.5590250984847,2877.619287493176,1149.562159861089,1271.2765729797452,329.4390796887765,547.8434326637938,2197.1924958098352,7985.3658200068785,4808839.229263065
EAC-32,7736.477875189736,50254.135221376266,256.808083613139,325.78953957199263,125.68267295337358,316.2080370105541,178743.2631440785,40228.220520466406,8262.798768061157,2489.5410027929383,460787.654187674,175452.04906073763,52270.99736307696,40181.13582658897,18663.34294143728,411.1064598350716
EAC-33,383829.5429672084,49220.36484659617,15602.987299681938,2261.983979553574,1268.8734764532512,16503.226088395837,114231.61788054636,107971.48108043757,378479.37577627826,151938.35582541302,282957.4763201081,111778.78231684223,246637.89104709585,99068.55568037099,883197.1830631403,4923.61937171729
EAC-34,507732.4397632191,799565.2197751862,22849.088458944934,20636.82911875592,5031.351495250435,23428.78054519417,3149263.1389174517,68896.55707659048,3088824.753083391,1317004.4638375284,8264894.339986934,3083057.484931744,38410.03291934965,69284.0627980409,7344868.503833956,366.3430637825149
EAC-35,665621.7169485764,93958.45299985539,1486.5257483998007,31.77304964539006,1936.9938625204584,1218.2000809515362,4871981.838347565,952966.4279630843,8676019.609996524,3789504.591309306,14298060.32139553,4794818.35761607,186375.79243376668,944279.4370522837,20685101.21876425,107.23404255319149
EAC-36,13505.67849959874,14945.07437843806,17739.65960253621,535.9734258850198,146890.6180042549,18803.925921248174,2498674.294307344,3050.5638405448035,15554.753768954879,6956.319681987483,10564216.791641682,2494106.1520021665,3168338.7589387074,3468.589742401486,37100.67809166326,35711.275881810754
EAC-37,1822793.3931777796,69392.05527140261,79509.94455296769,20999.18013205741,12305.99129575956,76204.33501929375,90339.34095219572,609540.1504411283,3384697.2392062196,1602827.3656330663,240829.48911077913,87060.57851141634,386634.5833102292,609696.4148046991,8061305.001767644,9039.074391108948
EAC-38,357681.7568321103,45854.21781795722,0.0,33.26417704011062,14.639804639804607,66.45967741935483,233013.07152621273,64322.452907110455,1138867.5145358036,491191.3035909255,580912.1295089764,232312.36437202917,173727.60870891472,65093.004434844624,2710495.9193252265,181.31722486737732
EAC-39,515196.6818514145,259411.2472698264,18247839.32869146,209667.678190182,1824407.2934700006,18034062.684505384,8828.423179493362,12282.334234153186,19589.487403137817,9398.657610127806,26851.45568090326,8819.620219225582,84255.78380826193,12593.226828741123,49865.0706129937,470552.97851029946
EAC-4,175069.16804097075,43155.05307495296,456016.67500637827,35271.41665961519,342370.81912546855,469911.43255107314,11224.025955223167,31500.788331689026,240430.933542456,97770.68006205843,27334.487640943677,10355.430141327875,65968.41569332422,29806.5432215221,575487.1041461718,211600.19369351523
EAC-41,29400.445347653524,134736.50636000588,5039172.133583475,416506.2485221784,7824457.099604172,4986609.572809269,4232867.087449232,5204.152913093587,66888.43789432415,32761.444361483274,18332266.765664116,4187126.3887526565,18832064.199466743,4819.4568540422015,160675.1187602598,518536.63417384773
EAC-42,7060.39209791639,1887.4714746787045,1565.5762510202267,845.4498804345385,9218.23504761678,1292.3259830849677,467.93278831049474,2131.493231074689,27784.93385510327,15126.296772318194,2789.4866531195444,518.6187463786313,2584.133410792412,1975.7352004844174,75466.99598783175,1027.4878214633557
EAC-43,565238.4322782242,286797.68779209757,11952447.1627185,269916.30575442803,562203.8270406672,11886803.063303377,8591.273238089823,21972.62946143049,6734.02797914682,3180.537698642288,26583.71477750588,7310.263082201367,72107.00314621607,20371.485923334705,15958.49628910801,386913.1832494146
EAC-44,57138.93464260942,66428.00997718604,5544202.949207785,6070268.409485429,11509506.694472987,5465000.931817163,60918.73602631585,17910.28966759217,98783.35653024948,44357.28874887877,203064.49226326094,56854.81685183994,285920.770107697,19245.077988545538,231471.5214225687,999718.094270664
EAC-45,702886.0234652084,35394.33523973579,15947497.284535395,311867.32549093844,543135.6688853421,15698517.160206411,1778.8859004483925,278012.2387742548,1691284.1161093684,733704.4791810595,5295.822457601126,2251.3396139442057,5892.981227969065,277578.1931613084,3983863.2614112706,256948.3968990377
