bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count,defense_pnps_median,defense_count,transposase_pnps_median,transposase_count,Trans_abun
NP-1052,ERR599052,SRF,0.1459685044595202,1179.0,0.16744277928992246,30.0,0.16095493242072034,23.0,,,0.0
NP-107,ERR599052,SRF,0.10040233244184213,165.0,0.008826610573709792,13.0,0.0,3.0,,,0.0
NP-1070,ERR598971,MES,0.10756994828950964,857.0,0.0809406822394648,34.0,0.1406320981491679,16.0,,,0.0
NP-1070,ERR598980,MES,0.11034650558495593,889.0,0.105047125150628,43.0,0.13264116562449751,20.0,,,0.0
NP-1070,ERR599115,MES,0.12672173501770592,1197.0,0.09873519611381013,55.0,0.1449402311995167,30.0,,,0.0
NP-11,SRR3962293,deep,0.04817690088907881,167.0,0.05437909213900976,44.0,0.08491502406329675,3.0,,,0.003682418822467
NP-112,ERR598980,MES,0.11013694190260725,656.0,0.13369542640714555,24.0,0.1642558247823224,9.0,,,0.0
NP-112,ERR599115,MES,0.11267944690166633,678.0,0.0873056623366058,21.0,0.13347692486680812,9.0,,,0.0
NP-1160,ERR598942,DCM,0.09923080020941692,161.0,0.070816815808908,7.0,0.2753141244049785,2.0,,,0.0
NP-1160,ERR598995,DCM,0.08132137821551003,158.0,0.10057118231614445,14.0,0.06711492918687254,2.0,,,0.0
NP-117,ERR598942,DCM,0.12737344971749895,836.0,0.047706142682623666,7.0,0.11820424408403801,14.0,,,0.0
NP-122,ERR598971,MES,0.1227333015482478,2093.0,0.06390923785213573,62.0,0.13431204178861306,41.0,,,0.0
NP-122,ERR598980,MES,0.12154546839072293,2039.0,0.10051741471864066,63.0,0.10211232540758552,41.0,,,0.0
NP-122,ERR598987,DCM,0.1347379594252459,1628.0,0.06687368446618386,37.0,0.1530036529977011,28.0,,,0.0
NP-122,ERR599004,MES,0.1317234300099001,1554.0,0.05920741562282241,33.0,0.14554235990887376,26.0,,,0.0
NP-122,ERR599015,MES,0.1311218262920471,1867.0,0.04447401134767183,41.0,0.13656997749074368,33.0,,,0.0
NP-122,ERR599051,MES,0.1294154638588394,1577.0,0.05810715664378248,32.0,0.16573823452636427,28.0,,,0.0
NP-122,ERR599060,MES,0.1270092636446544,1583.0,0.08129312037099444,31.0,0.15036056638023484,27.0,,,0.0
NP-122,ERR599067,MES,0.1151649457314872,1845.0,0.08024126008268623,52.0,0.10735081800047402,38.0,,,0.0
NP-122,ERR599070,DCM,0.13479911080463314,1641.0,0.09819517993322657,36.0,0.16831938574024968,29.0,,,0.0
NP-122,ERR599076,MES,0.1272822997237111,1882.0,0.05336806162230922,45.0,0.16655006477121698,33.0,,,0.0
NP-122,ERR599099,DCM,0.12797360319160628,1650.0,0.07400341906256326,38.0,0.15006432791936755,29.0,,,0.0
NP-122,ERR599115,MES,0.12499256491933486,2088.0,0.09699676789613314,63.0,0.12441525179054652,41.0,,,0.0
NP-122,ERR599127,MES,0.12906076091957214,1864.0,0.06897740885700215,43.0,0.13223608467536271,32.0,,,0.0
NP-122,ERR599147,DCM,0.13025221746076526,1638.0,0.07279595648980314,41.0,0.1622838486683203,28.0,,,0.0
NP-122,ERR599152,MES,0.13207927827588065,1878.0,0.0741307907579249,45.0,0.12336400854497492,35.0,,,0.0
NP-122,ERR599175,MES,0.12689196349800344,1585.0,0.06909738875809657,34.0,0.1612760550511726,28.0,,,0.0
NP-13,SRR3961935,deep,0.14545448508799877,1100.0,0.0901992782793292,21.0,0.1008928641782332,30.0,0.11446226623247938,2.0,0.0011450488361296476
NP-13,SRR3961936,deep,0.16173698800809988,2459.0,0.19091181851442776,37.0,0.13622601860468733,53.0,0.21425055643174246,4.0,0.0014646469159837017
NP-13,SRR3962293,deep,0.17950804909260473,2763.0,0.18573752899043489,46.0,0.15297115334649303,59.0,0.2797264765461908,7.0,0.0016978668944090305
NP-13,SRR3962771,deep,0.1710261065739319,2482.0,0.14119150422372706,37.0,0.1478510941270908,54.0,0.12970905889784867,3.0,0.0013980331248248266
NP-135,ERR598980,MES,0.0444469836536803,137.0,0.035454836115593066,6.0,0.2251278893950424,1.0,,,0.0
NP-1391,ERR599052,SRF,0.1731611539716944,1826.0,0.08863609641238948,36.0,0.20253887770340978,54.0,0.3260843534209746,1.0,0.000488130381935155
NP-1395,ERR598942,DCM,0.10602391089681362,570.0,0.0,7.0,0.07894495809321518,19.0,,,0.0
