bin,ERR594320,ERR594359,ERR594361,ERR594362,ERR594392,ERR598970,ERR598973,ERR598979,ERR599012,ERR599057,ERR599058,ERR599068,ERR599088,ERR599146,ERR599150,ERR599173,ERR599339,ERR599376,ERR594291,ERR594324,ERR594382,ERR594385,ERR594389,ERR594414,ERR598972,ERR598982,ERR598990,ERR599018,ERR599023,ERR599025,ERR599026,ERR599107,ERR599110,ERR599362
EAC-624,0.018566672551776266,0.022746258388390252,0.018957587298908868,0.0,0.0,0.020944297616783254,0.01972253852580423,0.02165013770465179,0.021113864811368586,0.022202531325506085,0.020821014793839732,0.02249256537414788,0.02025641710915586,0.020400249712160607,0.02161912763483567,0.02074257377145082,0.0,0.0,0.01872656103727908,0.011703832814805613,0.0,0.0,0.0,0.29760811257957315,0.022619112396094338,0.020931345057683754,0.020806221221536466,0.021538086485790704,0.022527225597427224,0.02202531947123993,0.02072467520454357,0.021233867597256435,0.02085250245134954,0.0
EAC-625,0.0,0.0,0.0,0.0,0.0,0.0,0.009625555711344705,0.014045384728287917,0.0,0.0,0.0007283687802010144,0.009833268267409564,0.0,0.006929852038645378,0.006178938697046654,0.009688440533913963,0.0,0.0,0.0,0.003269327186440608,0.0,0.0,0.0,0.0,0.011753280062408972,0.008620766426593674,0.006436843303262586,0.0,0.01150081854615135,0.02723602475144551,0.0,0.01006679565274619,0.002113779833844546,0.0
EAC-627,0.0,0.0,0.0,0.0,0.0,0.2711815042913752,0.0,0.1109223925061005,0.043196638022469015,0.1242036470739832,0.0945670825160635,0.06493459775234389,0.0,0.039386065290573334,0.15109907569766054,0.01911775219409769,0.0,0.0,0.5005066935232508,0.0,0.0,0.0,0.0,0.0,0.11386600815247218,0.13269829992561502,0.035486879816461835,0.026687366968575058,0.1614195694412985,0.21610093154427443,0.08145447234621954,0.04977503407859868,0.030663878067510305,0.0
EAC-63,0.04255005268695011,0.03823287772064904,0.03436830632514945,0.038106914271570466,0.029569847353487784,0.0653425945416741,0.0,0.0,0.020850630181638897,0.037083195765622474,0.05854918337915273,0.0,0.0,0.0,0.03830272817251948,0.0,0.03854831594590117,0.034563945228965005,0.02174813736997259,0.04780870459255227,0.03873143484631857,0.026599455156981755,0.0329118392261125,0.038027811243561735,0.0689122679253123,0.06684835711602967,0.033986416545868425,0.06469513429370682,0.053435487722634116,0.04773952961100652,0.05046986739870069,0.0,0.028956961335905754,0.021582306800907763
EAC-631,0.0,0.02050875828830059,0.017991891788131244,0.02100152933090075,0.012731072541009105,0.014393117887301795,0.0,0.012141352197261814,0.009212062105037309,0.0,0.022120800072909595,0.10884202481372109,0.0,0.0069514080680271656,0.00513503051173554,0.0,0.012493437184987431,0.03147370499507218,0.02107622085996746,0.033139384496050334,0.02592739374539489,0.05247058632721116,0.027708730953270786,0.024364230516748214,0.02291586740418584,0.08552568931632022,0.02761693944136689,0.008436624828960786,0.020126515120815803,0.016113948657951523,0.023774733052532585,0.0,0.026560755376495725,0.024837910612241384
EAC-632,0.0,0.026303382310374088,0.027872848337576354,0.025705050241665025,0.02594864068259985,0.0,0.0,0.013742468948134296,0.0,0.0,0.010123226781951909,0.0,0.0,0.010091583987588464,0.0,0.0021489129936474037,0.02675873997131117,0.027126539373819203,0.0,0.0,0.02675935249919236,0.04785005160828128,0.026678545878107474,0.026942701939203815,0.0,0.0,0.007331984673302415,0.0,0.0019548767519570217,0.0,0.011742690942909672,0.0,0.015417799429410812,0.016529608842135394
EAC-634,0.014386290936527858,0.018699063856724443,0.01538130984665736,0.021730748988245563,0.01366987198304095,0.0,0.0,0.040944578617942436,0.006433580941147949,0.00028020039688488415,0.006760796376946895,0.0,0.039960923972758904,0.0,0.011949598488099816,0.0,0.004235143587471315,0.00804963902829631,0.015342183516923374,0.02050076533933226,0.014661791644164944,0.020556916039552856,0.018204354679284312,0.014763396412073148,0.004422029843808349,0.024296018273704097,0.01866608213067381,0.020047705258479268,0.0039928821413168815,0.013745417644261954,0.011340862874065296,0.018642407113968234,0.01853139188372475,0.011590695314169305
EAC-64,0.0,0.0,0.018132907575897052,0.00620472604426863,0.009173327270077363,0.0,0.01925437042458599,0.005246732224119783,0.004259494595218255,0.004730139133862052,0.010781995073370052,0.0,0.005579391245085072,0.0009762242181925397,0.001241737195160758,0.013424472226817778,0.00838239492049744,0.009995350061847196,0.026989335512126275,0.0,0.01158184877667515,0.0,0.009761979817792426,0.011105609770145403,0.0022543281829370205,0.0,0.007034934369535892,0.02963252265634755,0.002464650389212537,0.004178894917631347,0.0051088397781212025,0.0,0.012675402471080408,0.008520876461907398
EAC-642,0.02569842015813235,0.0,0.0,0.0,0.0,0.02610680495824585,0.01077865262199101,0.024769545888539135,0.029662437089654926,0.031054247264695353,0.0302910438959136,0.008450047013833546,0.032619257307677396,0.029568616605350748,0.031295289373631206,0.013418658836553535,0.0,0.0,0.0164486428230199,0.04834019877855371,0.0,0.0,0.0,1.0,0.03176927310143492,0.030308064323185543,0.029247328442510025,0.025148835575460677,0.033749847627198376,0.028592072753896018,0.031032930923673985,0.025976471337777245,0.029125504808447188,0.0
EAC-645,0.0,0.01639460401421423,0.013291576713681561,0.02981116828350255,0.008750013349932462,0.0,0.0,0.0,0.0004878455014351297,0.023301368009967217,0.008131992637630338,0.0,0.0,0.005452015964737416,0.021532638876726327,0.013572147154564056,0.0,0.017776518842776364,0.028935018645974635,0.021957774057356633,0.028920055591427896,0.0,0.0063189682183489694,0.03172173668741041,0.0025491467802336927,0.03258715351659244,0.03422281674173382,0.03283246988290861,0.005562188624515109,0.0,0.009550278446758632,0.030013915420020538,0.03235779140346109,0.01688440952238005
