bin,ERR598966,ERR598970,ERR598979,ERR599057,ERR599088,ERR599102,ERR599143,ERR599146,ERR599150,ERR599158,ERR598949,ERR598972,ERR598974,ERR598990,ERR599018,ERR599023,ERR599025,ERR599026,ERR599028,ERR599082,ERR599110,ERR598960,ERR599021,ERR599031,ERR599034,ERR599062,ERR599109,ERR599112,ERR599164,ERR599167,SRR3963457,SRR3963458,SRR3963498,SRR3963571,SRR3963599,SRR3963622,SRR3963658,SRR3963804,SRR3963805,SRR3963982,SRR3964650
IN-16,0.002063576776819843,0.022159512802913946,0.03475203387094245,0.02299535556990915,0.022110086741791726,0.0012182404584049416,0.0024847458613632646,0.02801452894624996,0.044517494665156664,0.001697288343336563,0.009964253742363796,0.14526515602098428,0.003614532415161741,0.03340861484396424,0.03645181309107575,0.12690319717732387,0.13787723852537964,0.04247529765086109,0.0029411791020660994,0.008863654901115904,0.029370154846021075,0.023627944462021933,0.020069092984301942,0.12324145129933861,0.023285826939358607,0.12717491127828132,0.14484078666721706,0.025332750289047162,0.02352565862250752,0.1404045472042872,0.0840303566509351,0.09699580133212399,0.07974295899851548,0.07622975539045511,0.10430349745628023,0.0765736824558597,0.08602651195880016,0.0673353312500333,0.10536705731018656,0.07946854951386179,0.07748162936154482
IN-17,0.1426975997620643,0.07905069840480294,0.1654860623895556,0.20670845936293822,0.05126066926043751,0.0787569133779212,0.13229558533919614,0.20875146950579537,0.10807052939422382,0.06861188516242164,0.10484892371792223,0.126299712635512,0.14557852629721052,0.09709962930300088,0.08394687906861986,0.17807608138728948,0.10792463908314251,0.12610223177349134,0.11723592259258925,0.0761534611950471,0.12253878523562814,0.11545997420003795,0.15962479700214208,0.07726779106872005,0.12456800877865916,0.13167261827508683,0.0440108276701734,0.18663365033489068,0.14177976637192655,0.07291514111053671,0.10943341846545597,0.10187446253654256,0.05741972051780753,0.06880450310636611,0.07342598509411263,0.09331203168818858,0.05787527919944014,0.07093578235733722,0.04527159134389045,0.1197303613690149,0.09853301580665637
IN-18,0.12721611459914556,0.044411778223057106,0.08550840436254091,0.0477797812535999,0.012649185253975178,0.0382194692222304,0.13785282182245054,0.08003375089375488,0.06915406370976462,0.03376791408599541,0.03368980765994256,0.19464572744640665,0.08035730826458631,0.051227027521278466,0.041305057428593646,0.2257979021540805,0.14951564260095127,0.025186888136705207,0.10293395157572172,0.021378554938802787,0.07309456113322106,0.05490359339301224,0.05058911116128013,0.06145259973981414,0.032728001791242606,0.06148120383341373,0.04109230418260874,0.04531484082311149,0.05220468774332754,0.05791185092897089,0.04844738665802188,0.056149100842929525,0.014088753889861989,0.008447170758821784,0.014485888407219226,0.05272163614897601,0.057080045596649705,0.026882510302588796,0.028991160395241213,0.05825850690725359,0.03374218764579948
IN-19,0.018597968351503406,0.03396497354477351,0.021621169657311305,0.02367788656817206,0.028572349649804655,0.018946061461763187,0.018557112624046825,0.026033771713227835,0.034751711251169576,0.018666818641291206,0.022575558600829278,0.02348040897946937,0.013861262948140324,0.03030226333784694,0.0246055637782518,0.020163938732027667,0.016173801971235642,0.02408345380216595,0.017457165405294333,0.03148744936370087,0.027433659210445247,0.03534424701849652,0.04144342757963393,0.15285408745362672,0.025418764206967346,0.033837054611829835,0.04937962429569148,0.0444819814449489,0.04392040679731055,0.04788876775536939,0.04564663114367659,0.05359479459889999,0.05129460637452769,0.07026430654111397,0.058947248189668934,0.05903647113826324,0.05467405023354166,0.06218286616710867,0.06164580345434878,0.05270399937615125,0.05320960991463606
IN-2,0.0014981377783359307,0.02405268933551445,0.007419864912132776,0.050725398569240444,0.012227805740942142,0.00327427525169824,0.004371864139222184,0.0017327009159435033,0.013434449117256726,0.0021796498654260664,0.0029991841942377598,0.09017309972936192,0.006649484298895871,0.049392489616071115,0.06986653727339238,0.07253471767498822,0.05438321448823544,0.012140132226941923,0.006743495111279823,0.0035768148695507758,0.03889498728308194,0.09670818841094826,0.12710868180301488,0.036490648887548056,0.12875248876260362,0.06398250997892878,0.058310281834094015,0.09214257672882264,0.11864996465937207,0.06159018141876745,0.08254727031828092,0.11618245724189684,0.036061903606760544,0.05259880554852387,0.0686187179653888,0.061378574604412345,0.07309703901186874,0.01487345972119454,0.07221711721963435,0.09816840001811235,0.06025279479667275
IN-20,0.02702678227484665,0.028301301611477904,0.0015220778250244695,0.08753142072991255,0.028437274082693142,0.022839624251498238,0.024601373346939664,0.001974291800683425,0.02845149404167049,0.0239324377038204,0.06086410835563045,0.10584431220596509,0.05343893554776745,0.06921623498685339,0.06673961528211746,0.11257736413418619,0.12031721147379103,0.08279349852596117,0.018708622403380427,0.054643452288131604,0.06881633686692816,0.06955723344162057,0.07283579744859416,0.10817099979515112,0.06835055624220902,0.11551113368450248,0.11313471196143816,0.0644147236787641,0.07335514735691875,0.11770695898416032,0.06815243687689798,0.06537973740358603,0.06605688121190291,0.06878569423737263,0.06677178962016511,0.06750273084611945,0.06739223593815302,0.06944934423228136,0.07462835681047582,0.06864795592042505,0.0741087137239814
IN-21,0.15312828101986736,0.02020270390284559,0.09389229818319032,0.07764225807239859,0.01044728654328855,0.05126489144714274,0.15669900431793604,0.0946694786762347,0.06045216529369177,0.0806432345822327,0.01566601923963222,0.02620026029590479,0.07715335873236115,0.03823096454017007,0.02273649434647442,0.03152945900183386,0.03952210638830725,0.022119338653544682,0.13524226293236036,0.026684550073335412,0.028632905851973867,0.027025013160619886,0.022370323672292497,0.019047027089576115,0.02297698767375055,0.024868288418985352,0.04172528675763782,0.08840998309902515,0.02577028061698241,0.05141802172105446,0.0020500415057778487,0.03520673548619512,0.01965738069753108,0.018380922288015036,0.01454406124601441,0.002319391694015339,0.012358241674955073,0.0,0.0056713287324400095,0.001209413878181631,0.012815458163155474
IN-22,0.10174709391846427,0.12109217011005154,0.08916245865562142,0.10828424479090681,0.22171040936788317,0.12213645621196233,0.1097401489933498,0.16154971085331093,0.10114113356378937,0.07351954559016062,0.07223317135071654,0.12383934133051712,0.06892119949381867,0.27017178690165206,0.23232731274288676,0.12319957820615464,0.13399989389672237,0.13726392521638978,0.0791801365385809,0.11554663711843279,0.18630199410267811,0.2685375548499327,0.23756131108476908,0.18579064136495374,0.28801804600503844,0.19779767206350027,0.21055014390774313,0.17608928795512865,0.24333480520945983,0.20085142235706063,0.09107699432940958,0.09590670436944787,0.10594768342806962,0.08265359754598159,0.0909947617246036,0.09158953350861349,0.10227247980135394,0.06741848448898795,0.11461900688059799,0.10741869772399165,0.12520955251026117
IN-23,0.01620353343089328,0.009871310825530055,0.020049296588532644,0.013230771167965035,0.009838166857201215,0.018359420440037577,0.026144426460751997,0.017112548613475116,0.015994148698290443,0.02334149523458047,0.04409941107179791,0.01361330542573179,0.040670692225034485,0.02741071013190793,0.028899147346878776,0.012833058505174149,0.005865617748813437,0.02862597582749414,0.021602556102215273,0.028060359900651255,0.03721126629048093,0.029198004507148382,0.04494831824725502,0.04710997297023951,0.02848199295762991,0.05152524100810711,0.048301978674093464,0.06183980332108238,0.03752255715199667,0.04553977742337157,0.05047907748624351,0.05135973834812043,0.06716688672663959,0.0418061631063378,0.03702142029744808,0.021073259847896226,0.03686957325340075,0.01113471822166811,0.030313394745680913,0.029084647237484572,0.034717385035577385
IN-25,0.23857264679008341,0.23099720826548015,0.26000009657816586,0.3327869168012788,0.3253347506347719,0.26173411648620265,0.33665659565223627,0.25107922573421376,0.27414611315295534,0.24984105180305818,0.20096111892384075,0.39274277195946267,0.2374885570155017,0.17662651253037734,0.19010856557112688,0.24101705417586108,0.31184285023626823,0.2634836959932109,0.32626896102019637,0.25260816316209844,0.1849856893348683,0.16895719469734036,0.165703862830334,0.27873054297802585,0.16784806287711562,0.31296383910927134,0.3109516849476077,0.16280607891458068,0.1645713527910327,0.32099154377302613,0.2254226975221018,0.260752531899048,0.208545232881867,0.22631862734393793,0.22375516224329556,0.1809776625114059,0.20473354453857076,0.2980600676489282,0.22964564875277418,0.19778277685763332,0.20886347074918954
