bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count
NP-110,ERR599152,MES,0.07925344874222215,1.0,,
NP-112,ERR598971,MES,0.06711180090656683,8.0,0.0,1.0
NP-112,ERR598980,MES,0.11013694190260725,656.0,0.13369542640714555,24.0
NP-112,ERR598987,DCM,0.1052579942110918,10.0,,
NP-112,ERR598995,DCM,0.06959496127217944,3.0,,
NP-112,ERR599004,MES,0.1529422119121011,17.0,,
NP-112,ERR599015,MES,0.1131112877237283,196.0,0.17007207790902296,3.0
NP-112,ERR599051,MES,0.09428540914142518,27.0,,
NP-112,ERR599060,MES,0.10663978410837271,22.0,,
NP-112,ERR599070,DCM,0.11212818249191282,14.0,,
NP-112,ERR599076,MES,0.10334853165898936,186.0,0.5226914929042569,1.0
NP-112,ERR599099,DCM,0.06278340090247556,18.0,,
NP-112,ERR599115,MES,0.11267944690166633,678.0,0.0873056623366058,21.0
NP-112,ERR599127,MES,0.11061464690496932,181.0,0.17358808414069854,3.0
NP-112,ERR599147,DCM,0.1812745533437339,11.0,0.3692000985781829,1.0
NP-112,ERR599152,MES,0.10403758092161824,178.0,0.1659370327028295,3.0
NP-112,ERR599175,MES,0.11398719982302472,26.0,,
NP-113,ERR598971,MES,0.1528499875089559,19.0,0.188186255060216,1.0
NP-113,ERR598980,MES,0.06497175453412787,35.0,,
NP-113,ERR598987,DCM,0.16011980259677186,35.0,0.17925794454684155,1.0
NP-113,ERR599004,MES,0.10491224216519006,12.0,,
NP-113,ERR599015,MES,0.11992971601277792,20.0,0.11835603664832645,1.0
NP-113,ERR599051,MES,0.13572245374947234,13.0,,
NP-113,ERR599060,MES,0.10091987829693597,7.0,,
NP-113,ERR599067,MES,0.145627940162997,7.0,0.18246526164503987,1.0
NP-113,ERR599070,DCM,0.14326165468355606,37.0,0.17826051567615708,1.0
NP-113,ERR599076,MES,0.12409773341196434,20.0,0.15613242225889984,1.0
NP-113,ERR599087,DCM,0.007058977264363056,1.0,,
NP-113,ERR599099,DCM,0.13912872032134496,35.0,0.18459996540977175,1.0
NP-113,ERR599115,MES,0.08576553398615654,11.0,,
NP-113,ERR599127,MES,0.09987128851903421,20.0,0.14373789979868887,1.0
NP-113,ERR599147,DCM,0.15606285116037372,36.0,0.18389092751895256,1.0
NP-113,ERR599152,MES,0.13682831377102306,17.0,0.14152128628639912,1.0
NP-113,ERR599175,MES,0.1319127538825618,9.0,,
NP-1160,ERR598942,DCM,0.09923080020941692,161.0,0.070816815808908,7.0
NP-1160,ERR598971,MES,0.07501504244213081,9.0,0.05955089693225406,2.0
NP-1160,ERR598980,MES,0.05792104798084194,10.0,0.3350885696493912,1.0
NP-1160,ERR598987,DCM,0.6631312283125251,1.0,,
NP-1160,ERR598995,DCM,0.08132137821551003,158.0,0.10057118231614445,14.0
NP-1160,ERR599030,SRF,0.14999126668005106,1.0,,
NP-1160,ERR599052,SRF,0.10683704109506316,13.0,,
NP-1160,ERR599065,DCM,0.059211943154941674,1.0,,
NP-1160,ERR599087,DCM,0.0973211146718269,40.0,0.046004162074869605,3.0
NP-1160,ERR599115,MES,0.044132540730591883,5.0,,
NP-1160,ERR599118,SRF,0.01882636532024676,2.0,,
NP-1160,ERR599142,SRF,0.08158548455377494,1.0,,
NP-117,ERR598942,DCM,0.12737344971749895,836.0,0.047706142682623666,7.0
NP-117,ERR598971,MES,0.08454214520860097,56.0,,
NP-117,ERR598980,MES,0.10242131598244329,42.0,,
NP-117,ERR598987,DCM,0.02880562688774678,1.0,,
NP-117,ERR598989,SRF,0.3816024636320619,2.0,,
NP-117,ERR598995,DCM,0.12255532001281673,57.0,,
NP-117,ERR599004,MES,0.1553795469236664,1.0,,
NP-117,ERR599015,MES,0.035931558935361076,2.0,,
NP-117,ERR599030,SRF,0.24692476321389814,2.0,,
NP-117,ERR599052,SRF,0.08986444460311196,5.0,,
NP-117,ERR599065,DCM,0.2118846711404674,1.0,,
NP-117,ERR599067,MES,0.18354027793831887,5.0,,
NP-117,ERR599070,DCM,0.058342639309796086,1.0,,
NP-117,ERR599076,MES,0.10954911371750788,1.0,,
NP-117,ERR599087,DCM,0.20672369094216583,4.0,,
NP-117,ERR599099,DCM,0.0637203901526323,1.0,,
NP-117,ERR599115,MES,0.08761244761853768,61.0,,
NP-117,ERR599118,SRF,0.18904718409468627,3.0,,
NP-117,ERR599127,MES,0.11900299930589944,2.0,,
NP-117,ERR599142,SRF,0.1959194296178579,3.0,,
NP-117,ERR599147,DCM,0.09626360926724836,1.0,,
NP-119,ERR598942,DCM,1.5693028085476464,1.0,,
NP-119,ERR598980,MES,1.06529063187025,1.0,,
NP-119,ERR598989,SRF,3.388376658052549,1.0,,
NP-119,ERR598995,DCM,1.0406737954786218,1.0,,
NP-119,ERR599030,SRF,0.4969250081545095,95.0,,
NP-119,ERR599065,DCM,1.0065125425606272,1.0,,
NP-119,ERR599087,DCM,1.129595043899462,1.0,,
NP-119,ERR599115,MES,1.899048670071768,1.0,,
NP-119,ERR599118,SRF,1.1001565044667436,1.0,,
NP-119,ERR599142,SRF,2.2267384068313394,1.0,,
NP-12,ERR598971,MES,0.08426002350976736,16.0,,
