gene_caller_id,pnps,depth,gene_type
9513,0.37527218672918755,BAT,n
9515,0.19265403102309345,BAT,n
9591,0.19355951668753585,BAT,n
9622,0.3957343426358405,BAT,n
9933,0.5579048807245902,BAT,defense
9939,0.47660300807257755,BAT,n
10040,0.13162416414785855,BAT,n
10067,0.18912189672023252,BAT,n
10076,0.49467944049097257,BAT,n
10077,0.17831378934792755,BAT,defense
10385,1.0946121624221903,BAT,n
10613,0.5095383324268813,BAT,defense
10650,0.1543174567605621,BAT,n
10652,0.45329971538979663,BAT,defense
10955,3.0515938658586927,BAT,defense
10958,0.23064497357459135,BAT,n
11043,0.16706916452145407,BAT,defense
11137,0.05509399006800269,BAT,n
11153,0.0735248898629158,BAT,n
11479,1.046007583353358,BAT,n
11482,1.0623700288409212,BAT,n
11558,0.22345997519704086,BAT,transposase
11832,0.2822623705280511,BAT,defense
11936,0.7017359275602141,BAT,n
12258,0.05956137460819262,BAT,n
12317,0.08683298857104502,BAT,defense
12638,0.5849810531291205,BAT,n
12752,0.1664768234733361,BAT,n
13021,0.10235575515646259,BAT,biofilm
13187,0.07077612492606053,BAT,n
13307,0.21151671616729903,BAT,n
13443,0.22127838006016987,BAT,n
13828,0.29766981925468033,BAT,n
13983,0.035216377473351775,BAT,n
14027,0.21450262930559758,BAT,n
14137,0.32327380926781396,BAT,n
14248,0.08693682573194185,BAT,n
14296,0.4468394120124383,BAT,transposase
14307,0.05614408675920792,BAT,defense
14317,0.37654462580972153,BAT,n
14533,0.070158952377492,BAT,n
14716,0.10146107226166844,BAT,n
14807,0.1310548823029831,BAT,n
14811,0.13138966496098434,BAT,n
14880,0.1880310054614552,BAT,n
15056,0.13248356125532057,BAT,defense
15114,0.016205583914385598,BAT,n
15158,0.10650289621203134,BAT,n
15172,0.4559881730555184,BAT,n
15291,0.08895314146207908,BAT,defense
15361,4.779149743014562,BAT,defense
15411,0.42449272591744247,BAT,n
15418,0.0961543288586383,BAT,defense
15447,0.13396809046075472,BAT,n
15574,0.7892302432707055,BAT,n
15654,2.381992356381015,BAT,biofilm
15660,0.17649502320965368,BAT,n
15720,0.07887569073677815,BAT,n
15772,2.5822343968934747,BAT,defense
15773,1.2025792914195992,BAT,defense
15774,1.8362623509314855,BAT,defense
15878,1.7496549877322853,BAT,n
15889,3.5911401098901417,BAT,transposase
16033,0.7647868694268272,BAT,defense
16056,0.5524563940174718,BAT,n
16264,0.3925091182583998,BAT,n
16321,0.7375240076325706,BAT,n
16373,0.26187493978225157,BAT,n
16399,0.1266555343303118,BAT,n
16400,0.646360327757313,BAT,n
16534,0.4730578285101264,BAT,transposase
16556,0.568992800415921,BAT,n
16560,0.5297809292838515,BAT,n
16659,0.3347419689809578,BAT,n
16753,0.16983933484741284,BAT,defense
16990,0.19396257177226392,BAT,n
17000,0.18777446951128818,BAT,transposase
17005,0.33896056659484175,BAT,n
17093,0.18906353125857242,BAT,n
17096,0.20633951443232823,BAT,n
17232,0.6097725071219586,BAT,n
17393,5.848832240835137,BAT,defense
17394,5.279522685790427,BAT,defense
17400,0.5028865792740658,BAT,n
17488,0.0886141908289886,BAT,n
17632,0.19528106753119887,BAT,defense
17633,0.22564316703118337,BAT,defense
17658,0.07304533898304962,BAT,n
17696,0.14087963096302414,BAT,n
17726,0.3823981098948781,BAT,n
17778,0.37484589482667313,BAT,n
17921,1.6750605804884202,BAT,transposase
17985,0.5578926821388189,BAT,n
18117,0.5271138684866845,BAT,n
18122,0.08216510115323743,BAT,n
18144,0.17316121803286932,BAT,n
18180,0.19514779207062932,BAT,defense
18181,0.5613301987952453,BAT,defense
18189,0.46384242464052045,BAT,n
18307,0.16406662303941125,BAT,n
18348,1.3315210389342744,BAT,defense
18515,0.32637021254496185,BAT,n
18640,0.09522377281143446,BAT,n
18713,0.4012901344801091,BAT,n
18885,0.18712642151372802,BAT,n
19165,0.3351896367521292,BAT,defense
19166,1.7510259651852143,BAT,defense
19357,0.3228663740299068,BAT,n
19387,0.43083857596735387,BAT,defense
19574,0.17351687423730167,BAT,n
19582,0.11543058930220239,BAT,defense
19597,0.40485618076776836,BAT,n
19628,0.5209770449713327,BAT,n
19678,0.15065297927025642,BAT,defense
19827,0.32647300733851703,BAT,transposase
19866,0.08421953504445208,BAT,n
19899,0.13757766225882387,BAT,n
19943,0.4446473676504715,BAT,n
20186,0.2043129971602936,BAT,n
20282,0.6186085885045123,BAT,n
20315,0.49235089338015425,BAT,n
20323,0.10304985396257743,BAT,n
20519,0.8722402947573645,BAT,n
20721,0.8838991081055705,BAT,defense
20750,1.4390656119112075,BAT,n
20837,3.1167222323712105,BAT,defense
20845,0.32241621001656046,BAT,n
20873,0.8541867300670167,BAT,n
20921,2.8125751016975795,BAT,n
