sequence_id	class_fst_stage	class_snd_stage
c_000000014470	bacteria	n/a
c_000000014498	bacteria	n/a
c_000000014564	bacteria	n/a
c_000000014612	bacteria	n/a
c_000000014664	bacteria	n/a
c_000000014700	bacteria	n/a
c_000000014799	bacteria	n/a
c_000000014821	bacteria	n/a
c_000000014989	bacteria	n/a
c_000000014992	bacteria	n/a
c_000000015013	bacteria	n/a
c_000000015014	bacteria	n/a
c_000000015048	bacteria	n/a
c_000000015067	bacteria	n/a
c_000000015089	bacteria	n/a
c_000000015178	bacteria	n/a
c_000000015186	bacteria	n/a
c_000000015193	bacteria	n/a
c_000000015199	bacteria	n/a
c_000000015429	bacteria	n/a
c_000000015453	bacteria	n/a
c_000000015518	bacteria	n/a
c_000000015532	bacteria	n/a
c_000000015535	bacteria	n/a
c_000000015557	bacteria	n/a
c_000000015565	bacteria	n/a
c_000000015609	bacteria	n/a
c_000000015611	archaea	n/a
c_000000015617	bacteria	n/a
c_000000015660	bacteria	n/a
c_000000015690	bacteria	n/a
c_000000015922	bacteria	n/a
c_000000015924	bacteria	n/a
c_000000015948	prokarya	n/a
c_000000015956	bacteria	n/a
c_000000016026	archaea	n/a
c_000000016093	bacteria	n/a
c_000000016095	bacteria	n/a
c_000000016096	bacteria	n/a
c_000000016179	bacteria	n/a
c_000000016181	bacteria	n/a
c_000000016210	bacteria	n/a
c_000000016267	bacteria	n/a
c_000000016284	bacteria	n/a
c_000000016384	bacteria	n/a
c_000000016469	bacteria	n/a
c_000000016507	bacteria	n/a
c_000000016512	bacteria	n/a
c_000000016515	bacteria	n/a
c_000000016547	bacteria	n/a
c_000000016608	bacteria	n/a
c_000000016615	bacteria	n/a
c_000000016644	bacteria	n/a
c_000000016647	bacteria	n/a
c_000000016648	bacteria	n/a
c_000000016738	bacteria	n/a
c_000000016897	bacteria	n/a
c_000000016904	bacteria	n/a
c_000000016958	bacteria	n/a
c_000000016976	bacteria	n/a
c_000000017045	bacteria	n/a
c_000000017069	bacteria	n/a
c_000000017073	bacteria	n/a
c_000000017092	bacteria	n/a
c_000000017106	archaea	n/a
c_000000017119	archaea	n/a
c_000000017147	bacteria	n/a
c_000000017152	bacteria	n/a
c_000000017154	bacteria	n/a
c_000000017254	bacteria	n/a
c_000000017263	bacteria	n/a
c_000000017281	bacteria	n/a
c_000000017293	bacteria	n/a
c_000000017360	bacteria	n/a
c_000000017432	bacteria	n/a
c_000000017464	bacteria	n/a
c_000000017477	bacteria	n/a
c_000000017489	bacteria	n/a
c_000000017502	bacteria	n/a
c_000000017534	bacteria	n/a
c_000000017548	prokarya	n/a
c_000000017595	bacteria	n/a
c_000000017604	bacteria	n/a
c_000000017621	bacteria	n/a
c_000000017632	bacteria	n/a
c_000000017649	bacteria	n/a
c_000000017760	bacteria	n/a
c_000000017766	bacteria	n/a
c_000000017796	bacteria	n/a
c_000000017868	bacteria	n/a
c_000000017896	bacteria	n/a
c_000000017900	bacteria	n/a
c_000000017904	bacteria	n/a
c_000000017905	bacteria	n/a
c_000000017941	bacteria	n/a
c_000000018043	bacteria	n/a
