sequence_id	class_fst_stage	class_snd_stage
NODE_178_length_26403_cov_6.58399	archaea	n/a
NODE_179_length_26377_cov_75.6219	prokarya	n/a
NODE_180_length_26254_cov_8.31673	bacteria	n/a
NODE_181_length_26168_cov_22.46	bacteria	n/a
NODE_182_length_26154_cov_67.5971	bacteria	n/a
NODE_183_length_26055_cov_12.3055	bacteria	n/a
NODE_184_length_26043_cov_7.31634	bacteria	n/a
NODE_185_length_25932_cov_5.53866	archaea	n/a
NODE_186_length_25768_cov_6.21347	archaea	n/a
NODE_187_length_25742_cov_3.72434	bacteria	n/a
NODE_188_length_25626_cov_16.8049	prokarya	n/a
NODE_189_length_25459_cov_15.1652	bacteria	n/a
NODE_190_length_25394_cov_6.7861	bacteria	n/a
NODE_191_length_25391_cov_5.75628	bacteria	n/a
NODE_192_length_25386_cov_9.45537	bacteria	n/a
NODE_193_length_25201_cov_4.59501	unknown	n/a
NODE_194_length_25133_cov_6.97623	archaea	n/a
NODE_195_length_25125_cov_9.54922	bacteria	n/a
NODE_196_length_25069_cov_8.40797	bacteria	n/a
NODE_197_length_25018_cov_8.49778	archaea	n/a
NODE_198_length_24881_cov_11.6894	bacteria	n/a
NODE_199_length_24806_cov_18.3688	archaea	n/a
NODE_200_length_24518_cov_8.20864	unknown	n/a
NODE_201_length_24443_cov_27.1372	bacteria	n/a
NODE_202_length_24388_cov_31.3139	bacteria	n/a
NODE_203_length_24367_cov_9.21907	bacteria	n/a
NODE_204_length_24329_cov_10.0587	archaea	n/a
NODE_205_length_24301_cov_7.84835	bacteria	n/a
NODE_206_length_24273_cov_9.76625	bacteria	n/a
NODE_207_length_24203_cov_6.66473	archaea	n/a
NODE_208_length_24134_cov_8.63753	prokarya	n/a
NODE_209_length_24057_cov_16.6207	bacteria	n/a
NODE_210_length_23926_cov_13.9963	prokarya	n/a
NODE_211_length_23879_cov_4.8661	prokarya	n/a
NODE_212_length_23830_cov_41.4094	bacteria	n/a
NODE_213_length_23815_cov_14.4846	archaea	n/a
NODE_214_length_23796_cov_14.0634	prokarya	n/a
NODE_215_length_23704_cov_3.86308	bacteria	n/a
