sample,sum_bases,HQ_reads,Avg_read_len,read_counts,prop_reads_mapped_back_genes
TARA_B110001454,731196381.2,277553979,94,7778684.906,0.028025845
TARA_B110001469,1174455466,306718487,94,12494207.08,0.040735096
TARA_E500000075,487270696.1,134566031,93,5239469.85,0.038936051
TARA_E500000081,524496229.3,135522562,98,5352002.34,0.039491597
TARA_E500000178,1196422033,402302512,91,13147494.87,0.032680618
TARA_E500000331,1037786795,349127221,92,11280291.25,0.032309973
TARA_S200000501,1312910701,374072229,90,14587896.68,0.03899754
TARA_X000000368,1426263076,407529708,90,15847367.51,0.03888641
TARA_X000000950,1431345633,432720305,90,15903840.36,0.036753164
TARA_X000001036,1338178696,370409251,93,14389018.24,0.038846271
TARA_Y100000022,633510773.6,231266779,92,6885986.67,0.029775079
TARA_Y100000031,921200161.3,243015035,90,10235557.35,0.042119029
TARA_Y100000287,624521499.3,235650989,92,6788277.166,0.028806487
TARA_Y100000294,823572209.5,226744396,89,9253620.331,0.040810801
TARA_Y200000002,1205417718,363703213,91,13246348.55,0.036420763
