PANGAEA sample id,ENA_Run_ID,MetaG/MetaT,Station,Layer,Size_fraction
TARA_R110002073,ERR2762116|ERR2762117,MetaG,168,DCM,lt-0.22
TARA_R110002074,ERR2762118|ERR2762119,MetaG,168,MIX,lt-0.22
TARA_R110002072,ERR2762120|ERR2762121,MetaG,168,SRF,lt-0.22
TARA_R110002096,ERR2762122|ERR2762123,MetaG,173,DCM,lt-0.22
TARA_R110002095,ERR2762124|ERR2762125,MetaG,173,SRF,lt-0.22
TARA_R110002094,ERR2762126|ERR2762127,MetaG,175,MIX,lt-0.22
TARA_R110002110,ERR2762128|ERR2762129,MetaG,175,SRF,lt-0.22
TARA_R110002111,ERR2762130|ERR2762131,MetaG,175,MIX,lt-0.22
TARA_R110002124,ERR2762132|ERR2762133,MetaG,178,SRF,lt-0.22
TARA_R110000868,ERR2762134|ERR2762135,MetaG,180,SRF,lt-0.22
TARA_R110002126,ERR2762136|ERR2762137,MetaG,180,MIX,lt-0.22
TARA_R110000851,ERR2762138|ERR2762139,MetaG,188,DCM,lt-0.22
TARA_R110000850,ERR2762140|ERR2762141,MetaG,188,SRF,lt-0.22
TARA_R110000823,ERR2762142|ERR2762143,MetaG,189,DCM,lt-0.22
TARA_R110000824,ERR2762144|ERR2762145,MetaG,189,MES,lt-0.22
TARA_R110000822,ERR2762146|ERR2762147,MetaG,189,SRF,lt-0.22
TARA_R110000803,ERR2762148|ERR2762149,MetaG,191,SRF,lt-0.22
TARA_R110000796,ERR2762150|ERR2762151|ERR2762152,MetaG,193,SRF,lt-0.22
TARA_R110000787,ERR2762153|ERR2762154,MetaG,194,DCM,lt-0.22
TARA_R110000782,ERR2762155|ERR2762156,MetaG,194,SRF,lt-0.22
TARA_R110000772,ERR2762157|ERR2762158,MetaG,196,SRF,lt-0.22
TARA_R110000744,ERR2762159|ERR2762160|ERR2762161,MetaG,201,DCM,lt-0.22
TARA_R110000751,ERR2762162|ERR2762163,MetaG,201,MES,lt-0.22
TARA_R110000737,ERR2762164|ERR2762165|ERR2762166,MetaG,201,SRF,lt-0.22
TARA_R110000765,ERR2762167|ERR2762168,MetaG,205,MES,lt-0.22
TARA_R110000764,ERR2762169|ERR2762170,MetaG,205,SRF,lt-0.22
TARA_R110002167,ERR2762171|ERR2762172,MetaG,206,MES,lt-0.22
TARA_R110002153,ERR2762173|ERR2762174|ERR2762175,MetaG,206,SRF,lt-0.22
TARA_R110001632,ERR2762176|ERR2762177,MetaG,208,SRF,lt-0.22
