Tara Oceans ID,BioSamples ID,(ENA accession #),Station,Depth,Filter,Input_Reads,Assembl,Contigs,Mean Size (bp),N50 (bp),Accession Number (run),Related biomolecular data,Sample Code
TARA_N000001810,SAMEA2622461,ERS492330,TARA_111,SRF,0.8 - 2000,442M,21 %,831444,604bp,868bp,"ERR1719191,ERR1719236",http://www.ebi.ac.uk/ena/data/view/ERS492330,111SUR1GGZZ14
TARA_N000001812,SAMEA2622463,ERS492332,TARA_111,SRF,0.8 - 5,200M,10 %,386667,445bp,519bp,"ERR1711904,ERR1711985",http://www.ebi.ac.uk/ena/data/view/ERS492332,111SUR2GGMM14
TARA_N000001826,SAMEA2656988,ERS492349,TARA_111,SRF,180 - 2000,521M,51 %,899552,665bp,1065bp,"ERR1719447,ERR1719462",http://www.ebi.ac.uk/ena/data/view/ERS492349,111SUR1SSUU14
TARA_N000001823,SAMEA2657036,ERS492344,TARA_111,SRF,20 - 180,420M,42 %,748846,544bp,726bp,"ERR1711992,ERR1712241",http://www.ebi.ac.uk/ena/data/view/ERS492344,111SUR1QQSS14
TARA_N000001937,SAMEA2622660,ERS492650,TARA_122,SRF,0.8 - 2000,476M,26 %,905629,592bp,829bp,"ERR1719463,ERR1719159",http://www.ebi.ac.uk/ena/data/view/ERS492650,122SUR2GGZZ14
TARA_N000001938,SAMEA2622661,ERS492651,TARA_122,SRF,0.8 - 5,246M,33 %,1647613,387bp,430bp,"ERR1712182,ERR1712118,ERR1711869",http://www.ebi.ac.uk/ena/data/view/ERS492651,122SUR1GGMM14
TARA_N000001942,SAMEA2657010,ERS492658,TARA_122,SRF,180 - 2000,327M,23 %,414241,381bp,404bp,"ERR1712219,ERR1711929,ERR1711951",http://www.ebi.ac.uk/ena/data/view/ERS492658,122SUR1SSUU14
TARA_N000001941,SAMEA2657094,ERS492662,TARA_122,SRF,20 - 180,149M,1 %,51499,366bp,364bp,"ERR1712069,ERR1712197,ERR1711986",http://www.ebi.ac.uk/ena/data/view/ERS492662,122SUR1QQSS14
TARA_N000001943,SAMEA2657070,ERS492669,TARA_122,SRF,5 - 20,202M,19 %,867568,375bp,398bp,"ERR1712207,ERR1711933,ERR1711897",http://www.ebi.ac.uk/ena/data/view/ERS492669,122SUR1MMQQ14
TARA_N000001972,SAMEA2622719,ERS492742,TARA_123,SRF,0.8 - 2000,513M,31 %,1223547,596bp,834bp,"ERR1719393,ERR1719310",http://www.ebi.ac.uk/ena/data/view/ERS492742,123SUR1GGZZ14
TARA_N000001992,SAMEA2622717,ERS492740,TARA_123,SRF,0.8 - 5,341M,19 %,1070615,483bp,596bp,"ERR1719256,ERR1719298,ERR1719217",http://www.ebi.ac.uk/ena/data/view/ERS492740,123SUR3GGMM14
TARA_N000001998,SAMEA2657005,ERS492757,TARA_123,SRF,180 - 2000,82M,16 %,179452,607bp,822bp,"ERR1711914,ERR1711917",http://www.ebi.ac.uk/ena/data/view/ERS492757,123SUR3SSUU14
TARA_N000001996,SAMEA2656975,ERS492763,TARA_123,SRF,20 - 180,557M,34 %,1115908,537bp,721bp,"ERR1719297,ERR1719410,ERR1719307",http://www.ebi.ac.uk/ena/data/view/ERS492763,123SUR1QQSS14
TARA_N000001994,SAMEA2657109,ERS492751,TARA_123,SRF,5 - 20,439M,27 %,992533,436bp,514bp,"ERR1719437,ERR1719413,ERR1719343",http://www.ebi.ac.uk/ena/data/view/ERS492751,123SUR1MMQQ14
TARA_N000002036,SAMEA2622769,ERS492824,TARA_124,SRF,0.8 - 2000,489M,27 %,977860,418bp,482bp,"ERR1719448,ERR1719389,ERR1719194",http://www.ebi.ac.uk/ena/data/view/ERS492824,124SUR1GGZZ14
TARA_N000002037,SAMEA2622770,ERS492825,TARA_124,SRF,0.8 - 5,510M,33 %,1168044,574bp,801bp,"ERR1719301,ERR1719160,ERR1719214",http://www.ebi.ac.uk/ena/data/view/ERS492825,124SUR1GGMM14
TARA_N000002043,SAMEA2656986,ERS492846,TARA_124,SRF,180 - 2000,615M,53 %,652000,583bp,892bp,"ERR1719391,ERR1719175,ERR1719381,ERR1719365",http://www.ebi.ac.uk/ena/data/view/ERS492846,124SUR1SSUU14
TARA_N000002041,SAMEA2657085,ERS492852,TARA_124,SRF,20 - 180,309M,15 %,247725,508bp,636bp,"ERR1711949,ERR1712155",http://www.ebi.ac.uk/ena/data/view/ERS492852,124SUR1QQSS14
TARA_N000002039,SAMEA2622774,ERS492829,TARA_124,SRF,5 - 20,165M,27 %,60640,348bp,377bp,"ERR1711882,ERR1711999",http://www.ebi.ac.uk/ena/data/view/ERS492829,124SUR2MMQQ14
TARA_N000002017,SAMEA2622824,ERS492895,TARA_125,SRF,0.8 - 2000,477M,24 %,922498,405bp,465bp,"ERR1719404,ERR1719213,ERR1719459",http://www.ebi.ac.uk/ena/data/view/ERS492895,125SUR1GGZZ14
TARA_N000002019,SAMEA2622826,ERS492897,TARA_125,SRF,0.8 - 5,566M,33 %,1247355,551bp,759bp,"ERR1719395,ERR1719316,ERR1719207",http://www.ebi.ac.uk/ena/data/view/ERS492897,125SUR1GGMM14
TARA_N000002025,SAMEA2657071,ERS492904,TARA_125,SRF,180 - 2000,525M,46 %,707159,666bp,1107bp,"ERR1719295,ERR1719249,ERR1719385",http://www.ebi.ac.uk/ena/data/view/ERS492904,125SUR1SSUU14
TARA_N000002024,SAMEA2657032,ERS492909,TARA_125,SRF,20 - 180,407M,21 %,325991,481bp,595bp,"ERR1712102,ERR1711923",http://www.ebi.ac.uk/ena/data/view/ERS492909,125SUR1QQSS14
TARA_N000002021,SAMEA2656982,ERS492912,TARA_125,SRF,5 - 20,562M,32 %,1302983,499bp,660bp,"ERR1719356,ERR1719145,ERR1719293",http://www.ebi.ac.uk/ena/data/view/ERS492912,125SUR1MMQQ14
