Tara Oceans ID,BioSamples ID,(ENA accession #),Station,Depth,Filter,Input_Reads,Assembl,Contigs,Mean Size (bp),N50 (bp),Accession Number (run),Related biomolecular data,Sample Code
TARA_N000003035,SAMEA2623417,ERS493851,TARA_139,SRF,0.8 - 2000,390M,31 %,826994,609bp,866bp,"ERR1719455,ERR1719406",http://www.ebi.ac.uk/ena/data/view/ERS493851,139SUR1GGZZ14
TARA_N000003037,SAMEA2623419,ERS493853,TARA_139,SRF,0.8 - 5,390M,36 %,889181,623bp,909bp,"ERR1719185,ERR1719313",http://www.ebi.ac.uk/ena/data/view/ERS493853,139SUR1GGMM14
TARA_N000003043,SAMEA2732321,ERS493871,TARA_139,SRF,180 - 2000,372M,48 %,421105,658bp,998bp,"ERR1719304,ERR1719342",http://www.ebi.ac.uk/ena/data/view/ERS493871,139SUR1SSUU14
TARA_N000003039,SAMEA2732983,ERS493860,TARA_139,SRF,5 - 20,384M,48 %,820151,676bp,1104bp,"ERR1719282,ERR1719227",http://www.ebi.ac.uk/ena/data/view/ERS493860,139SUR1MMQQ14
TARA_N000003104,SAMEA2623504,ERS493997,TARA_142,DCM,0.8 - 5,362M,57 %,637103,633bp,939bp,"ERR1712230,ERR1711939",http://www.ebi.ac.uk/ena/data/view/ERS493997,142DCM2GGMM14
TARA_N000003098,SAMEA2730939,ERS493976,TARA_142,DCM,180 - 2000,389M,44 %,592292,621bp,926bp,ERR1719244,http://www.ebi.ac.uk/ena/data/view/ERS493976,142DCM1SSUU14
TARA_N000003100,SAMEA2730652,ERS493980,TARA_142,DCM,20 - 180,422M,46 %,638246,660bp,957bp,"ERR1712165,ERR1712038",http://www.ebi.ac.uk/ena/data/view/ERS493980,142DCM1QQSS14
TARA_N000003102,SAMEA2623506,ERS493999,TARA_142,DCM,5 - 20,370M,54 %,516243,606bp,843bp,"ERR1712029,ERR1712111",http://www.ebi.ac.uk/ena/data/view/ERS493999,142DCM1MMQQ14
TARA_N000003081,SAMEA2623477,ERS493952,TARA_142,SRF,0.8 - 2000,388M,21 %,695773,558bp,748bp,ERR1719326,http://www.ebi.ac.uk/ena/data/view/ERS493952,142SUR1GGZZ14
TARA_N000003083,SAMEA2623479,ERS493954,TARA_142,SRF,0.8 - 5,383M,27 %,920982,563bp,775bp,"ERR1719165,ERR1719487",http://www.ebi.ac.uk/ena/data/view/ERS493954,142SUR2GGMM14
TARA_N000003089,SAMEA2730918,ERS493965,TARA_142,SRF,180 - 2000,389M,52 %,559867,666bp,1060bp,ERR1719474,http://www.ebi.ac.uk/ena/data/view/ERS493965,142SUR1SSUU14
TARA_N000003087,SAMEA2730804,ERS493971,TARA_142,SRF,20 - 180,370M,30 %,337990,527bp,679bp,ERR1711994,http://www.ebi.ac.uk/ena/data/view/ERS493971,142SUR1QQSS14
TARA_N000003148,SAMEA2730839,ERS494070,TARA_143,DCM,180 - 2000,269M,43 %,519108,579bp,810bp,ERR1719309,http://www.ebi.ac.uk/ena/data/view/ERS494070,143DCM1SSUU14
TARA_N000003156,SAMEA2730834,ERS494060,TARA_143,DCM,20 - 180,429M,36 %,684080,619bp,897bp,ERR1719150,http://www.ebi.ac.uk/ena/data/view/ERS494060,143DCM1QQSS14
TARA_N000003146,SAMEA2730960,ERS494064,TARA_143,DCM,5 - 20,441M,25 %,818129,388bp,430bp,ERR1719229,http://www.ebi.ac.uk/ena/data/view/ERS494064,143DCM1MMQQ14
TARA_N000003141,SAMEA2730657,ERS494045,TARA_143,SRF,180 - 2000,385M,43 %,659715,655bp,981bp,ERR1719495,http://www.ebi.ac.uk/ena/data/view/ERS494045,143SUR2SSUU14
TARA_N000003153,SAMEA2730956,ERS494055,TARA_143,SRF,20 - 180,375M,37 %,705602,606bp,880bp,ERR1719192,http://www.ebi.ac.uk/ena/data/view/ERS494055,143SUR2QQSS14
TARA_N000003139,SAMEA2730950,ERS494049,TARA_143,SRF,5 - 20,410M,38 %,1177712,388bp,423bp,"ERR1712113,ERR1712099",http://www.ebi.ac.uk/ena/data/view/ERS494049,143SUR1MMQQ14
TARA_N000003175,SAMEA2623601,ERS494129,TARA_144,SRF,0.8 - 2000,333M,19 %,537809,602bp,835bp,ERR1719197,http://www.ebi.ac.uk/ena/data/view/ERS494129,144SUR1GGZZ14
TARA_N000003179,SAMEA2623603,ERS494131,TARA_144,SRF,0.8 - 5,232M,37 %,40213,412bp,493bp,"ERR1712089,ERR1712041",http://www.ebi.ac.uk/ena/data/view/ERS494131,144SUR1GGMM14
TARA_N000003191,SAMEA2730691,ERS494147,TARA_144,SRF,180 - 2000,244M,40 %,503789,609bp,876bp,ERR1719402,http://www.ebi.ac.uk/ena/data/view/ERS494147,144SUR1SSUU14
TARA_N000003187,SAMEA2730686,ERS494142,TARA_144,SRF,20 - 180,325M,22 %,513648,437bp,526bp,ERR1712218,http://www.ebi.ac.uk/ena/data/view/ERS494142,144SUR1QQSS14
TARA_N000003183,SAMEA2731011,ERS494136,TARA_144,SRF,5 - 20,308M,46 %,458716,505bp,647bp,ERR1711915,http://www.ebi.ac.uk/ena/data/view/ERS494136,144SUR2MMQQ14
TARA_N000003215,SAMEA2623639,ERS494182,TARA_145,SRF,0.8 - 2000,442M,24 %,926748,582bp,793bp,ERR1719183,http://www.ebi.ac.uk/ena/data/view/ERS494182,145SUR1GGZZ14
TARA_N000003219,SAMEA2623641,ERS494184,TARA_145,SRF,0.8 - 5,324M,27 %,712774,630bp,909bp,ERR1719199,http://www.ebi.ac.uk/ena/data/view/ERS494184,145SUR1GGMM14
TARA_N000003231,SAMEA2731031,ERS494191,TARA_145,SRF,180 - 2000,436M,66 %,742980,702bp,1106bp,ERR1719397,http://www.ebi.ac.uk/ena/data/view/ERS494191,145SUR1SSUU14
TARA_N000003227,SAMEA2731035,ERS494195,TARA_145,SRF,20 - 180,327M,36 %,517338,557bp,769bp,ERR1712051,http://www.ebi.ac.uk/ena/data/view/ERS494195,145SUR1QQSS14
TARA_N000003223,SAMEA2730594,ERS494199,TARA_145,SRF,5 - 20,375M,34 %,814285,530bp,706bp,ERR1719203,http://www.ebi.ac.uk/ena/data/view/ERS494199,145SUR1MMQQ14
TARA_N000003253,SAMEA2623685,ERS494248,TARA_146,SRF,0.8 - 5,340M,29 %,685172,649bp,965bp,ERR1719409,http://www.ebi.ac.uk/ena/data/view/ERS494248,146SUR1GGMM14
TARA_N000003240,SAMEA2730869,ERS494255,TARA_146,SRF,180 - 2000,412M,55 %,740194,683bp,1068bp,"ERR1719425,ERR1719233",http://www.ebi.ac.uk/ena/data/view/ERS494255,146SUR2SSUU14
TARA_N000003246,SAMEA2730873,ERS494259,TARA_146,SRF,20 - 180,375M,36 %,719109,584bp,797bp,ERR1719273,http://www.ebi.ac.uk/ena/data/view/ERS494259,146SUR1QQSS14
TARA_N000003257,SAMEA2730877,ERS494263,TARA_146,SRF,5 - 20,298M,39 %,691087,498bp,613bp,ERR1712228,http://www.ebi.ac.uk/ena/data/view/ERS494263,146SUR1MMQQ14
TARA_N000002101,SAMEA2623721,ERS494302,TARA_147,SRF,0.8 - 2000,347M,27 %,632216,705bp,1093bp,"ERR1719366,ERR1719163",http://www.ebi.ac.uk/ena/data/view/ERS494302,147SUR1GGZZ14
TARA_N000002103,SAMEA2623723,ERS494304,TARA_147,SRF,0.8 - 5,347M,25 %,604179,633bp,933bp,"ERR1719514,ERR1719478",http://www.ebi.ac.uk/ena/data/view/ERS494304,147SUR1GGMM14
TARA_N000002109,SAMEA2731996,ERS494313,TARA_147,SRF,180 - 2000,380M,53 %,936158,741bp,1147bp,"ERR1719177,ERR1719280",http://www.ebi.ac.uk/ena/data/view/ERS494313,147SUR1SSUU14
TARA_N000002107,SAMEA2732044,ERS494317,TARA_147,SRF,20 - 180,401M,41 %,748588,653bp,979bp,"ERR1719338,ERR1719266",http://www.ebi.ac.uk/ena/data/view/ERS494317,147SUR1QQSS14
TARA_N000002105,SAMEA2732077,ERS494322,TARA_147,SRF,5 - 20,327M,39 %,746724,423bp,493bp,ERR1712083,http://www.ebi.ac.uk/ena/data/view/ERS494322,147SUR1MMQQ14
TARA_N000002111,SAMEA2623741,ERS494339,TARA_148,SRF,0.8 - 2000,359M,25 %,681992,657bp,987bp,ERR1719238,http://www.ebi.ac.uk/ena/data/view/ERS494339,148SUR1GGZZ14
TARA_N000002119,SAMEA2732099,ERS494350,TARA_148,SRF,180 - 2000,469M,58 %,966291,789bp,1310bp,"ERR1719289,ERR1719193",http://www.ebi.ac.uk/ena/data/view/ERS494350,148SUR2SSUU14
TARA_N000002117,SAMEA2731634,ERS494355,TARA_148,SRF,20 - 180,382M,33 %,682896,612bp,869bp,ERR1719189,http://www.ebi.ac.uk/ena/data/view/ERS494355,148SUR1QQSS14
TARA_N000002115,SAMEA2731821,ERS494359,TARA_148,SRF,5 - 20,261M,36 %,567641,431bp,498bp,ERR1711920,http://www.ebi.ac.uk/ena/data/view/ERS494359,148SUR1MMQQ14
TARA_N000002509,SAMEA2623799,ERS494436,TARA_149,MES,0.8 - 3,330M,22 %,281664,582bp,810bp,"ERR1711969,ERR1711960",http://www.ebi.ac.uk/ena/data/view/ERS494436,149MES1GGKK14
TARA_N000002141,SAMEA2731846,ERS494412,TARA_149,SRF,180 - 2000,343M,48 %,422625,574bp,776bp,ERR1712212,http://www.ebi.ac.uk/ena/data/view/ERS494412,149SUR1SSUU14
TARA_N000002139,SAMEA2731641,ERS494418,TARA_149,SRF,20 - 180,323M,37 %,466854,521bp,672bp,ERR1711997,http://www.ebi.ac.uk/ena/data/view/ERS494418,149SUR1QQSS14
TARA_N000002137,SAMEA2731851,ERS494422,TARA_149,SRF,5 - 20,286M,41 %,580156,436bp,507bp,ERR1712087,http://www.ebi.ac.uk/ena/data/view/ERS494422,149SUR1MMQQ14
TARA_N000002145,SAMEA2623839,ERS494501,TARA_150,DCM,0.8 - 5,349M,22 %,750170,588bp,819bp,ERR1719467,http://www.ebi.ac.uk/ena/data/view/ERS494501,150DCM1GGMM14
TARA_N000002719,SAMEA2732073,ERS494508,TARA_150,DCM,180 - 2000,413M,46 %,637439,647bp,996bp,ERR1719430,http://www.ebi.ac.uk/ena/data/view/ERS494508,150DCM2SSUU14
TARA_N000002717,SAMEA2732005,ERS494484,TARA_150,DCM,20 - 180,282M,40 %,493255,575bp,819bp,ERR1719278,http://www.ebi.ac.uk/ena/data/view/ERS494484,150DCM1QQSS14
TARA_N000002147,SAMEA2731999,ERS494478,TARA_150,DCM,5 - 20,281M,39 %,525772,446bp,526bp,ERR1712060,http://www.ebi.ac.uk/ena/data/view/ERS494478,150DCM1MMQQ14
TARA_N000002695,SAMEA2623815,ERS494452,TARA_150,SRF,0.8 - 2000,321M,45 %,629385,501bp,647bp,ERR1711990,http://www.ebi.ac.uk/ena/data/view/ERS494452,150SUR1GGZZ14
TARA_N000002697,SAMEA2623817,ERS494454,TARA_150,SRF,0.8 - 5,254M,21 %,516768,470bp,594bp,ERR1719258,http://www.ebi.ac.uk/ena/data/view/ERS494454,150SUR1GGMM14
TARA_N000002703,SAMEA2731784,ERS494461,TARA_150,SRF,180 - 2000,259M,45 %,513158,709bp,1096bp,ERR1719209,http://www.ebi.ac.uk/ena/data/view/ERS494461,150SUR1SSUU14
TARA_N000002701,SAMEA2731788,ERS494465,TARA_150,SRF,20 - 180,348M,39 %,575405,647bp,986bp,ERR1719400,http://www.ebi.ac.uk/ena/data/view/ERS494465,150SUR1QQSS14
TARA_N000002699,SAMEA2732095,ERS494470,TARA_150,SRF,5 - 20,347M,26 %,819624,418bp,483bp,ERR1719382,http://www.ebi.ac.uk/ena/data/view/ERS494470,150SUR1MMQQ14
TARA_N000002739,SAMEA2623881,ERS494572,TARA_151,DCM,0.8 - 2000,334M,13 %,477042,376bp,402bp,"ERR1719337,ERR1719371",http://www.ebi.ac.uk/ena/data/view/ERS494572,151DCM1GGZZ14
TARA_N000002751,SAMEA2732058,ERS494557,TARA_151,DCM,180 - 2000,322M,33 %,295708,502bp,646bp,ERR1712055,http://www.ebi.ac.uk/ena/data/view/ERS494557,151DCM01SSUU14
TARA_N000002755,SAMEA2732088,ERS494553,TARA_151,DCM,20 - 180,449M,46 %,615964,792bp,1231bp,"ERR1712158,ERR1712088",http://www.ebi.ac.uk/ena/data/view/ERS494553,151DCM01QQSS14
TARA_N000002737,SAMEA2623859,ERS494527,TARA_151,SRF,0.8 - 2000,375M,19 %,628741,539bp,701bp,ERR1719454,http://www.ebi.ac.uk/ena/data/view/ERS494527,151SUR1GGZZ14
TARA_N000002741,SAMEA2623861,ERS494529,TARA_151,SRF,0.8 - 5,344M,16 %,668623,517bp,654bp,ERR1719440,http://www.ebi.ac.uk/ena/data/view/ERS494529,151SUR1GGMM14
TARA_N000002753,SAMEA2732052,ERS494536,TARA_151,SRF,180 - 2000,292M,46 %,524726,663bp,1010bp,ERR1719370,http://www.ebi.ac.uk/ena/data/view/ERS494536,151SUR1SSUU14
TARA_N000002749,SAMEA2732056,ERS494540,TARA_151,SRF,20 - 180,407M,37 %,633160,622bp,941bp,ERR1719220,http://www.ebi.ac.uk/ena/data/view/ERS494540,151SUR1QQSS14
TARA_N000002745,SAMEA2732085,ERS494545,TARA_151,SRF,5 - 20,322M,39 %,443904,476bp,583bp,ERR1712203,http://www.ebi.ac.uk/ena/data/view/ERS494545,151SUR2MMQQ14
TARA_N000002480,SAMEA2623946,ERS494658,TARA_152,MXL,0.8 - 2000,441M,32 %,976776,640bp,934bp,"ERR1719417,ERR1719178",http://www.ebi.ac.uk/ena/data/view/ERS494658,152MXL01GGZZ14
TARA_N000002482,SAMEA2623948,ERS494660,TARA_152,MXL,0.8 - 2000,436M,32 %,881536,655bp,988bp,"ERR1719305,ERR1719398",http://www.ebi.ac.uk/ena/data/view/ERS494660,152MXL02GGZZ14
TARA_N000002775,SAMEA2623954,ERS494666,TARA_152,MXL,0.8 - 2000,495M,33 %,1166321,656bp,996bp,"ERR1719472,ERR1719460",http://www.ebi.ac.uk/ena/data/view/ERS494666,152MXL1GGZZ14
TARA_N000002803,SAMEA2623950,ERS494662,TARA_152,MXL,0.8 - 2000,385M,44 %,729891,518bp,657bp,"ERR1711934,ERR1712010",http://www.ebi.ac.uk/ena/data/view/ERS494662,152MXL03GGZZ14
TARA_N000002791,SAMEA2623958,ERS494670,TARA_152,MXL,0.8 - 5,498M,38 %,1263235,739bp,1188bp,"ERR1719426,ERR1719247",http://www.ebi.ac.uk/ena/data/view/ERS494670,152MXL1GGMM14
TARA_N000002783,SAMEA2731893,ERS494686,TARA_152,MXL,20 - 180,497M,52 %,667184,761bp,1200bp,"ERR1719458,ERR1719490",http://www.ebi.ac.uk/ena/data/view/ERS494686,152MXL1QQSS14
TARA_N000002797,SAMEA2623961,ERS494673,TARA_152,MXL,5 - 20,375M,47 %,694859,556bp,802bp,"ERR1719237,ERR1719275",http://www.ebi.ac.uk/ena/data/view/ERS494673,152MXL1MMQQ14
TARA_N000002773,SAMEA2623899,ERS494592,TARA_152,SRF,0.8 - 2000,413M,34 %,1004696,635bp,922bp,ERR1719331,http://www.ebi.ac.uk/ena/data/view/ERS494592,152SUR1GGZZ14
TARA_N000002789,SAMEA2623901,ERS494594,TARA_152,SRF,0.8 - 5,349M,37 %,877915,748bp,1196bp,ERR1719353,http://www.ebi.ac.uk/ena/data/view/ERS494594,152SUR1GGMM14
TARA_N000002777,SAMEA2731672,ERS494602,TARA_152,SRF,180 - 2000,401M,59 %,444764,871bp,1499bp,ERR1719239,http://www.ebi.ac.uk/ena/data/view/ERS494602,152SUR1SSUU14
TARA_N000002781,SAMEA2731859,ERS494612,TARA_152,SRF,20 - 180,397M,47 %,723427,713bp,1104bp,ERR1719362,http://www.ebi.ac.uk/ena/data/view/ERS494612,152SUR1QQSS14
TARA_N000002761,SAMEA2731674,ERS494604,TARA_152,SRF,5 - 20,134M,29 %,995871,371bp,399bp,"ERR1712032,ERR1712222",http://www.ebi.ac.uk/ena/data/view/ERS494604,152SUR2MMQQ14
TARA_N000002823,SAMEA2624009,ERS494741,TARA_153,MXL,0.8 - 2000,427M,31 %,990662,687bp,1078bp,ERR1719174,http://www.ebi.ac.uk/ena/data/view/ERS494741,153MXL01GGZZ14
TARA_N000002825,SAMEA2623985,ERS494707,TARA_153,MXL,0.8 - 2000,578M,35 %,1350663,662bp,1001bp,"ERR1719201,ERR1719182",http://www.ebi.ac.uk/ena/data/view/ERS494707,153MXL1GGZZ14
TARA_N000002819,SAMEA2624011,ERS494743,TARA_153,MXL,0.8 - 5,405M,38 %,998992,772bp,1281bp,ERR1719506,http://www.ebi.ac.uk/ena/data/view/ERS494743,153MXL01GGMM14
TARA_N000002807,SAMEA2731933,ERS494752,TARA_153,MXL,180 - 2000,333M,47 %,492607,776bp,1246bp,ERR1719500,http://www.ebi.ac.uk/ena/data/view/ERS494752,153MXL01SSUU14
TARA_N000002809,SAMEA2731729,ERS494720,TARA_153,MXL,180 - 2000,505M,57 %,662590,883bp,1482bp,"ERR1719339,ERR1719341",http://www.ebi.ac.uk/ena/data/view/ERS494720,153MXL1SSUU14
TARA_N000002811,SAMEA2731935,ERS494754,TARA_153,MXL,20 - 180,460M,26 %,1226950,395bp,443bp,ERR1719263,http://www.ebi.ac.uk/ena/data/view/ERS494754,153MXL01QQSS14
TARA_N000002813,SAMEA2731730,ERS494726,TARA_153,MXL,20 - 180,398M,51 %,606371,738bp,1203bp,"ERR1719151,ERR1719264",http://www.ebi.ac.uk/ena/data/view/ERS494726,153MXL1QQSS14
TARA_N000002817,SAMEA2623989,ERS494711,TARA_153,MXL,5 - 20,435M,58 %,594388,555bp,730bp,"ERR1712037,ERR1712210",http://www.ebi.ac.uk/ena/data/view/ERS494711,153MXL1MMQQ14
TARA_A100000604,SAMEA2619684,ERS488352,TARA_18,DCM,0.8 - 5,410M,20 %,470145,453bp,536bp,"ERR1711896,ERR1712139",http://www.ebi.ac.uk/ena/data/view/ERS488352,18DCM1GGMM14
TARA_A100000589,SAMEA2657107,ERS488356,TARA_18,DCM,20 - 180,408M,37 %,533428,567bp,776bp,"ERR1711993,ERR1712141",http://www.ebi.ac.uk/ena/data/view/ERS488356,18DCM1QQSS14
TARA_A100000602,SAMEA2619685,ERS488353,TARA_18,DCM,5 - 20,270M,17 %,197801,452bp,566bp,ERR1712015,http://www.ebi.ac.uk/ena/data/view/ERS488353,18DCM1MMQQ14
TARA_A100000595,SAMEA2619675,ERS488338,TARA_18,SRF,0.8 - 5,343M,9 %,222504,579bp,750bp,ERR1712185,http://www.ebi.ac.uk/ena/data/view/ERS488338,18SUR1GGMM14
TARA_A100000596,SAMEA2656983,ERS488342,TARA_18,SRF,20 - 180,363M,68 %,1000639,456bp,535bp,ERR1712062,http://www.ebi.ac.uk/ena/data/view/ERS488342,18SUR1QQSS14
TARA_A100000598,SAMEA2619676,ERS488339,TARA_18,SRF,5 - 20,372M,42 %,482103,631bp,869bp,ERR1711953,http://www.ebi.ac.uk/ena/data/view/ERS488339,18SUR1MMQQ14
TARA_A100000759,SAMEA2657025,ERS488420,TARA_20,SRF,180 - 2000,124M,1 %,49223,321bp,316bp,"ERR1711905,ERR1712237",http://www.ebi.ac.uk/ena/data/view/ERS488420,20SUR1SSUU14
TARA_A100000761,SAMEA2619725,ERS488412,TARA_20,SRF,5 - 20,359M,52 %,616107,546bp,707bp,"ERR1711913,ERR1711874",http://www.ebi.ac.uk/ena/data/view/ERS488412,20SUR1MMQQ14
TARA_A100000698,SAMEA2619754,ERS488460,TARA_22,DCM,0.8 - 5,526M,20 %,1030037,553bp,732bp,"ERR1719303,ERR1719473",http://www.ebi.ac.uk/ena/data/view/ERS488460,22DCM1GGMM14
TARA_A100000700,SAMEA2661639,ERS506046,TARA_22,DCM,180 - 2000,140M,2 %,91017,313bp,314bp,"ERR1712148,ERR1712074",http://www.ebi.ac.uk/ena/data/view/ERS506046,22DCM01SSUU14
TARA_A100000695,SAMEA2657048,ERS488464,TARA_22,DCM,20 - 180,389M,63 %,991292,425bp,511bp,"ERR1712150,ERR1712043",http://www.ebi.ac.uk/ena/data/view/ERS488464,22DCM4QQSS14
TARA_A100000696,SAMEA2619755,ERS488461,TARA_22,DCM,5 - 20,463M,52 %,1118830,622bp,902bp,"ERR1712076,ERR1712226",http://www.ebi.ac.uk/ena/data/view/ERS488461,22DCM2MMQQ14
TARA_A100000534,SAMEA2619745,ERS488446,TARA_22,SRF,0.8 - 5,508M,23 %,1097180,560bp,741bp,"ERR1719224,ERR1719453",http://www.ebi.ac.uk/ena/data/view/ERS488446,22SUR1GGMM14
TARA_A100000536,SAMEA2731167,ERS488468,TARA_22,SRF,180 - 2000,116M,14 %,476836,349bp,372bp,"ERR1712105,ERR1712090",http://www.ebi.ac.uk/ena/data/view/ERS488468,22SUR02SSUU14
TARA_A100000538,SAMEA2657062,ERS488453,TARA_22,SRF,20 - 180,155M,6 %,224320,384bp,418bp,"ERR1711894,ERR1712140",http://www.ebi.ac.uk/ena/data/view/ERS488453,22SUR1QQSS14
TARA_A100000539,SAMEA2619746,ERS488447,TARA_22,SRF,5 - 20,349M,59 %,491196,617bp,825bp,"ERR1711909,ERR1712179",http://www.ebi.ac.uk/ena/data/view/ERS488447,22SUR1MMQQ14
TARA_A100000559,SAMEA2591103,ERS478003,TARA_23,DCM,0.8 - 5,414M,21 %,838633,588bp,805bp,ERR550514,http://www.ebi.ac.uk/ena/data/view/ERS478003,23DCM3GGMM14
TARA_A100000554,SAMEA2611381,ERS478012,TARA_23,DCM,180 - 2000,387M,43 %,750544,688bp,1055bp,ERR550519,http://www.ebi.ac.uk/ena/data/view/ERS478012,23DCM3SSUU14
TARA_A100000561,SAMEA2611379,ERS478010,TARA_23,DCM,20 - 180,538M,37 %,921544,477bp,647bp,"ERR550539,ERR550529",http://www.ebi.ac.uk/ena/data/view/ERS478010,23DCM3QQSS14
TARA_A100000551,SAMEA2591093,ERS477988,TARA_23,SRF,0.8 - 5,418M,18 %,762582,549bp,722bp,ERR550521,http://www.ebi.ac.uk/ena/data/view/ERS477988,23SUR3GGMM14
TARA_A100000546,SAMEA2611383,ERS477996,TARA_23,SRF,180 - 2000,428M,49 %,930994,766bp,1234bp,ERR550534,http://www.ebi.ac.uk/ena/data/view/ERS477996,23SUR4SSUU14
TARA_A100000548,SAMEA2611385,ERS478008,TARA_23,SRF,20 - 180,413M,38 %,769104,714bp,1144bp,ERR550532,http://www.ebi.ac.uk/ena/data/view/ERS478008,23SUR4QQSS14
TARA_A100000396,SAMEA2619788,ERS488515,TARA_25,DCM,0.8 - 5,324M,24 %,726407,441bp,521bp,"ERR1711898,ERR1712167",http://www.ebi.ac.uk/ena/data/view/ERS488515,25DCM1GGMM14
TARA_E500000200,SAMEA2657045,ERS488521,TARA_25,DCM,180 - 2000,290M,32 %,447491,334bp,336bp,"ERR1711984,ERR1712030",http://www.ebi.ac.uk/ena/data/view/ERS488521,25DCM1SSUU14
TARA_E500000196,SAMEA2657037,ERS488508,TARA_25,DCM,20 - 180,499M,32 %,1023723,601bp,907bp,"ERR1719216,ERR1719361",http://www.ebi.ac.uk/ena/data/view/ERS488508,25DCM1QQSS14
TARA_A100000398,SAMEA2619789,ERS488516,TARA_25,DCM,5 - 20,415M,40 %,915198,541bp,738bp,"ERR1712184,ERR1712110",http://www.ebi.ac.uk/ena/data/view/ERS488516,25DCM1MMQQ14
TARA_A100000393,SAMEA2619777,ERS488497,TARA_25,SRF,0.8 - 5,361M,30 %,602577,527bp,687bp,"ERR1712022,ERR1711998",http://www.ebi.ac.uk/ena/data/view/ERS488497,25SUR1GGMM14
TARA_A100000402,SAMEA2657015,ERS488506,TARA_25,SRF,180 - 2000,109M,5 %,185260,298bp,296bp,"ERR1711947,ERR1712208",http://www.ebi.ac.uk/ena/data/view/ERS488506,25SUR3SSUU14
TARA_A100000400,SAMEA2656999,ERS488503,TARA_25,SRF,20 - 180,399M,36 %,754070,573bp,852bp,ERR1719242,http://www.ebi.ac.uk/ena/data/view/ERS488503,25SUR1QQSS14
TARA_A100000394,SAMEA2619778,ERS488498,TARA_25,SRF,5 - 20,426M,49 %,657056,668bp,984bp,"ERR1711910,ERR1711936",http://www.ebi.ac.uk/ena/data/view/ERS488498,25SUR1MMQQ14
TARA_E400007200,SAMEA2619798,ERS488534,TARA_26,SRF,0.8 - 20,327M,31 %,629225,363bp,392bp,"ERR1712006,ERR1711918",http://www.ebi.ac.uk/ena/data/view/ERS488534,26SUR1GGQQ14
TARA_S400007202,SAMEA2657002,ERS488539,TARA_26,SRF,20 - 180,181M,1 %,71348,336bp,331bp,"ERR1712052,ERR1712016",http://www.ebi.ac.uk/ena/data/view/ERS488539,26SUR1QQSS14
TARA_A100001644,SAMEA2625587,ERS478038,TARA_30,DCM,20 - 180,341M,45 %,504867,441bp,518bp,"ERR550392,ERR550397",http://www.ebi.ac.uk/ena/data/view/ERS478038,30DCM5QQSS14
TARA_A100001648,SAMEA2624980,ERS478036,TARA_30,SRF,180 - 2000,357M,51 %,624482,532bp,733bp,ERR550517,http://www.ebi.ac.uk/ena/data/view/ERS478036,30SUR4SSUU14
TARA_A100001646,SAMEA2611384,ERS478033,TARA_30,SRF,20 - 180,424M,29 %,810255,383bp,422bp,ERR550525,http://www.ebi.ac.uk/ena/data/view/ERS478033,30SUR4QQSS14
TARA_A100001638,SAMEA2591116,ERS478025,TARA_30,SRF,5 - 20,433M,66 %,1458942,456bp,565bp,"ERR550394,ERR550389",http://www.ebi.ac.uk/ena/data/view/ERS478025,30SUR3MMQQ14
TARA_N000000317,SAMEA2619958,ERS488753,TARA_36,DCM,0.8 - 5,448M,26 %,1001494,584bp,792bp,"ERR1719465,ERR1719240",http://www.ebi.ac.uk/ena/data/view/ERS488753,36DCM1GGMM14
TARA_N000000314,SAMEA2657098,ERS488746,TARA_36,DCM,180 - 2000,305M,57 %,686924,464bp,548bp,"ERR1711955,ERR1712243",http://www.ebi.ac.uk/ena/data/view/ERS488746,36DCM1SSUU14
TARA_N000000312,SAMEA2657080,ERS488744,TARA_36,DCM,20 - 180,502M,41 %,1105731,582bp,875bp,"ERR1719511,ERR1719414",http://www.ebi.ac.uk/ena/data/view/ERS488744,36DCM2QQSS14
TARA_N000000319,SAMEA2619959,ERS488754,TARA_36,DCM,5 - 20,68M,12 %,160796,443bp,518bp,"ERR1711945,ERR1712064",http://www.ebi.ac.uk/ena/data/view/ERS488754,36DCM1MMQQ14
TARA_N000000316,SAMEA2619943,ERS488730,TARA_36,SRF,0.8 - 5,468M,23 %,855669,335bp,344bp,"ERR1719152,ERR1719488",http://www.ebi.ac.uk/ena/data/view/ERS488730,36SUR1GGMM14
TARA_N000000313,SAMEA2657060,ERS488742,TARA_36,SRF,180 - 2000,453M,62 %,609681,615bp,1012bp,"ERR1719383,ERR1719374",http://www.ebi.ac.uk/ena/data/view/ERS488742,36SUR1SSUU14
TARA_N000000311,SAMEA2656960,ERS488712,TARA_36,SRF,20 - 180,272M,34 %,153264,434bp,500bp,"ERR1712011,ERR1712122",http://www.ebi.ac.uk/ena/data/view/ERS488712,36SUR1QQSS14
TARA_N000000030,SAMEA2620023,ERS488832,TARA_38,DCM,0.8 - 5,449M,34 %,955325,642bp,975bp,"ERR1719399,ERR1719248",http://www.ebi.ac.uk/ena/data/view/ERS488832,38DCM2GGMM14
TARA_N000000047,SAMEA2620025,ERS488834,TARA_38,DCM,0.8 - 5,441M,36 %,1007199,665bp,1019bp,"ERR1719421,ERR1719274",http://www.ebi.ac.uk/ena/data/view/ERS488834,38DCM1GGMM14
TARA_N000000041,SAMEA2657041,ERS488822,TARA_38,DCM,20 - 180,439M,35 %,393553,424bp,527bp,"ERR1719328,ERR1719255",http://www.ebi.ac.uk/ena/data/view/ERS488822,38DCM1QQSS14
